Time,Mag,Lat,Long,Depth,Day,Month
15,2.47,36.6425,-121.2576667,5.022,31,4
14,2.18,36.629,-121.2421667,5.681,31,4
7,2.95,36.638,-121.2503333,5.071,31,4
4,2.25,36.6241667,-121.2323333,4.401,31,4
3,2.3,36.6305,-121.2396667,4.301,31,4
2,2.79,36.632,-121.2418333,4.661,31,4
2,2.64,36.6333333,-121.2445,4.191,31,4
2,2.33,36.6278333,-121.2406667,5.241,31,4
1,2.72,36.6386667,-121.2516667,5.231,31,4
1,2.66,36.6256667,-121.2368333,5.531,31,4
1,4.7,36.6373333,-121.2496667,5.264,31,4
1,3.7,36.6381667,-121.2511667,5.721,31,4
1,2.22,36.6371667,-121.2513333,4.771,31,4
1,2.31,36.6385,-121.2523333,5.331,31,4
16,2.63,38.7945,-122.7695,3.93,30,4
19,2.59,37.862,-120.5416667,0.06,29,4
18,3.06,36.8871667,-121.3428333,7.351,29,4
15,2.42,38.7821667,-122.7538333,0.113,29,4
14,2.01,36.9648333,-120.3038333,5.517,27,4
14,2.05,37.1633333,-121.9886667,10.876,27,4
23,2.58,38.8136667,-122.8113333,3.147,26,4
22,3.07,38.8205,-122.802,3.227,26,4
18,3,36.7946667,-121.3936667,19.752,26,4
18,3.27,36.9893333,-121.8236667,3.049,26,4
12,2.94,37.16,-121.5923333,2.52,26,4
11,2.14,37.4261667,-121.6771667,8.81,26,4
10,2,37.1596667,-121.597,2.447,25,4
9,2.64,37.165,-121.5966667,2.897,25,4
9,2.93,37.1603333,-121.5928333,2.41,25,4
9,2.47,37.1675,-121.6005,2.517,25,4
9,2.77,37.1623333,-121.597,2.137,25,4
6,2.06,36.813,-121.2276667,7.617,25,4
3,2.29,37.5583333,-121.6575,0.856,25,4
2,3.2,38.8121667,-122.7988333,2.947,25,4
0,3.13,36.828,-121.7898333,4.842,25,4
20,3,36.7558333,-121.2593333,9.867,24,4
17,2.12,38.8068333,-122.8011667,2.362,24,4
17,2.93,37.4513333,-121.6863333,8.352,24,4
10,2.12,37.4446667,-121.6838333,6.402,24,4
7,2.12,37.463,-121.703,3.312,24,4
4,2.11,38.82,-122.7996667,2.997,24,4
19,2.13,37.7988333,-122.5826667,13.001,23,4
3,2.04,37.5136667,-121.693,6.961,23,4
16,2.4,38.7965,-122.8086667,3.441,22,4
16,2.35,38.7911667,-122.8088333,1.061,22,4
6,3.06,36.6345,-121.203,1.262,21,4
1,2.5,38.8138333,-122.8271667,0.447,21,4
19,2.1,38.813,-122.801,2.298,19,4
16,2.76,37.4575,-121.7745,7.11,19,4
3,2.75,38.8201667,-122.7993333,3.448,19,4
13,2.07,37.5115,-121.691,7.211,18,4
12,2.54,38.7833333,-122.762,0.267,18,4
20,2.02,36.765,-121.2818333,9.267,17,4
20,2.47,38.784,-122.7695,1.397,17,4
18,2.05,37.4493333,-121.6861667,6.862,17,4
10,2.54,37.509,-121.691,6.161,17,4
14,2.32,37.5115,-121.6885,5.901,16,4
18,2.18,38.555,-122.2615,2.806,15,4
15,2.47,38.5541667,-122.262,6.436,15,4
9,2.33,37.4486667,-121.6846667,6.272,15,4
5,2.43,38.5481667,-122.2641667,10.861,15,4
4,2.69,36.4813333,-122.3365,4.06,15,4
1,3.3,37.4673333,-121.686,8.422,15,4
20,2.77,38.8158333,-122.802,1.723,14,4
19,2.01,38.9356667,-122.6213333,4.745,14,4
14,2.41,36.8075,-121.2668333,7.401,14,4
12,2.39,38.8006667,-122.7806667,3.233,14,4
12,2.21,38.7953333,-122.782,3.941,14,4
11,2.34,37.4533333,-121.6881667,7.212,14,4
17,3.2,37.3753333,-122.2568333,10.946,13,4
11,2.14,38.824,-122.8016667,3.536,13,4
8,2.1,38.8056667,-122.8025,1.001,13,4
5,2.02,38.003,-121.8575,16.304,13,4
2,2.04,38.8123333,-122.814,2.912,13,4
16,3.2,36.8428333,-121.3068333,6.251,12,4
2,3.1,37.4551667,-121.6858333,7.302,12,4
0,2.31,37.5066667,-121.6825,7.841,12,4
20,2.6,37.455,-121.7641667,4.95,11,4
10,2.03,36.7641667,-121.2745,7.157,11,4
17,2.13,36.6418333,-121.2566667,4.961,10,4
15,2.73,37.3768333,-122.2568333,10.355,10,4
14,2.43,36.8678333,-121.3051667,6.358,10,4
8,2.11,38.856,-122.746,0.4,10,4
16,2.62,37.4701667,-121.7636667,8.7,9,4
16,2.22,37.4581667,-121.7641667,4.96,9,4
5,2.56,36.7636667,-121.2736667,8.957,9,4
23,2.12,37.5205,-121.6808333,6.776,8,4
19,3,36.875,-121.3048333,7.693,8,4
13,2.12,38.817,-122.7848333,0.316,8,4
10,2.99,36.7648333,-121.2726667,8.967,8,4
21,2.04,38.7916667,-122.773,0.278,7,4
20,2.24,38.7821667,-122.7583333,0.548,7,4
18,2.24,36.98,-121.6751667,10.262,7,4
16,2.48,37.4408333,-121.6878333,7.601,7,4
12,2.33,37.0981667,-122.2463333,16.412,7,4
7,2.02,36.8406667,-121.3036667,4.048,7,4
23,2.95,38.2916667,-123.8535,4.983,6,4
15,2.05,36.8621667,-121.322,4.322,5,4
4,2.46,37.5126667,-121.6885,8.461,4,4
1,2.48,38.7958333,-122.7478333,1.293,4,4
0,2.41,37.801,-121.578,2.889,4,4
15,2.35,37.5108333,-121.6935,6.861,3,4
10,2.74,37.5128333,-121.6881667,6.781,3,4
8,2.57,37.5128333,-121.687,6.961,3,4
3,2.09,36.8516667,-121.3051667,4.698,3,4
1,2.54,37.6261667,-122.9601667,6.139,3,4
