Month,Day,Time,Mag,Lat,Long,Depth
4,31,14,2.04,38.9015,-123.0038333,3.15
4,30,22,2.06,36.9331667,-121.366,8.79
4,30,6,2.51,38.8256667,-122.7811667,1.88
4,29,15,2.01,38.8088333,-122.7813333,0.25
4,29,11,3.26,38.9013333,-123.0018333,4.2
4,28,21,2.16,36.65,-121.2693333,4.92
4,27,21,2.9,38.805,-122.7703333,1.9
4,27,19,2.07,37.6643333,-121.7613333,5.75
4,27,12,2.3,37.9871667,-122.06,15.52
4,27,12,2.09,37.9645,-122.0631667,11.95
4,27,0,2.67,38.7676667,-122.7211667,0.86
4,26,0,2.52,37.9653333,-122.0653333,11.98
4,24,6,2.48,36.9618333,-121.59,5.81
4,24,4,2.29,37.6216667,-122.0236667,6.64
4,23,14,2.58,38.7545,-122.7271667,1.76
4,23,4,2.31,38.821,-122.7941667,3.48
4,23,1,2.17,38.8248333,-122.8515,2.24
4,21,18,3.46,36.7045,-121.339,3.42
4,21,16,2.22,38.8083333,-122.8201667,2.36
4,21,0,2.34,36.8761667,-121.6111667,5.57
4,20,23,2.17,36.8758333,-121.6118333,5.64
4,20,19,2.49,36.9658333,-121.4543333,2.59
4,18,8,2.28,38.6138333,-122.8163333,7.61
4,15,15,2.72,37.9803333,-122.0613333,16.46
4,15,15,2.45,37.4395,-121.802,4.31
4,15,12,2.05,38.8475,-122.0323333,9.95
4,14,11,2.03,36.643,-121.2655,5.8
4,12,15,2.65,38.562,-122.3005,3.05
4,9,19,2.53,36.5406667,-120.6806667,3.49
4,9,11,2.62,38.6151667,-121.8658333,12
4,9,1,2.23,36.6181667,-121.2256667,5.25
4,8,23,2.12,37.666,-121.7618333,5.41
4,8,18,2.62,37.665,-121.7566667,6.1
4,8,6,2.31,36.8515,-121.3133333,7.97
4,6,7,2.25,38.8141667,-122.7951667,2.91
4,6,4,2.55,37.1866667,-122.3713333,14.3
4,5,22,2.7,38.792,-122.7575,2.53
4,5,16,2.02,38.8806667,-122.795,2.95
4,4,13,2.15,36.6858333,-121.0385,13.05
4,3,18,2.68,37.6635,-121.7631667,5.99
4,3,18,2.02,38.7995,-122.806,1.39
4,3,18,2.06,37.6645,-121.757,5.37
4,2,18,2.53,37.2468333,-121.6333333,4.17
4,2,13,2.3,38.8266667,-122.7976667,2.58
4,1,14,2.01,37.8411667,-121.9485,9.56
3,30,3,3.98,38.7883333,-122.7771667,2.76
3,29,20,2.03,37.373,-121.7285,6.75
3,29,18,3.78,37.8251667,-121.806,15.2
3,28,15,2.92,36.5871667,-121.184,3.31
3,28,1,2.35,37.0251667,-121.4833333,6.51
3,26,22,2.19,36.9093333,-120.6448333,0.28
3,26,19,2.44,36.9216667,-120.6611667,10.67
3,26,15,2.25,38.7931667,-122.8096667,3.21
3,26,14,2.87,36.0853333,-121.5866667,16.44
3,24,16,2.04,38.1318333,-121.9203333,22.19
3,24,15,2.14,38.1246667,-121.9451667,21.79
3,23,17,2.15,36.6436667,-121.2551667,3.36
3,21,18,2.36,37.2751667,-121.6476667,8.62
3,20,19,2.49,38.7918333,-122.7778333,3.68
3,19,12,2.63,36.7036667,-121.339,2.6
3,17,16,2.04,38.7778333,-122.722,1.79
3,17,13,2.58,38.7723333,-122.7381667,0.19
3,17,13,3.73,38.774,-122.7223333,1.35
3,16,20,2.51,36.5971667,-121.2035,6.13
3,16,12,2.08,36.7208333,-121.3711667,1.92
3,16,9,2.34,36.9666667,-121.4545,3.99
3,15,8,3.18,36.9701667,-121.459,3.09
3,15,8,2.86,36.9708333,-121.459,3.3
3,14,0,2,38.8198333,-122.8106667,3.47
3,13,18,2.46,38.7996667,-122.8098333,1.33
3,13,18,2.92,37.2868333,-121.6563333,7.1
3,13,15,3.52,36.4725,-120.9975,5.06
3,13,0,2.44,38.7575,-122.7206667,1.47
3,12,16,2.13,36.6396667,-121.2611667,6.01
3,12,15,2.2,36.8633333,-121.413,6.07
3,12,13,2.1,36.8635,-121.5953333,6.45
3,12,7,2.61,37.1718333,-122.4418333,9.38
3,10,17,2.62,38.8333333,-122.7911667,1.43
3,9,20,2.32,37.8426667,-121.8085,5.58
3,8,10,2.22,38.7923333,-122.722,1.93
3,8,2,2.51,36.4758333,-121.0498333,4.23
3,7,20,2.43,37.927,-121.8886667,11.99
3,7,12,2.37,36.55,-121.1415,7.59
3,6,18,2.59,36.4641667,-120.6388333,5.2
3,6,13,2.56,38.7878333,-122.7741667,1.36
