Time,Mag,Lat,Long,Depth
2,2.31,36.5373333,-121.0898333,7.546
23,2.12,38.8131667,-122.796,2.62
20,2.61,36.54,-121.0928333,8.286
15,2.01,36.4696667,-121.0486667,5.303
14,2.53,36.4721667,-121.05,5.573
7,2.15,38.8085,-122.8098333,4.08
2,2.05,37.3616667,-121.7448333,1.822
9,3.26,38.8163333,-122.8125,2.746
2,2.25,38.8171667,-122.8101667,3.01
0,2.2,36.6518333,-121.1138333,10.097
22,2.02,38.8131667,-122.8103333,3.024
1,3.01,36.5671667,-121.1585,2.872
21,2.33,38.8075,-122.8016667,0.59
7,2.05,36.4746667,-121.045,3.393
7,2.01,36.6036667,-121.2208333,7.886
7,2.43,38.802,-122.8111667,3.936
8,2.21,36.7071667,-121.3431667,2.149
1,2.16,36.809,-121.516,2.998
23,2.54,38.8008333,-122.8268333,1.22
20,2.35,37.9293333,-122.2801667,9.867
7,3.6,37.3226667,-121.7755,8.385
20,2.08,36.8923333,-121.3358333,6.343
20,2.05,36.4635,-121.0398333,4.573
16,2.88,36.4618333,-121.0436667,8.863
9,2.32,38.7913333,-122.7741667,0.406
7,2.58,36.6861667,-121.2791667,4.852
20,2.29,37.3436667,-121.7081667,7.963
9,2.3,36.5418333,-121.0725,9.286
14,2.1,37.8748333,-122.2225,13.549
13,2.06,36.548,-121.1331667,9.496
10,2.27,37.1923333,-120.4986667,11.604
8,2.6,37.5815,-121.8183333,10.463
9,2.17,37.9656667,-121.3236667,5.61
0,3.18,37.8506667,-121.7793333,16.956
10,2.19,38.8031667,-122.8138333,3.06
19,2.26,36.8063333,-121.5236667,5.875
16,2.07,38.0001667,-121.9311667,15.606
15,2.27,37.9371667,-121.9373333,3.586
12,2.39,37.8618333,-122.2385,5.91
3,2.36,36.016,-121.4675,1.772
11,2.37,36.3616667,-121.8618333,5.61
5,2.21,36.669,-120.8251667,6.462
23,2.43,38.805,-122.8078333,2.25
20,2.61,36.7908333,-121.5081667,6.203
20,2.49,36.634,-121.1475,6.524
19,2.14,36.4825,-121.1981667,0.38
19,3.03,36.6465,-120.8536667,2.411
18,3.9,36.7898333,-121.5346667,4.439
18,3.31,36.7865,-120.954,5.238
15,2.81,37.3295,-121.6923333,6.583
14,2.35,37.3355,-121.7023333,7.157
10,3.5,37.0588333,-121.4893333,7.5
17,2.49,37.1575,-121.5433333,7.683
