Month,Day,Time,Mag,Lat,Long,Depth
4,29,15,2.31,36.6001667,-121.1998333,2.381
4,28,13,2.56,38.8163333,-122.8191667,0.749
4,27,19,2.32,38.0225,-121.8865,15.291
4,26,8,2.35,37.1586667,-121.5436667,8.037
4,25,5,2.07,36.5986667,-121.2015,5.901
4,23,21,2.52,38.8201667,-122.8268333,0.802
4,23,20,2.29,38.6626667,-122.3461667,8.695
4,20,1,3.3,36.5861667,-121.1803333,3.22
4,19,13,2,37.3406667,-122.2275,1.13
4,19,3,3.13,36.8118333,-121.5426667,7.367
4,18,15,2.27,38.7936667,-122.7943333,0.041
4,18,11,2.52,38.7935,-122.7956667,0.281
4,16,12,2.55,38.7811667,-122.7235,1.854
4,16,6,2.16,36.547,-121.1365,2.046
4,15,23,2.11,36.6743333,-121.2968333,3.928
4,15,8,3.5,36.7038333,-121.3316667,3.069
4,15,1,2.04,38.806,-122.7828333,3.453
4,12,15,2.54,38.8145,-122.8138333,2.33
4,11,14,2.17,36.6698333,-120.8618333,4.685
4,11,11,2.11,36.5971667,-121.2001667,5.771
4,11,9,2.47,36.6,-121.2011667,5.561
4,11,1,2.06,37.6393333,-121.6873333,5.902
4,10,17,3.1,36.9351667,-121.6845,12.394
4,10,3,2.14,37.2945,-121.6753333,3.373
4,9,21,2.71,37.2293333,-121.6161667,6.482
4,9,11,3,37.3936667,-122.1706667,4.817
4,9,6,2.6,38.7985,-122.8008333,0.501
4,8,19,2.06,38.2601667,-120.7268333,0.319
4,7,18,2.22,36.562,-121.1523333,8.482
4,7,14,2.79,38.8235,-122.8015,3.18
4,7,7,3,37.1298333,-121.5271667,8.337
4,6,3,2.75,38.8103333,-122.7806667,1.693
4,5,3,2.69,37.9713333,-122.337,7.189
4,3,2,2.18,37.3805,-121.7353333,7.967
4,2,7,2.15,36.5658333,-121.1563333,3.022
4,2,5,2.01,38.7985,-122.801,1.021
3,30,17,2.24,37.7258333,-121.6891667,6.28
3,30,2,2.27,38.7971667,-122.769,2.453
3,29,11,2.09,37.9356667,-122.2893333,8.307
3,28,18,2.78,36.2506667,-120.814,5.856
3,28,14,2.09,36.5673333,-121.1575,3.422
3,28,6,2.06,36.6625,-121.2835,4.918
3,28,0,2.13,37.9733333,-122.335,4.839
3,26,10,2.18,38.7981667,-122.7706667,2.643
3,25,22,2.5,37.2608333,-121.6443333,5.373
3,25,13,2.09,36.5513333,-121.142,1.996
3,25,6,2.55,36.5951667,-121.1986667,6.241
3,22,19,2,38.7963333,-122.8168333,1.908
3,20,23,2.18,36.5478333,-121.1391667,6.206
3,20,16,3.1,37.2568333,-121.6435,4.663
3,20,13,2,36.4976667,-121.0751667,4.164
3,19,18,2.51,38.825,-122.7768333,0.561
3,19,4,2.18,38.7238333,-122.398,8.026
3,17,23,2.92,38.792,-122.7785,2.281
3,17,19,2.02,37.8321667,-122.0511667,11.986
3,17,9,3.3,38.7818333,-122.7723333,1.031
