Month,Day,Time,Mag,Lat,Long,Depth
4,31,9,2.1,38.7473333,-122.7171667,1.544
4,31,2,2.19,36.4275,-120.9885,2.643
4,30,21,2.43,36.428,-120.9915,2.233
4,30,13,2.12,38.8093333,-122.7885,3.106
4,27,20,2.04,36.5741667,-121.1731667,5.614
4,27,20,2.15,36.5735,-121.1705,5.337
4,27,15,2.28,38.845,-122.825,1.889
4,26,15,2.62,38.7931667,-122.802,3.388
4,26,6,2.18,38.7611667,-122.7165,1.264
4,25,21,2.7,36.9643333,-121.5973333,6.802
4,24,13,2.35,38.8088333,-122.7976667,3.166
4,23,23,2.4,36.8063333,-121.5341667,6.493
4,23,20,2.82,36.8101667,-121.5396667,6.511
4,22,6,2.11,36.497,-121.0761667,3.299
4,21,2,2.27,38.4056667,-122.4951667,6.009
4,20,23,2.23,36.6768333,-121.3011667,2.57
4,20,12,2.33,38.7898333,-122.7623333,1.833
4,17,14,2.21,36.8361667,-121.5738333,7.086
4,17,10,2.16,38.7928333,-122.7578333,0.383
4,17,1,2.16,37.8971667,-121.9935,11.196
4,16,17,2.32,38.762,-122.7311667,1.312
4,12,11,2.39,38.7846667,-122.75,3.423
4,12,7,2.78,36.7746667,-121.4766667,3.972
4,10,21,2.25,38.7948333,-122.7456667,1.069
4,10,7,2.13,38.8091667,-122.8105,0.593
4,7,13,2.57,38.8046667,-122.7358333,1.954
4,6,14,3.29,38.8148333,-122.8043333,1.932
4,3,21,2.28,38.915,-122.4565,10.971
4,3,11,2.14,37.64,-121.7003333,4.272
4,3,11,2.6,37.6323333,-121.6988333,4.293
4,3,10,2.38,36.537,-121.1206667,2.997
4,3,3,2.11,38.8208333,-122.8128333,2.699
4,3,1,2.24,38.7891667,-122.773,1.886
4,2,1,2.03,38.9131667,-122.4896667,7.301
4,2,0,2.27,38.9095,-122.4998333,5.111
4,2,0,2.06,38.91,-122.4885,6.871
4,1,19,2.17,36.4623333,-121.0288333,5.119
3,30,20,2.2,36.2436667,-120.8038333,6.768
3,29,19,2.06,37.9773333,-122.0506667,16.395
3,29,7,2.16,38.9135,-122.4921667,6.389
3,29,7,2.06,38.912,-122.4686667,10.989
3,28,14,2.23,38.093,-122.2528333,8.024
3,28,11,2.29,38.9156667,-122.5001667,5.861
3,28,7,2.51,38.8221667,-122.8125,2.674
3,28,6,2.25,36.573,-121.0316667,8.137
3,26,19,2.95,38.8091667,-122.8168333,2.78
3,26,18,2.01,36.6985,-121.3305,2.689
3,25,11,2.43,38.8021667,-122.7345,1.914
3,24,6,2.7,37.3806667,-122.1925,4.9
3,24,3,2.16,37.3826667,-122.194,4.942
3,23,22,2.38,38.8351667,-122.7908333,2.263
3,23,11,2.36,37.4603333,-121.522,5.883
3,23,2,2.19,38.7541667,-122.7231667,1.399
3,22,18,2.08,36.4688333,-121.0481667,5.169
3,22,13,2.02,37.4593333,-121.8183333,1.879
3,22,3,2.98,38.8373333,-122.8291667,2.024
3,22,3,2.34,38.8361667,-122.829,2.074
3,22,3,2.67,38.8391667,-122.8308333,1.644
3,21,19,2.1,36.3683333,-120.6706667,10.982
3,21,16,2.63,38.7871667,-122.7626667,1.123
3,21,14,2.42,36.3645,-120.6735,11.652
3,20,12,2.19,38.8378333,-122.7843333,0.91
3,19,23,2.03,38.8136667,-122.8283333,2.281
3,18,19,2.08,36.4763333,-120.5206667,9.635
3,18,16,2.25,38.8375,-122.7823333,1.97
3,17,3,2.49,38.8056667,-122.8208333,2.53
3,16,9,2.45,38.8335,-122.8108333,1.692
3,15,6,2.9,36.5775,-121.0518333,5.547
3,12,2,2.04,36.233,-121.8481667,7.15
3,11,13,2.2,38.7875,-122.7628333,1.663
3,11,12,2.76,36.6743333,-121.2841667,8.2
3,11,4,2.35,37.5068333,-121.8291667,5.03
3,9,14,2.19,38.8015,-122.471,7.258
3,8,20,2.01,38.8175,-122.8081667,2.959
3,7,19,2.26,36.2406667,-120.8065,7.588
3,6,1,2.01,38.8106667,-122.8243333,2.07
3,5,19,2.07,38.7493333,-122.7331667,1.134
3,4,8,2.01,36.7038333,-121.3376667,2.579
3,4,8,2.66,38.8203333,-122.7611667,2.095
3,3,21,3.63,38.4493333,-122.254,7.831
3,3,10,2.27,38.8203333,-122.8155,2.749
3,2,8,2.03,38.8355,-122.7723333,2.32
3,1,20,2.43,36.5855,-121.1885,7.064
3,1,11,2.63,36.589,-121.1893333,6.953
3,1,11,2.45,36.588,-121.1883333,6.727
3,1,1,2.06,37.1153333,-121.52,6.767
2,31,23,2.68,36.5863333,-121.1881667,7.064
2,31,23,3.27,36.5886667,-121.1933333,6.181
2,30,23,2.82,38.8255,-122.8311667,2.201
2,30,15,2.07,37.7783333,-122.106,11.142
2,30,2,2.65,36.818,-121.5393333,4.561
2,29,22,2.03,38.8685,-122.9795,5.174
2,28,23,2.16,36.7731667,-121.4753333,3.932
2,28,8,2.15,38.8203333,-122.8426667,1.501
2,27,9,2.25,38.7461667,-122.7025,1.822
2,26,12,2.17,36.5171667,-120.7148333,7.669
2,25,23,2.57,38.8075,-122.8123333,2.193
2,25,6,2.2,37.5901667,-122.3706667,11.41
2,24,13,2.42,36.458,-121.0371667,6.579
2,24,5,2.02,36.4428333,-121.004,1.924
2,22,4,2.33,38.8366667,-122.8006667,2.463
2,22,3,2.21,37.9696667,-122.039,14.024
2,19,18,2.16,36.8448333,-121.5758333,4.226
2,19,14,2.4,36.7508333,-121.1141667,5.223
2,18,11,2.1,38.7933333,-122.4513333,8.081
2,18,3,2.29,36.547,-121.1386667,5.051
