Time,Mag,Lat,Long,Depth,Day,Month
4,2.31,38.4568333,-122.648,10.533,31,4
4,2.37,38.4556667,-122.6493333,10.693,31,4
0,2.46,38.3648333,-122.6385,3.269,31,4
18,2.58,36.4906667,-121.0696667,4.291,29,4
18,2.49,36.9785,-121.6326667,4.049,29,4
12,2.28,36.4356667,-121.0098333,5.508,29,4
9,3.14,36.494,-120.7151667,8.084,29,4
3,2.42,36.5643333,-121.0868333,9.256,29,4
17,3.09,36.3065,-120.885,4.042,28,4
16,3.69,36.5333333,-121.1048333,9.06,28,4
14,2.67,36.436,-121.0118333,6.96,28,4
13,2.81,36.4366667,-121.0153333,5.708,28,4
12,2.44,36.5661667,-121.1578333,3.056,28,4
12,4.38,36.4386667,-121.0166667,5.138,28,4
10,2.43,36.4696667,-121.0468333,2.257,28,4
10,2.73,36.57,-121.1635,2.715,28,4
8,2.05,36.9736667,-121.5925,7.102,28,4
7,2.07,36.4635,-121.0401667,5.277,28,4
1,2.24,38.3665,-122.3926667,7.806,28,4
21,2.62,36.5581667,-121.1548333,8.661,27,4
17,3.45,36.236,-120.8195,6.091,27,4
17,2.73,36.5671667,-121.163,2.821,27,4
17,2.82,36.6253333,-120.9946667,0.559,27,4
17,2.43,36.5198333,-121.0871667,7.59,27,4
13,2.18,36.5886667,-121.0406667,7.366,27,4
12,2.88,36.5071667,-121.0755,3.204,27,4
10,2.85,36.803,-121.4128333,4.311,27,4
14,2.77,37.0426667,-121.7321667,12.699,26,4
8,2.74,36.6295,-121.0385,5.656,26,4
19,2.96,37.485,-121.6921667,7.395,24,4
16,2.58,36.4858333,-121.0586667,5.161,24,4
5,2.35,36.2558333,-120.8213333,6.831,24,4
4,4.27,36.2483333,-120.8226667,5.241,24,4
17,2.98,36.5628333,-121.1561667,5.074,23,4
17,2.24,36.5626667,-121.1553333,5.834,23,4
13,4.11,36.4708333,-121.0433333,0.953,23,4
8,2.15,36.5826667,-121.0341667,14.929,23,4
5,2.47,37.1013333,-121.9871667,11.635,23,4
5,2.13,37.1013333,-121.988,12.175,23,4
21,2.19,37.3121667,-121.6825,7.019,22,4
13,2.2,36.7626667,-121.275,7.362,22,4
23,2.64,36.7123333,-121.0786667,0.431,21,4
12,2.04,36.5465,-121.0653333,6.641,21,4
5,2.16,36.9195,-121.4695,4.306,21,4
22,2.17,36.549,-121.0808333,8.801,20,4
9,3.08,36.5733333,-121.1131667,8.769,20,4
8,2.39,36.5365,-121.0663333,5.081,20,4
8,2.08,36.5425,-121.0671667,6.751,20,4
11,2.4,36.9011667,-121.4243333,3.401,19,4
2,2.18,36.9736667,-121.6958333,12.749,18,4
8,2.67,36.718,-121.1808333,7.097,17,4
21,2.05,36.4735,-121.0448333,2.761,16,4
16,2.05,36.9088333,-121.6433333,5.727,16,4
13,3.33,36.6998333,-121.2998333,12.02,15,4
12,2.69,37.5265,-121.6343333,2.255,15,4
10,2.18,36.9331667,-121.579,6.306,15,4
10,2.53,36.5585,-121.0666667,8.809,15,4
9,3.07,36.761,-121.1223333,5.307,15,4
4,2.16,36.4613333,-121.0053333,4.948,14,4
3,2.22,36.5886667,-121.1871667,2.693,14,4
1,2.64,36.8938333,-121.4811667,4.216,14,4
15,2.4,38.5355,-122.7453333,6.625,13,4
10,2.37,36.2976667,-120.8713333,5.232,13,4
0,2.1,37.02,-121.6993333,16.515,13,4
18,3.52,36.4788333,-121.0558333,7.291,12,4
13,3.03,36.537,-121.1225,2.139,12,4
4,3.05,36.4686667,-121.0448333,5.083,12,4
22,2.64,38.5393333,-122.7491667,6.64,11,4
19,2.48,37.2866667,-121.6725,1.333,11,4
16,2.56,36.533,-121.1001667,9.361,11,4
3,2.21,36.9088333,-121.644,6.314,11,4
19,2.09,36.79,-121.3016667,5.661,10,4
9,2.27,36.8791667,-121.6113333,6.571,10,4
8,4.3,36.879,-121.6153333,7.721,10,4
8,2.7,36.8826667,-121.6205,7.301,10,4
5,2.44,36.5323333,-121.1078333,9.311,10,4
3,2.38,37.0688333,-121.5161667,7.325,10,4
2,2.03,36.9145,-121.4255,6.651,10,4
4,2.02,36.5841667,-121.1901667,7.163,9,4
22,2.19,36.8988333,-121.3723333,5.693,8,4
17,2.64,36.8973333,-121.4205,4.201,8,4
