Time,Mag,Lat,Long,Depth,Day,Month
23,2.56,38.8,-122.812,0.54,30,4
8,2.15,38.812,-122.8101667,2.84,30,4
20,2.06,37.474,-121.8131667,6.636,29,4
16,2.59,37.5346667,-121.8221667,3.724,29,4
17,2.59,38.8001667,-122.8101667,0.24,28,4
12,2.98,36.3536667,-122.0085,3.789,28,4
11,2.23,38.7946667,-122.7481667,1.538,28,4
7,2.04,38.883,-123.0125,2.78,28,4
10,2.37,38.816,-122.7958333,3.01,26,4
8,2.17,38.7815,-122.7645,0.326,26,4
8,2.45,38.7885,-122.7728333,1.886,26,4
4,3,38.752,-122.4308333,8.132,26,4
3,2.14,38.818,-122.8013333,3.28,26,4
3,2.17,38.8228333,-122.7976667,3.46,26,4
17,2,36.5388333,-121.125,2.287,24,4
2,2.06,38.8163333,-122.7948333,3.7,24,4
4,3,38.7943333,-122.8068333,3.72,23,4
22,2.27,38.8246667,-122.8146667,0.48,21,4
21,2.29,38.8055,-122.8096667,3.87,20,4
13,2.26,38.8191667,-122.7891667,0.13,19,4
20,2.55,36.3986667,-120.8255,7,18,4
1,2.04,38.7943333,-122.809,3.1,17,4
13,2.31,38.8051667,-122.8121667,3.62,16,4
7,2.39,38.8066667,-122.8141667,2.78,16,4
13,2.39,38.8218333,-122.793,3.45,15,4
9,2.12,37.7111667,-122.3858333,4.674,15,4
5,2.04,38.8073333,-122.809,1.67,15,4
5,2.57,38.815,-122.8098333,3.1,14,4
20,2.12,38.8045,-122.8035,1.07,13,4
16,2.06,38.7945,-122.747,1.228,13,4
7,2.74,37.3148333,-121.687,6.553,13,4
20,2.11,36.5515,-120.7961667,3.383,12,4
1,2.01,37.3558333,-121.7183333,7.127,12,4
11,2.1,38.821,-122.7941667,3.24,11,4
8,2.34,36.8363333,-121.4276667,5.538,11,4
8,2.23,38.8023333,-122.7996667,1.03,11,4
16,2.07,38.8036667,-122.7718333,1.326,10,4
14,2.22,38.8123333,-122.814,2.4,10,4
13,2.26,38.8138333,-122.7988333,1.94,10,4
20,2.25,38.823,-122.8006667,0.08,8,4
18,2.03,36.9525,-121.4461667,4.161,6,4
20,2.5,36.5455,-121.1388333,8.266,5,4
18,2.11,37.1305,-121.53,7.737,4,4
8,2.1,38.7843333,-122.7553333,0.598,4,4
11,2.06,36.676,-121.3033333,4.656,3,4
7,3,36.6546667,-121.2735,5.128,3,4
6,2.59,36.6551667,-121.2741667,4.898,3,4
4,2.06,37.3335,-121.7003333,6.848,1,4
20,2.78,36.6558333,-121.2755,5.168,30,3
