Time,Mag,Lat,Long,Depth,Day,Month
16,3.17,38.8068333,-122.819,1.83,31,4
10,2.62,37.5865,-121.9731667,8.79,30,4
6,2.05,38.8101667,-122.7925,2.94,30,4
23,2.05,36.781,-121.4998333,5.77,29,4
14,2.1,37.7383333,-122.5795,4.77,28,4
17,2.01,36.7575,-121.072,0.29,27,4
4,2.75,38.7855,-122.7686667,3.46,27,4
17,2.78,37.4543333,-121.775,6.8,25,4
15,2.11,36.5818333,-121.147,6.59,23,4
10,2.05,38.8061667,-122.791,0.6,23,4
10,2.07,38.7858333,-122.41,10.1,21,4
22,2.8,38.7876667,-122.7488333,3.26,19,4
14,2.3,36.5376667,-121.1233333,4.34,19,4
11,2.27,38.7841667,-122.7696667,1.96,19,4
1,2.2,36.9231667,-121.3868333,8.36,18,4
9,2.12,38.81,-122.8255,1.92,17,4
0,2.23,37.97,-121.8895,18.67,17,4
23,3,38.8173333,-122.766,0,15,4
13,2.04,38.7615,-122.7378333,1.01,15,4
12,2.96,37.0313333,-121.4865,7.62,14,4
0,2.65,36.4096667,-120.9918333,7.39,14,4
10,2.42,37.4581667,-121.8136667,5.7,13,4
13,2.33,38.1928333,-121.8341667,10.52,12,4
23,2.34,38.816,-122.8163333,1.2,11,4
22,3.83,38.8158333,-122.8206667,2.7,11,4
22,2,38.8165,-122.8206667,2.33,11,4
2,2.07,36.6538333,-121.2813333,7.77,11,4
15,2.58,36.6555,-121.2816667,7.99,10,4
7,2,38.8145,-122.8165,2.06,10,4
13,2.06,36.47,-121.0496667,5.02,9,4
8,2.53,38.3475,-122.3983333,11.2,9,4
5,2.1,37.8778333,-122.2546667,8.95,9,4
12,2.23,38.8431667,-122.8293333,1.08,8,4
12,2.23,38.8421667,-122.831,1.45,8,4
12,2.79,38.841,-122.8308333,1.34,8,4
12,2.61,38.839,-122.8285,1.67,8,4
10,2.02,37.6355,-122.0335,6.39,7,4
12,2.19,37.5156667,-121.8426667,4.36,6,4
14,2.34,38.3753333,-122.4155,9.39,5,4
20,3.03,36.8393333,-121.57,6.16,4,4
7,2.46,37.7456667,-122.1515,4.5,4,4
7,2.2,37.4313333,-121.7736667,9.08,4,4
14,2.92,37.7275,-122.1318333,4.38,29,3
11,2.72,37.9255,-121.8286667,10.53,29,3
8,2.1,39.0038333,-122.5958333,4.75,29,3
1,2.02,38.6861667,-122.8966667,5.59,29,3
13,2.14,36.5658333,-121.0398333,7.12,28,3
1,2.45,38.7915,-122.7671667,3.09,28,3
23,2.06,37.3586667,-121.7543333,0.53,27,3
22,2.03,38.8318333,-122.797,1.33,26,3
6,2,38.7818333,-122.778,3.52,26,3
21,2.67,37.4005,-121.7901667,1.97,25,3
13,2.8,36.6543333,-121.2683333,3.14,24,3
9,2.03,38.822,-122.8433333,2.07,24,3
5,2.3,38.805,-122.823,1.58,24,3
18,2.1,38.7928333,-122.797,3.01,22,3
15,3.01,37.9328333,-123.0533333,9.2,22,3
19,2.07,36.8001667,-121.2166667,9.04,21,3
2,2.46,38.6555,-122.3593333,8.89,21,3
12,2.11,38.5223333,-122.4981667,6.16,20,3
3,2.04,38.7573333,-122.7346667,2.55,18,3
2,2.28,38.8086667,-122.8203333,2.38,18,3
20,2.22,37.8488333,-122.2373333,6.09,14,3
16,2.16,38.7795,-122.7575,0.73,14,3
15,2.56,36.6161667,-121.2231667,5.45,14,3
20,2.31,36.9691667,-121.6166667,3.96,13,3
11,2.19,36.2423333,-120.8075,6.69,13,3
9,2.63,38.8415,-122.8236667,1.77,13,3
23,2.02,38.8095,-122.8135,1.68,12,3
14,2.16,36.6196667,-121.2268333,4.89,12,3
7,2.13,36.4985,-121.0785,4.46,11,3
3,2.56,36.806,-122.0891667,9.7,11,3
2,2.51,37.2605,-121.6368333,6.4,11,3
20,2.19,37.841,-121.7811667,15.01,10,3
16,2.1,37.3071667,-121.6788333,6.04,9,3
8,2.09,38.8235,-122.846,1.74,8,3
5,2.56,38.8301667,-122.8486667,1.72,8,3
5,3.77,38.8263333,-122.8495,1.74,8,3
5,2.32,36.5886667,-121.1833333,5.14,8,3
17,2.52,38.5255,-122.2818333,11.39,7,3
9,2.09,37.576,-121.7003333,7.16,7,3
17,2.39,38.817,-122.807,3.26,6,3
11,2.13,36.5863333,-121.1871667,4.04,4,3
9,2.45,38.8098333,-122.8145,2.18,3,3
6,2.09,38.801,-122.7361667,1.98,3,3
16,2.91,38.8233333,-122.7628333,2.07,31,2
16,2.49,38.8388333,-122.8285,2.68,31,2
11,2.13,38.843,-122.8361667,2.1,31,2
3,3.47,36.7928333,-120.9848333,5.34,31,2
0,2.81,37.4733333,-121.7768333,9.54,31,2
13,2.13,38.7896667,-122.7343333,1.42,30,2
3,2.43,38.8065,-122.8201667,2.09,30,2
21,2.14,37.3485,-121.7,8.89,29,2
20,3.05,37.346,-121.695,9.68,29,2
20,2.42,37.353,-121.7155,8.26,29,2
20,2.35,37.3486667,-121.7105,8.3,29,2
20,2.39,37.3485,-121.7093333,8.22,29,2
20,2.55,37.3505,-121.7028333,9.76,29,2
19,2.34,37.3475,-121.7071667,8.35,29,2
19,2.32,37.3445,-121.7056667,8.45,29,2
16,2.32,38.8221667,-122.8086667,2.62,28,2
13,2.06,38.1928333,-121.7745,23.93,27,2
20,2.38,38.8178333,-122.7945,3,26,2
20,2.65,38.809,-122.8238333,1.98,26,2
0,2.07,38.7791667,-122.7178333,1.7,26,2
16,2.23,37.763,-122.167,10.84,25,2
11,2.83,36.811,-121.5353333,5.53,24,2
23,2.58,38.1998333,-121.8003333,23.54,20,2
12,2.23,38.8408333,-122.7658333,0.82,20,2
12,3.05,38.8383333,-122.7648333,0.84,20,2
12,2.89,38.8391667,-122.7638333,0.77,20,2
5,2.06,38.8343333,-122.784,1.43,20,2
22,2.34,37.0421667,-121.4891667,7.7,19,2
20,2.35,37.3121667,-121.671,7.95,19,2
14,2.63,38.8488333,-122.7548333,1.27,19,2
14,3.73,38.8485,-122.758,1.53,19,2
14,2.9,38.7968333,-122.7625,2.69,18,2
23,2.53,38.81,-122.8261667,1.73,16,2
23,2.76,38.8101667,-122.8223333,1.65,16,2
16,2.21,36.9548333,-121.5728333,7.97,16,2
9,2.02,36.4696667,-120.5615,11.82,16,2
8,2.02,38.8366667,-122.8285,2.03,16,2
1,2.46,36.562,-121.072,6.43,15,2
20,2.34,38.3715,-122.6135,4.49,13,2
16,2.35,36.7688333,-121.4641667,4.02,13,2
12,2.14,38.8356667,-122.8006667,1.98,13,2
16,2.32,38.8293333,-122.807,0.25,12,2
16,2.23,38.8285,-122.8056667,0.6,12,2
14,2.85,38.7883333,-122.7828333,2.35,12,2
4,2.49,36.4776667,-121.0566667,7.48,12,2
19,2.03,38.8235,-122.7965,2.95,11,2
16,2.83,37.8943333,-122.0753333,8.23,11,2
2,2.56,38.8191667,-122.8048333,2.3,10,2
19,2.8,38.8071667,-122.7996667,0.76,9,2
19,2.95,37.6431667,-121.6811667,1.38,9,2
23,2.12,38.8273333,-122.825,0.68,8,2
22,2.36,36.667,-121.2876667,2.35,8,2
12,2.47,37.6578333,-121.67,1.34,8,2
9,2.54,38.342,-122.5721667,6.26,8,2
7,2.07,38.8055,-122.7898333,0.06,8,2
5,2.07,38.7871667,-122.7453333,0.99,8,2
3,2.7,38.8063333,-122.8106667,2.08,8,2
3,2.04,38.8071667,-122.81,1.73,8,2
22,2.58,38.8303333,-122.8076667,1.2,7,2
9,2.59,38.8418333,-122.8385,1.92,7,2
19,2.94,36.9808333,-121.4626667,5.88,6,2
7,2.16,36.6233333,-121.2311667,5.68,5,2
13,2.7,38.7635,-122.7403333,1.57,29,1
2,2.61,38.8251667,-122.7968333,1.71,29,1
20,2.07,38.8445,-122.8293333,1.39,28,1
21,2.83,36.6223333,-121.2318333,5.6,27,1
21,2.24,36.5388333,-121.0955,7.12,27,1
12,2.04,36.5548333,-121.0585,9.29,27,1
9,2.63,38.7886667,-122.7773333,3.44,27,1
6,2.22,38.7491667,-122.7008333,1.45,27,1
4,2.36,36.5553333,-121.0563333,9.34,27,1
19,2.66,38.357,-122.3943333,7.53,25,1
4,2.18,36.9483333,-120.2801667,5.47,25,1
22,2.46,38.8143333,-122.8126667,2.68,24,1
21,2.07,38.2581667,-122.1738333,8.84,24,1
15,2.59,38.8113333,-122.8168333,2.51,24,1
15,2.87,38.8081667,-122.813,3.27,24,1
3,2.05,37.3593333,-121.712,8.96,24,1
19,2.09,38.8475,-122.7955,1.09,23,1
15,2.19,38.8171667,-122.7968333,3.37,23,1
21,2.32,36.6126667,-120.8246667,6.64,22,1
18,2.9,37.3528333,-122.21,9.72,22,1
13,2.04,38.8126667,-122.7903333,1.65,21,1
11,2.36,38.7923333,-122.8056667,2.98,21,1
23,2.09,38.3641667,-122.2258333,12.27,20,1
9,2.03,36.871,-121.6021667,6.5,19,1
20,2.04,38.8278333,-122.806,0.65,18,1
19,2.01,37.7225,-122.5421667,6.3,18,1
1,2.51,36.8108333,-121.5318333,3.84,17,1
19,2.56,36.588,-121.1846667,3.84,15,1
16,2.79,37.982,-122.0623333,17.59,14,1
12,2.24,36.4776667,-121.058,8.37,14,1
8,2.41,36.399,-120.9821667,5.14,14,1
11,2.03,38.8315,-122.8075,0.77,13,1
3,2.65,38.4485,-122.5255,8.02,13,1
1,2.44,39.005,-122.5893333,5.75,13,1
18,2.77,38.792,-122.7566667,1.04,12,1
5,2.05,36.9565,-121.4486667,4.67,11,1
9,2.61,38.8108333,-122.825,2.33,9,1
13,2.6,36.9563333,-121.4465,5.03,8,1
23,2.47,38.7966667,-122.7555,1.42,6,1
22,2.02,38.8403333,-122.8305,2.72,6,1
22,2.25,38.8411667,-122.8283333,2.23,6,1
