Time,Mag,Lat,Long,Depth,Day,Month
15,2.13,38.8188333,-122.799,2.85,31,4
9,2.03,38.7998333,-122.8145,3.378,31,4
8,2.48,36.5845,-121.1856667,6.44,31,4
15,2.75,38.8316667,-122.8236667,1.111,30,4
11,2.15,37.1538333,-121.6616667,8.821,29,4
5,2.44,37.1805,-121.5821667,2.711,29,4
1,2.03,38.7936667,-122.7473333,0.803,29,4
23,2.27,38.8376667,-122.8225,2.076,28,4
18,2.56,38.8255,-122.8018333,3.06,28,4
7,2.95,38.8321667,-122.8013333,0.62,28,4
5,2.11,37.5848333,-121.695,4.114,28,4
3,2.58,37.355,-121.7218333,5.568,25,4
23,2.08,38.0781667,-121.8643333,19.545,24,4
21,2.74,38.799,-122.74,1.844,24,4
20,2.12,38.793,-122.7505,1.933,24,4
20,2.07,36.5868333,-121.1941667,5.383,24,4
16,2.71,36.5863333,-121.1856667,6.67,23,4
16,2.34,36.5863333,-121.1868333,6.25,23,4
16,2.36,36.587,-121.1853333,5.96,23,4
6,3.22,36.59,-121.19,6.565,23,4
14,2.06,37.9788333,-122.0306667,19.217,22,4
8,2.99,38.8125,-122.7816667,0.213,21,4
12,2.13,36.8936667,-121.6068333,1.966,20,4
18,2.11,36.5918333,-121.1971667,6.345,19,4
12,2.2,36.5988333,-121.2011667,6.153,19,4
9,2.39,36.5998333,-121.2025,5.91,19,4
9,4,36.5985,-121.1975,7.143,19,4
9,3.41,36.5998333,-121.2011667,6.483,19,4
9,2.41,36.5988333,-121.2016667,5.853,19,4
9,2.22,36.5996667,-121.2026667,5.803,19,4
4,2.36,38.81,-122.7698333,1.803,19,4
13,2.09,38.793,-122.7443333,0.444,18,4
2,2.1,38.8215,-122.8091667,3.28,17,4
17,2,38.8011667,-122.8041667,2.771,16,4
15,2.07,37.2603333,-122.1511667,10.24,15,4
13,2.25,37.255,-122.1643333,7.24,15,4
12,2.87,36.5715,-121.0326667,7.924,15,4
17,3.11,38.8233333,-122.7933333,0.09,14,4
7,3.31,36.9385,-121.683,11.69,13,4
1,2.15,36.548,-121.1358333,2.092,13,4
16,2.27,36.4296667,-120.9875,1.088,12,4
11,2.43,36.431,-120.9915,1.038,12,4
4,2.13,38.8035,-122.8133333,3.49,12,4
23,2.62,38.8066667,-122.8081667,1.84,11,4
19,2.01,36.5216667,-121.0235,7.975,11,4
12,2.06,36.4438333,-121.003,1.349,11,4
11,2.68,38.1045,-121.8766667,20.765,10,4
11,3.07,38.797,-122.7661667,0.813,9,4
13,2.04,36.538,-121.0973333,7.904,8,4
4,2.24,38.6016667,-122.2046667,5.422,8,4
11,2.23,38.7833333,-122.4575,7.411,6,4
23,2.4,36.5615,-121.0561667,7.872,5,4
23,2.86,36.5608333,-121.0566667,7.742,5,4
23,2.26,36.6025,-121.1266667,9.277,4,4
5,2.09,36.8628333,-121.328,6.158,4,4
23,2.52,38.8266667,-122.4656667,6.199,3,4
23,2.38,37.866,-121.9948333,8.896,3,4
14,2.27,36.498,-121.0733333,3.394,3,4
17,2.37,36.4975,-121.0726667,3.244,2,4
4,2.05,36.8228333,-121.5423333,4.49,29,3
3,2.29,36.8233333,-121.5421667,4.44,29,3
2,2.14,38.585,-122.702,1.832,29,3
20,2.53,36.6521667,-121.2743333,6.536,27,3
15,2.29,38.7938333,-122.7438333,0.864,26,3
23,2.81,37.7813333,-122.2085,9.447,25,3
16,2.09,36.7316667,-122.0383333,9.276,25,3
9,2.46,38.8143333,-122.7836667,0.213,25,3
1,2.02,36.4065,-120.9741667,1.211,25,3
14,2.55,36.5191667,-121.0258333,8.055,24,3
13,2.14,36.5153333,-121.0246667,7.445,24,3
12,3.79,36.5195,-121.0218333,9.135,24,3
8,2.51,38.8193333,-122.83,2.011,24,3
2,2.24,36.6203333,-121.2271667,4.72,24,3
1,2.25,36.5741667,-121.1693333,5.552,24,3
1,2.81,36.52,-121.0235,7.615,21,3
12,2.51,38.2571667,-122.2586667,11.344,20,3
2,2.01,37.5045,-121.4231667,2.368,19,3
16,2.38,36.4676667,-121.0443333,7.304,18,3
5,2.98,38.7923333,-122.7466667,1.774,17,3
6,2.05,37.285,-121.6668333,3.068,16,3
17,2.19,38.8186667,-122.8445,1.771,15,3
11,2.48,36.9821667,-121.6498333,3.98,14,3
21,2.2,36.6805,-121.3058333,2.505,13,3
19,2.12,36.7793333,-121.4116667,9.422,13,3
14,2.22,38.8338333,-122.4118333,5.914,12,3
18,2.36,37.4043333,-121.803,1.637,11,3
0,2.09,38.7756667,-122.745,2.651,11,3
3,3.02,36.8345,-121.5723333,8.736,9,3
14,2.23,38.826,-122.41,6.644,8,3
17,3.19,38.8233333,-122.7761667,2.333,7,3
11,3.25,38.7971667,-122.781,4.461,5,3
3,2.22,38.8211667,-122.8023333,2.7,5,3
2,2.51,38.7941667,-122.7691667,1.171,5,3
17,2.37,36.8603333,-121.5923333,6.699,2,3
17,2.48,38.2916667,-122.6036667,3.061,2,3
21,2.68,38.85,-121.9665,6.716,1,3
16,2.32,38.835,-122.8093333,0.71,1,3
12,2.68,38.7883333,-122.7591667,1.131,1,3
22,2.28,36.78,-121.3768333,13.392,31,2
17,2.1,38.8211667,-122.8018333,2.98,31,2
16,2.07,38.5526667,-122.6596667,4.024,31,2
12,2.42,37.4985,-121.62,6.257,30,2
8,2.12,38.5183333,-122.7598333,1.236,30,2
18,2.34,36.5168333,-121.0253333,7.235,29,2
1,2.33,36.4695,-121.0478333,5.444,29,2
22,2.82,38.7971667,-122.8025,2.788,27,2
7,2.74,36.6415,-121.2536667,5.39,27,2
2,2.05,36.9303333,-122.4623333,13.222,27,2
16,2.77,37.1533333,-121.5433333,7.217,25,2
14,2.02,38.8155,-122.8103333,3.418,25,2
19,2.63,36.5848333,-121.1798333,4.267,24,2
19,2.19,36.8381667,-121.5735,7.686,24,2
16,2.75,38.8978333,-123.0071667,4.796,23,2
4,2.09,36.5528333,-121.143,2.126,23,2
19,2.01,35.9751667,-121.5371667,0.849,22,2
5,3.34,38.7991667,-122.7635,3.513,22,2
4,2.26,36.5793333,-121.175,5.242,22,2
3,2.32,36.5786667,-121.1731667,4.872,22,2
3,2.47,36.578,-121.1736667,5.582,22,2
17,2.02,36.7835,-121.4345,9.122,21,2
7,2.6,38.8143333,-122.7741667,1.723,21,2
1,2.63,36.5805,-121.0438333,6.912,21,2
0,2.11,38.7878333,-122.7581667,1.021,21,2
21,2.1,38.8043333,-122.8256667,0.729,20,2
15,2.63,38.819,-122.8165,1.393,19,2
15,3.01,38.821,-122.8133333,2.523,19,2
3,2.1,38.8595,-122.807,0.828,19,2
20,2.26,38.2296667,-122.1601667,11.284,18,2
19,2.31,38.7865,-122.7601667,1.001,18,2
12,2.04,38.8328333,-122.818,0.58,18,2
11,2,38.6536667,-122.6458333,6.547,18,2
7,2.3,37.9175,-122.288,5.051,18,2
15,2.29,36.5816667,-121.1366667,7.939,17,2
10,2.38,37.2611667,-121.6458333,4.158,17,2
0,2.81,38.815,-122.8155,1.1,16,2
21,2.3,37.1111667,-121.8186667,4.001,15,2
19,2.36,37.0093333,-121.4561667,7.758,15,2
17,2.23,36.8778333,-121.611,6.838,15,2
7,2.03,38.82,-122.8035,1.253,15,2
21,2.25,38.7951667,-122.7668333,0.593,14,2
21,3.49,38.7918333,-122.776,2.041,14,2
20,2.18,37.63,-122.4813333,6.358,14,2
20,2.23,38.7866667,-122.7598333,0.211,14,2
13,3.22,37.79,-121.9386667,10.224,14,2
12,2.1,38.8245,-122.8293333,0.539,14,2
10,2.04,37.7873333,-121.9385,9.844,14,2
16,3.12,37.1271667,-121.527,7.387,13,2
8,2.16,36.9891667,-121.8631667,5.814,13,2
12,2.4,38.1173333,-122.45,9.316,12,2
23,2.38,36.9725,-121.61,3.205,10,2
17,2.22,36.7125,-121.3478333,1.069,10,2
10,2.67,37.1286667,-121.5283333,7.467,10,2
9,2.57,36.6361667,-121.2495,5.88,9,2
0,2.9,36.5933333,-121.1911667,4.773,9,2
23,2.04,38.79,-122.7763333,3.371,8,2
19,2.22,38.8248333,-122.8026667,3.54,8,2
17,2.24,38.825,-122.8028333,3.45,8,2
16,2.18,37.0061667,-121.4786667,4.698,8,2
16,2.24,38.7995,-122.8006667,1.181,8,2
11,2.79,38.8021667,-122.807,0.611,8,2
2,2.27,36.8488333,-121.5755,4.686,8,2
23,2.01,38.1163333,-122.4433333,8.356,7,2
17,2.12,38.7998333,-122.8023333,1.361,7,2
0,2.07,37.9418333,-121.7313333,0.518,5,2
23,2.48,38.7888333,-122.7738333,1.571,4,2
10,2.06,38.7983333,-122.741,1.384,4,2
12,2.11,36.4091667,-120.9876667,5.211,3,2
10,2.14,38.8305,-122.8033333,0.99,3,2
9,2.34,38.8068333,-122.78,1.323,3,2
6,2.12,36.0186667,-121.5818333,16.028,3,2
11,2.34,36.7131667,-121.3461667,1.369,2,2
10,2.08,38.6083333,-122.8586667,5.088,2,2
2,2.1,38.5748333,-122.2858333,3.886,2,2
18,2.56,36.6393333,-121.2576667,4.86,28,1
18,3.7,36.6398333,-121.2535,6.21,28,1
9,2.96,37.2993333,-121.673,6.538,27,1
9,3.08,38.8113333,-122.8126667,3.53,27,1
2,2.3,38.818,-122.8101667,3.27,27,1
22,2.25,36.2556667,-120.8233333,5.636,26,1
4,2.38,36.5805,-121.1751667,4.852,26,1
6,2.04,37.4968333,-121.6835,7.981,24,1
3,2.11,37.5823333,-121.7016667,4.287,24,1
13,2.15,36.8931667,-121.6043333,1.9,23,1
2,2.19,37.4296667,-121.7753333,8.34,23,1
22,2.54,38.8241667,-122.8348333,0.059,22,1
22,2.84,38.7835,-122.7713333,1.361,22,1
22,2.1,38.788,-122.7716667,0.921,22,1
13,2.03,37.5751667,-121.5943333,1.593,22,1
12,2.04,36.54,-120.9676667,4.252,22,1
5,2.42,36.5948333,-121.2023333,8.645,22,1
15,2.02,36.5356667,-121.1246667,5.616,21,1
13,2.2,38.8101667,-122.8,0.793,21,1
7,2.4,36.0413333,-121.5771667,9.453,21,1
1,2.27,37.1586667,-121.544,8.267,21,1
13,2.62,38.8383333,-122.8243333,0.896,19,1
13,2.13,38.8363333,-122.8236667,0.246,19,1
10,2.28,36.6205,-121.2286667,5.49,19,1
3,2.39,38.7633333,-122.4543333,7.752,19,1
12,2.05,38.8065,-122.8098333,1.93,17,1
2,2.11,38.82,-122.7998333,3.22,17,1
0,3.3,36.6915,-121.3161667,3.085,17,1
22,2.03,38.6028333,-122.8438333,1.038,16,1
20,2.44,38.6953333,-122.4086667,8.009,16,1
8,2.35,38.8348333,-122.8795,2.662,15,1
10,2.01,38.8023333,-122.7996667,0.433,14,1
10,2.11,38.817,-122.78,1.483,14,1
19,2.87,36.5423333,-120.6696667,6.84,13,1
14,2.78,38.7938333,-122.779,2.421,12,1
11,2.13,36.0081667,-121.5981667,16.128,12,1
2,3.08,36.8108333,-120.9015,3.391,12,1
10,2.54,36.6398333,-121.2536667,5.62,11,1
2,2.76,38.7938333,-122.7423333,2.164,11,1
23,2.48,38.8033333,-122.4806667,7.942,10,1
7,3.3,38.7953333,-122.7963333,0.991,10,1
3,3.12,38.8285,-122.8081667,0.85,10,1
0,2.26,38.811,-122.4613333,8.392,10,1
23,2.23,38.8336667,-122.8253333,1.291,9,1
21,2.07,38.8311667,-122.8006667,0.68,8,1
21,2.19,38.8343333,-122.7983333,0.203,8,1
5,2.18,36.9358333,-121.5611667,6.618,8,1
0,2.26,36.956,-121.571,6.345,8,1
12,2.57,36.8095,-121.3925,7.171,7,1
21,2.18,38.832,-122.828,0.866,5,1
7,2.35,38.7856667,-122.7735,0.381,5,1
5,2.24,38.354,-122.3996667,7.251,4,1
16,2.1,38.8065,-122.7533333,0.673,2,1
14,2.13,38.7863333,-122.7581667,1.341,2,1
16,2.1,38.8341667,-122.8228333,1.156,1,1
8,2.02,36.6826667,-121.3075,3.575,1,1
18,2.29,38.8813333,-122.8223333,0.77,31,0
0,2.35,38.7936667,-122.4661667,6.941,31,0
8,2.01,38.785,-122.7735,2.791,30,0
3,2.19,36.6773333,-121.3021667,4.586,30,0
21,2.32,38.8138333,-122.4756667,8.242,29,0
21,2.59,38.815,-122.4725,7.472,29,0
14,2.09,38.82,-122.7911667,0.01,29,0
19,2.25,38.8118333,-122.8113333,3.73,28,0
11,2.87,36.2361667,-120.7955,8.166,28,0
0,2.74,38.8028333,-122.4585,9.872,28,0
19,2.59,38.8016667,-122.4663333,8.842,26,0
17,2.69,38.8046667,-122.4841667,8.562,26,0
13,2.12,36.6165,-121.221,4.193,26,0
3,2.02,38.7671667,-122.4536667,6.482,26,0
19,2.51,36.5725,-121.1646667,2.602,25,0
12,2.52,38.8181667,-122.811,3.19,25,0
10,2.21,38.7861667,-122.7585,0.881,24,0
1,2.69,38.77,-122.4556667,7.822,24,0
23,2.2,38.8216667,-122.7756667,2.053,23,0
23,2.23,38.823,-122.776,1.933,23,0
8,2.3,38.839,-122.8208333,2.561,23,0
1,2.99,36.543,-121.1308333,5.446,23,0
23,2.47,38.822,-122.7985,3.58,22,0
23,2.15,38.8168333,-122.4736667,7.391,21,0
11,2.04,38.7678333,-122.4563333,6.822,21,0
19,2.18,38.7931667,-122.7725,0.711,20,0
8,2.21,38.7633333,-122.4538333,7.702,19,0
0,2.11,38.7838333,-122.757,0.951,19,0
8,2.45,38.789,-122.75,0.401,18,0
11,2.11,38.8055,-122.473,7.482,17,0
10,2.02,38.7866667,-122.4338333,8.722,17,0
7,2.05,38.8043333,-122.4756667,7.341,17,0
6,4.16,38.8068333,-122.4466667,10.672,17,0
12,2.02,38.7946667,-122.747,1.713,15,0
3,2.6,38.7863333,-122.7571667,2.101,15,0
23,2.27,38.8395,-122.8243333,2.151,13,0
22,2.01,37.7718333,-121.6268333,3.068,13,0
18,2.02,37.491,-121.8083333,7.996,13,0
16,2.07,38.8165,-122.78,1.713,13,0
11,2.9,37.7438333,-121.3845,9.723,12,0
23,2.08,38.8315,-122.8271667,0.766,11,0
8,2.18,38.8383333,-122.8201667,2.011,11,0
2,4.1,36.9885,-121.7333333,13.339,11,0
11,2.7,37.776,-122.2278333,5.424,10,0
13,2.13,38.8173333,-122.8211667,0.971,8,0
13,2.01,38.8195,-122.8226667,0.84,8,0
13,2.63,38.819,-122.8201667,0.461,8,0
0,2.47,36.898,-121.6248333,5.201,7,0
3,2.69,36.8693333,-121.5975,5.927,6,0
2,2.11,38.786,-122.7581667,1.581,5,0
14,2.11,36.6161667,-121.22,3.833,4,0
9,2.03,38.7865,-122.7585,1.001,4,0
1,2.78,37.775,-122.5801667,10.286,2,0
19,3.11,37.7723333,-122.5835,10.866,1,0
14,2.67,36.5861667,-121.1823333,4.477,1,0
8,2.05,37.167,-122.3986667,6.906,1,0
14,2,38.8286667,-122.7971667,0.731,30,10
6,2.2,36.4616667,-121.0296667,1.049,30,10
17,2.39,38.7943333,-122.7646667,0.751,29,10
14,2.38,38.7745,-122.7043333,0.931,27,10
15,2.3,36.8908333,-121.6306667,8.548,24,10
8,2.67,38.7876667,-122.7745,1.311,24,10
5,2.12,38.8068333,-122.8031667,0.87,24,10
4,2.21,38.8071667,-122.805,0.94,24,10
4,2.91,38.8128333,-122.8028333,1.25,24,10
7,2.08,38.7841667,-122.7716667,1.021,22,10
3,2.12,36.5213333,-121.0221667,7.595,22,10
0,2.18,37.1896667,-120.5253333,14.53,22,10
23,2.11,38.7938333,-122.7448333,0.884,21,10
23,2.29,38.7933333,-122.7441667,1.014,21,10
10,2.89,36.244,-120.8011667,6.897,21,10
10,2.02,38.8305,-122.7733333,0.884,21,10
15,2.35,38.8106667,-122.7745,1.523,19,10
1,3.1,38.3985,-122.6296667,3.758,18,10
5,2.07,38.643,-122.7336667,4.127,17,10
0,2.09,38.8523333,-122.7958333,0.798,17,10
8,2.03,37.29,-121.6701667,3.208,16,10
3,2.98,38.8335,-122.878,1.612,16,10
