Month,Day,Time,Mag,Lat,Long,Depth
4,30,19,2.5,38.8296667,-122.8233333,0.501
4,30,19,3.16,38.8331667,-122.817,1.26
4,30,14,2.2,38.887,-123.0058333,4.376
4,28,2,2.23,36.7773333,-121.4953333,7.84
4,28,1,2.41,36.7765,-121.494,7.82
4,27,6,2.03,36.4886667,-121.064,1.604
4,26,5,2.22,38.785,-122.7583333,1.131
4,25,9,2.63,38.8326667,-122.816,0.16
4,24,14,2.07,38.8606667,-122.574,17.351
4,23,19,2.17,38.8066667,-122.774,1.453
4,23,3,2.08,38.8038333,-122.774,1.593
4,23,3,3.59,38.802,-122.7748333,1.393
4,21,14,2.29,38.8066667,-122.8035,0.73
4,20,14,2.01,38.7873333,-122.7583333,0.981
4,20,13,2.02,37.9243333,-121.9393333,2.941
4,19,21,2.52,38.8231667,-122.8168333,1.16
4,19,21,2.67,38.8175,-122.8178333,0.87
4,19,14,2.36,38.829,-122.8005,0.66
4,17,22,2.03,38.8013333,-122.8071667,0.431
4,17,11,2.04,36.6745,-121.2971667,3.672
4,16,2,2.25,38.7858333,-122.7833333,3.521
4,14,18,2.36,36.9395,-121.4328333,4.941
4,14,18,2.13,36.9406667,-121.4336667,5.051
4,14,17,2.18,36.9405,-121.433,5.551
4,14,17,3.13,36.9415,-121.4338333,6.051
4,14,16,3.22,36.9388333,-121.4326667,6.871
4,14,15,2.17,37.8718333,-122.2408333,10.145
4,14,7,2.56,38.7816667,-122.7235,2.014
4,14,3,2.58,38.8018333,-122.802,1.581
4,13,8,2.03,36.8256667,-121.5505,5.466
4,13,4,2.1,37.356,-121.7203333,6.748
4,13,4,2.04,38.7946667,-122.7431667,0.804
4,12,10,2.35,36.565,-121.161,6.022
4,11,23,2.18,38.8196667,-122.7896667,0.52
4,11,23,2.02,38.819,-122.7905,0.6
4,11,20,2.69,37.2546667,-121.6395,5.516
4,11,9,2.54,36.8186667,-121.5405,5.55
4,11,3,2.27,36.8488333,-121.5741667,4.706
4,11,0,2.2,36.6175,-121.2243333,4.913
4,10,20,3.53,36.8475,-121.5696667,4.806
4,10,20,2.83,36.847,-121.5713333,5.426
