Time,Mag,Lat,Long,Depth,Day,Month
17,3.03,38.8221667,-122.7943333,3.01,30,4
15,2.4,37.1253333,-121.5268333,7.25,30,4
8,2.11,36.242,-120.8181667,6,30,4
15,2.25,37.2421667,-121.626,4.97,29,4
12,2.8,38.8105,-122.8193333,2.78,29,4
9,2.84,38.8085,-122.8183333,2.15,29,4
19,2.68,38.8433333,-122.8228333,2.5,28,4
5,2.09,38.8008333,-122.8225,2.08,28,4
22,2.07,38.2145,-121.7855,21.99,27,4
21,2.69,38.811,-122.8075,3.34,27,4
16,2,36.6545,-121.2721667,4.66,27,4
5,2.45,38.8351667,-122.7893333,1.8,27,4
0,2.02,36.4681667,-121.0478333,4.83,27,4
21,2.27,38.7816667,-122.7781667,3.1,26,4
15,2.17,36.2241667,-121.7311667,7.34,26,4
8,2.45,38.81,-122.8256667,1.96,25,4
21,2.9,38.8218333,-122.8503333,2.61,24,4
7,2.01,36.5725,-121.1236667,8.79,24,4
15,2.25,38.8278333,-122.853,2.31,23,4
23,3.03,38.808,-122.816,1.54,21,4
8,2.22,37.5378333,-121.9168333,9.06,21,4
6,2.11,38.817,-122.7896667,2.77,20,4
10,2.34,38.8255,-122.8035,2.88,19,4
22,2.21,38.7966667,-122.7828333,3.65,17,4
14,2.11,38.8588333,-122.5341667,8.04,17,4
10,2.01,38.7885,-122.7421667,0.85,15,4
7,2.3,36.8838333,-121.4128333,9.17,15,4
21,2,38.8383333,-122.823,1.63,14,4
22,2.43,36.4736667,-121.0488333,0.68,13,4
11,2.38,38.7936667,-122.7786667,3.55,13,4
10,2.08,38.8116667,-122.824,2.04,13,4
2,2.12,38.3533333,-122.398,7.75,13,4
5,2.39,38.8193333,-122.7875,1.45,12,4
3,2.01,38.898,-122.8573333,2.1,12,4
22,2.41,38.8005,-122.78,3.15,11,4
22,2.74,36.6565,-121.2741667,4.72,10,4
10,2.23,36.6578333,-121.2745,3.87,10,4
23,2.68,38.8221667,-122.8113333,3.34,9,4
20,2.82,38.8035,-122.7785,1.32,9,4
19,2.11,37.3115,-121.6813333,7.36,9,4
19,2.17,38.8158333,-122.8191667,2.49,9,4
13,2.13,36.622,-121.2308333,5.76,9,4
7,2.31,36.4586667,-121.0351667,5.24,8,4
22,2.61,37.3368333,-121.7015,8.09,6,4
19,2.56,37.3381667,-121.6986667,8.36,6,4
8,2.29,36.5423333,-121.1331667,7.75,5,4
5,2.24,37.8626667,-122.2431667,10.41,5,4
11,2.67,38.8123333,-122.8148333,3.06,4,4
12,2.09,38.8211667,-122.8131667,2.64,3,4
3,2.74,38.8268333,-122.7898333,1.43,2,4
22,3.2,38.5431667,-122.5951667,10.86,1,4
23,2.05,37.767,-122.1533333,3.5,29,3
12,2.07,38.8188333,-122.797,3.38,29,3
12,2.97,38.8166667,-122.802,3.5,29,3
12,2.87,38.8188333,-122.8,3.57,29,3
12,2.54,38.8228333,-122.8008333,3.11,29,3
12,2.21,38.8186667,-122.8003333,3.58,29,3
8,2.32,38.8076667,-122.8263333,1.88,29,3
20,2.14,36.2663333,-120.849,6.8,28,3
8,2.04,36.5528333,-121.1413333,3.06,28,3
10,2.58,36.607,-121.2071667,2.48,27,3
5,2.86,38.8336667,-122.78,1.93,27,3
2,3.37,37.9951667,-122.0605,17.42,27,3
7,2.54,38.7875,-122.7208333,1.68,26,3
18,2.37,36.8503333,-121.5756667,3.64,24,3
17,2.09,37.3721667,-121.7316667,6.02,24,3
3,2.38,36.5611667,-121.061,8.87,24,3
14,2.15,38.7893333,-122.7618333,0.22,23,3
9,2.26,37.0421667,-122.1283333,9.58,22,3
22,3.59,36.6018333,-121.2125,8.62,21,3
21,2.39,38.7885,-122.7781667,3.64,21,3
9,2.96,38.7901667,-122.7673333,2.65,21,3
20,2.09,38.796,-122.7686667,1.76,20,3
8,2.33,38.8345,-122.808,2.19,20,3
