Month,Day,Time,Mag,Lat,Long,Depth
4,31,15,2.32,37.9521667,-121.6505,4.728
4,31,12,2.85,37.472,-121.8173333,6.664
4,31,0,2.8,36.9115,-121.4746667,4.596
4,30,23,2.54,36.575,-121.171,5.469
4,29,10,2.36,36.8708333,-121.5858333,6.073
4,29,2,2.99,37.8635,-121.8386667,8.445
4,29,0,2.01,36.9313333,-121.4668333,5.116
4,28,21,2.5,36.9123333,-121.4823333,4.194
4,28,21,2.97,36.561,-121.1568333,2.088
4,28,21,3.64,36.4771667,-121.0566667,6.721
4,28,12,2.66,36.3953333,-120.7821667,8.742
4,28,6,2.95,37.9791667,-122.045,13.154
4,28,1,2.19,36.9646667,-121.5955,6.773
4,27,10,2.43,38.803,-122.8011667,2.165
4,27,5,3.58,36.967,-121.5976667,7.173
4,27,1,2.51,37.6771667,-122.072,5.162
4,26,13,2.32,36.914,-121.4758333,3.024
4,26,12,2.61,38.003,-121.8543333,17.082
4,26,9,3.71,36.714,-121.3536667,2.573
4,26,8,2.42,36.9116667,-121.4731667,3.724
4,26,7,3.17,36.9126667,-121.4731667,5.836
4,25,17,2.52,38.8096667,-122.451,6.826
4,25,17,2.19,38.8093333,-122.4446667,8.579
4,25,14,2.73,36.8926667,-120.9146667,2.285
4,25,13,3.03,36.5645,-121.1571667,2.399
4,25,6,2.53,37.6105,-121.7758333,8.404
4,24,23,4.34,37.194,-120.9676667,1.168
4,24,20,2.25,36.9255,-121.4658333,3.086
4,24,5,2.65,36.464,-121.0406667,5.143
4,23,23,3.26,36.5455,-121.1371667,5.642
4,23,12,2.74,36.7073333,-121.172,11.182
4,23,9,2.02,37.7231667,-122.3773333,4.585
4,23,4,2.29,38.4575,-122.6456667,10.275
4,22,22,3.32,36.6665,-121.283,2.648
4,22,19,2,36.9748333,-121.462,3.196
4,22,9,2.12,37.722,-122.3765,0.147
4,22,7,3.89,36.5911667,-121.1998333,7.082
4,21,19,2.53,36.2251667,-120.8185,3.271
4,21,16,3.43,36.7486667,-121.5918333,4.009
4,21,14,3.49,36.9081667,-121.4753333,4.616
4,20,22,2.42,36.9586667,-121.572,5.972
4,20,16,2.4,36.9878333,-121.4431667,4.201
4,20,11,2.99,36.8915,-121.349,3.523
4,20,10,2.87,37.0126667,-121.7075,10.437
4,18,23,2.14,37.2928333,-121.6506667,5.587
4,18,22,3.1,37.1951667,-120.9608333,0.055
4,18,7,2.42,37.2331667,-121.6591667,5.695
4,18,4,2.36,36.5841667,-121.0843333,10.389
4,18,3,2.39,36.7145,-121.0985,0.446
4,17,20,3.31,36.4958333,-121.0718333,3.291
4,17,18,2.61,36.5633333,-121.063,10.699
4,17,13,2.53,36.5805,-121.0905,10.719
4,17,11,2.27,36.5045,-121.0908333,7.781
4,16,22,2.42,37.1623333,-121.5518333,5.447
4,16,15,3,37.3466667,-121.7081667,7.533
4,16,14,2.37,37.3441667,-121.7085,7.663
4,16,6,2.33,37.9345,-122.2848333,8.568
4,16,2,4.06,36.5968333,-121.2068333,8.702
4,15,23,2.56,36.5931667,-121.0951667,9.809
4,15,23,4.01,36.5911667,-121.0888333,10.869
4,14,23,3.28,36.85,-121.5851667,8.623
4,14,21,2.89,36.5638333,-121.1608333,1.319
4,14,18,2.42,36.91,-121.4731667,4.314
4,14,14,3,36.9363333,-121.6848333,12.419
4,14,14,2.09,36.538,-121.1365,6.009
4,14,3,2.21,36.5446667,-121.1253333,4.679
4,14,0,2.08,37.152,-121.0128333,2.226
4,13,21,2.33,36.574,-121.036,5.569
4,13,20,2.62,36.5708333,-121.039,6.829
4,13,0,2.5,36.505,-121.0866667,3.691
4,12,23,2.11,37.5281667,-121.894,7.57
4,12,9,2.63,37.376,-121.7683333,2.998
4,12,2,2.08,36.7101667,-121.1788333,8.452
4,11,22,2.31,36.6071667,-121.1826667,6.607
4,11,19,2.48,36.4988333,-121.0733333,3.311
4,11,14,3.9,36.5643333,-121.1238333,8.659
4,11,10,2.9,36.6478333,-121.2665,4.478
4,11,9,2.36,36.6983333,-121.3375,3.944
4,11,4,2.82,36.4671667,-121.0503333,1.701
4,10,21,3.41,36.9571667,-121.5743333,7.023
4,10,17,2.23,36.912,-121.4731667,4.954
4,10,17,2.25,36.7818333,-121.4348333,6.407
4,10,9,2.58,38.8145,-122.7965,3.235
4,10,4,2.33,36.3238333,-120.7206667,9.516
4,9,22,2.29,37.4653333,-121.6001667,6.335
4,9,15,3.36,36.4831667,-121.062,4.711
4,9,11,3.38,36.8326667,-121.5585,6.851
4,9,10,2.6,36.9105,-121.4788333,4.674
4,9,3,2.53,36.4778333,-121.0558333,5.211
4,8,13,2.97,36.992,-121.6536667,5.349
4,8,0,2.71,36.5065,-121.0896667,4.881
4,7,22,2.35,36.9721667,-121.6078333,5.813
4,7,18,2.66,36.4736667,-121.053,6.641
4,7,17,2.23,36.9536667,-121.4405,5.258
4,7,13,2.88,38.5838333,-122.812,5.523
4,7,9,2.12,36.9128333,-121.4785,2.458
4,7,5,2.94,37.0896667,-122.2718333,14.419
4,7,3,2.87,36.569,-121.1225,8.929
4,6,22,2.84,36.5758333,-121.1233333,11.572
4,6,21,2.56,36.5536667,-121.1185,8.889
4,6,19,2.21,36.55,-121.1428333,2.159
4,6,19,2.41,36.5501667,-121.1393333,2.572
4,6,11,2.41,36.9635,-121.6268333,2.999
4,6,6,2.97,36.8353333,-121.559,5.471
4,5,22,2.07,36.543,-121.1081667,2.519
4,5,21,2.37,36.5076667,-121.0885,4.671
4,5,9,2.23,38.7891667,-122.4546667,11.059
4,5,3,2.63,36.8768333,-121.5155,6.75
4,4,19,2.39,36.7008333,-121.3423333,4.074
4,4,15,2.18,37.3615,-121.732,0.663
4,4,14,3.38,36.3766667,-120.9555,6.351
4,4,12,2.47,37.0146667,-121.7115,11.079
4,3,23,3.5,36.3378333,-121.4188333,6.305
4,3,15,2.25,37.8151667,-121.9525,15.045
4,3,8,2.09,36.9255,-121.4618333,3.704
4,3,5,2.07,36.881,-121.0045,4.609
4,3,4,2.39,37.0123333,-121.7116667,10.549
4,3,2,2.6,36.2465,-120.8043333,5.921
4,2,22,2.55,37.2955,-121.6765,1.887
4,2,16,2.64,36.5936667,-121.2031667,6.287
4,2,14,2.72,37.0121667,-121.7111667,10.987
4,2,13,2.87,36.9151667,-121.424,7.428
4,2,3,2.55,36.2685,-120.7966667,3.901
4,2,1,2.9,36.438,-121.01,5.958
4,1,23,2.09,36.5421667,-121.1218333,3.716
4,1,15,2.4,37.1675,-121.6675,6.666
4,1,0,2.33,36.9023333,-121.4678333,6.374
3,30,19,2.53,36.7048333,-121.347,2.848
3,30,12,2.53,36.2295,-120.8006667,7.481
3,30,7,2.76,36.9075,-121.4745,6.774
3,30,6,2.08,36.9276667,-121.462,3.316
3,29,15,2.83,36.5653333,-121.1623333,2.148
3,29,11,2.41,38.4948333,-122.6018333,5.65
3,29,0,2.11,37.4823333,-121.8051667,6.147
3,28,21,2.9,36.4653333,-121.0398333,2.293
3,28,13,2.99,36.4745,-121.0443333,1.791
3,28,3,3,36.5488333,-121.1211667,3.098
3,27,15,2.51,36.9746667,-121.6106667,1.039
3,27,13,2.88,36.469,-121.0446667,1.221
3,27,10,2.87,36.9735,-121.6138333,1.679
3,27,9,2.32,36.9106667,-121.4696667,5.696
3,27,7,3.35,36.765,-121.4045,5.687
3,26,20,2.7,37.2733333,-121.6371667,5.653
3,26,13,2.61,36.4196667,-121.0036667,0.118
3,26,9,2.36,36.5415,-121.1275,4.007
3,26,5,3.39,36.4308333,-121.0081667,0.387
3,26,2,2.08,37.1225,-121.878,10.067
3,25,14,3.22,36.2236667,-120.8215,3.611
3,25,9,2.33,36.5696667,-121.0965,7.397
3,25,5,2.52,36.511,-121.1023333,4.631
3,24,15,3.01,38.8016667,-122.8075,0.484
3,24,5,2.29,37.0108333,-121.1103333,2.099
3,23,22,3.08,36.5133333,-121.0953333,5.061
3,23,11,2.69,36.9626667,-121.5866667,1.993
3,23,10,2.91,36.4366667,-121.0161667,4.79
3,21,22,2.11,36.3116667,-120.8503333,7.122
3,21,21,2.8,37.4711667,-121.7996667,4.078
3,21,20,2.56,36.8345,-121.4081667,7.887
3,21,19,2.68,36.7735,-120.8793333,2.848
3,20,23,2.52,37.1235,-121.5265,7.064
3,20,19,2.86,36.7746667,-120.8621667,6.898
3,20,6,2.8,36.4386667,-120.62,16.472
3,20,5,3.15,36.3851667,-120.7436667,12.302
3,20,1,3.19,36.4435,-120.6195,14.982
3,19,18,2.35,37.1683333,-121.1171667,2.19
3,19,17,2.49,36.6006667,-121.1206667,7.038
3,19,5,2.48,36.9581667,-121.5733333,5.673
3,19,5,3.4,38.8056667,-122.7681667,2.354
3,19,4,2.81,36.466,-121.0438333,7.263
3,19,4,2.87,37.2846667,-121.6623333,5.763
3,18,16,2.38,36.9346667,-121.4611667,5.054
3,18,12,3.21,36.477,-121.0575,7.071
3,18,9,2.55,36.921,-121.4601667,0.051
3,18,3,2.5,36.537,-121.1285,5.819
3,18,2,2.64,36.9045,-121.4788333,5.356
3,17,20,2.78,36.9573333,-121.443,7.316
3,17,18,2.05,38.4945,-122.604,5.75
3,17,18,3.3,37.9323333,-122.2848333,9.069
3,17,15,3.47,36.2505,-120.8078333,7.452
3,17,13,2.44,36.6043333,-121.2091667,1.957
3,17,11,2.97,36.2393333,-121.7895,4.988
3,17,5,2.52,36.5636667,-121.0663333,9.489
3,17,4,2.49,36.5665,-121.0711667,9.049
3,16,16,3.15,36.6013333,-121.2143333,7.567
3,16,7,2.44,37.1641667,-121.5775,4.196
3,16,1,2.19,36.5661667,-121.1596667,2.979
3,15,21,3,36.7643333,-121.2748333,8.757
3,15,21,3.13,36.6008333,-121.2116667,8.572
3,15,16,2.56,36.9096667,-121.4738333,3.506
3,15,9,3.26,37.1253333,-121.5275,7.431
3,15,0,3.39,36.4385,-120.998,2.848
3,14,20,2.59,36.9436667,-121.448,5.258
3,14,14,3.42,36.5525,-121.1473333,7.859
3,14,10,2.58,36.911,-121.4686667,6.269
3,14,3,2.25,36.5421667,-121.1243333,3.987
3,14,3,2.64,36.5275,-121.1013333,2.607
3,13,23,2.24,36.6191667,-121.1543333,7.209
3,13,19,2.26,36.928,-121.4613333,5.1
3,13,16,2.54,36.9736667,-121.6101667,3.764
3,13,16,2.99,36.5558333,-121.1538333,6.829
3,13,14,3.05,36.5258333,-121.1006667,2.571
3,13,12,3,36.5466667,-121.1206667,3.459
3,13,10,2.22,36.6006667,-121.21,8.217
