Time,Mag,Lat,Long,Depth,Day,Month
15,2.34,36.7268333,-121.1776667,10.393,30,4
5,3.2,37.2901667,-121.6661667,6.313,30,4
0,2.15,37.3743333,-121.7311667,8.077,30,4
22,2.1,37.2916667,-121.6251667,0.503,29,4
20,3.4,37.2621667,-121.6436667,5.963,29,4
14,2.89,37.1481667,-121.572,1.911,29,4
4,2.13,38.7911667,-122.7756667,0.684,29,4
15,2.15,37.288,-121.6586667,8.553,28,4
13,3.15,38.8051667,-122.8036667,0.584,28,4
10,2.58,38.8063333,-122.8075,3.204,28,4
5,2.15,36.4766667,-121.0571667,6.684,28,4
13,2.14,37.2951667,-121.6756667,2.693,27,4
9,2.22,37.7535,-122.14,6.174,27,4
1,2,36.662,-121.2815,3.947,27,4
19,2.45,38.826,-122.7983333,0.02,26,4
10,2.21,36.5903333,-121.192,6.169,26,4
8,2.45,36.5485,-120.7331667,5.17,26,4
22,3.1,36.8298333,-121.5573333,4.744,25,4
11,2.04,38.1221667,-122.1765,0.534,25,4
8,2.25,38.7975,-122.8181667,2.08,24,4
1,2.96,37.5026667,-122.1896667,9.283,24,4
21,2.04,38.826,-122.8075,0.98,23,4
17,2.03,38.1545,-121.8781667,20.665,23,4
14,2.61,37.2748333,-121.6471667,8.133,23,4
11,2.05,37.2883333,-121.6751667,0.143,23,4
8,2.28,38.8111667,-122.813,2.1,23,4
11,2.41,37.9268333,-122.1303333,15.026,22,4
19,2.78,37.2596667,-121.6431667,6.233,21,4
19,2.42,38.8021667,-122.7998333,1.09,21,4
16,2.38,37.1693333,-121.5735,2.751,21,4
4,2.1,38.8135,-122.7993333,1.889,21,4
4,2.45,38.813,-122.7971667,1.57,21,4
14,2.04,37.3491667,-121.6671667,1.413,20,4
10,2.15,37.3391667,-121.706,6.503,19,4
9,3.2,37.3366667,-121.7008333,7.213,19,4
0,3.01,38.7835,-122.7628333,0.486,19,4
12,2.78,37.2763333,-121.6495,8.043,18,4
7,3,37.2556667,-121.6386667,5.793,18,4
5,3.2,36.2516667,-120.815,5.931,18,4
22,2.32,37.3855,-121.742,5.807,17,4
20,2.26,38.8016667,-122.7995,0.39,17,4
19,2.31,37.2991667,-121.6741667,5.523,17,4
14,2.68,37.8088333,-122.1766667,7.33,17,4
11,2.45,36.8853333,-121.4003333,8.225,17,4
8,2.41,37.2848333,-121.6571667,8.493,17,4
1,3.5,37.2895,-121.6666667,5.533,17,4
10,2.4,37.2915,-121.6681667,5.713,16,4
5,2.25,38.7848333,-122.7551667,0.406,16,4
5,2,37.2333333,-121.6231667,4.652,16,4
0,2.21,37.2835,-121.6578333,7.753,16,4
15,2.08,36.6158333,-121.1091667,5.387,15,4
15,2.16,37.4036667,-121.6611667,4.46,14,4
14,2.23,37.242,-121.6288333,5.122,14,4
7,2.19,37.1628333,-121.571,2.871,14,4
7,2.03,37.1605,-121.5698333,2.231,14,4
23,2.34,37.1568333,-121.563,2.111,13,4
12,2.27,37.2651667,-121.6466667,6.003,13,4
14,2.35,37.3203333,-121.6198333,1.773,12,4
13,2.2,37.1516667,-121.5735,0.861,12,4
16,2.63,37.2761667,-121.656,5.163,11,4
11,2,37.9335,-121.9393333,3.002,11,4
10,2.03,37.3201667,-121.6206667,1.823,11,4
21,2.83,37.1485,-121.5683333,4.471,10,4
20,2.62,37.1498333,-121.568,4.511,10,4
17,2.43,37.257,-121.6411667,4.883,10,4
13,2.18,36.8086667,-121.3928333,7.09,10,4
5,2.74,36.546,-121.133,7.716,10,4
4,2.78,37.2901667,-121.6186667,1.833,10,4
20,2.64,37.1558333,-121.5656667,2.491,9,4
18,2.38,37.2473333,-121.6361667,2.733,9,4
12,2.29,37.1311667,-121.5271667,7.817,9,4
23,2.08,37.1791667,-121.651,5.036,8,4
14,2.16,38.7835,-122.7685,0.436,8,4
6,2.13,37.2673333,-121.6558333,0.883,8,4
4,2.27,37.1588333,-121.5698333,3.081,8,4
12,2.15,38.814,-122.8103333,2.26,7,4
11,2.68,38.3295,-122.0441667,32.365,7,4
9,2.44,38.8016667,-122.8086667,0.07,7,4
7,3.1,37.2848333,-121.6628333,5.593,7,4
22,2.02,36.5601667,-121.1558333,6.723,6,4
20,2.15,38.8256667,-122.7988333,2.8,6,4
13,2.83,38.8271667,-122.8051667,2.91,6,4
4,2.82,37.3161667,-121.687,6.493,6,4
16,2.02,37.3321667,-121.7076667,4.373,5,4
8,2.15,37.2983333,-121.6748333,5.273,5,4
6,2.02,36.5661667,-121.158,3.112,5,4
4,2.12,37.2745,-121.655,5.093,5,4
22,3,37.1041667,-121.5553333,3.097,4,4
20,2.07,37.2935,-121.6773333,1.453,4,4
20,2.54,37.2871667,-121.666,5.143,4,4
18,2.59,37.0511667,-121.4998333,3.36,4,4
11,3.4,37.2853333,-121.6631667,5.383,4,4
11,2.4,36.3781667,-121.8805,9.859,4,4
2,2.03,37.2765,-121.6575,3.893,4,4
18,2.44,37.1715,-121.5701667,3.511,3,4
18,2.97,37.739,-122.129,4.258,3,4
10,2.18,37.3256667,-121.694,6.153,3,4
6,4.2,37.2778333,-121.6495,8.713,3,4
6,3.2,37.278,-121.6508333,8.403,3,4
4,2.14,37.2525,-121.6391667,3.933,3,4
3,2.1,37.3073333,-121.6813333,5.713,3,4
21,2.65,37.2631667,-121.6446667,6.003,2,4
12,2.18,37.2385,-121.6451667,6.535,2,4
22,2.15,37.2835,-121.6603333,5.703,1,4
21,3,37.2746667,-121.6486667,8.083,1,4
16,3.1,37.2283333,-121.6183333,4.812,1,4
8,3.2,37.2788333,-121.6241667,2.503,1,4
4,2.03,37.2808333,-121.6601667,5.363,1,4
1,2.45,38.818,-122.8096667,3.17,1,4
21,2.15,38.816,-122.8088333,3.63,30,3
21,3.23,38.8135,-122.8066667,3.74,30,3
21,2.76,37.2576667,-121.6406667,5.873,30,3
19,2.66,37.2586667,-121.6408333,6.033,30,3
15,2.03,38.1133333,-122.1653333,2.244,30,3
12,2.09,36.871,-121.6025,5.127,30,3
18,2.23,37.2825,-121.6545,7.833,29,3
16,3.05,37.1456667,-121.5608333,1.917,29,3
7,2.14,37.1481667,-121.6043333,1.791,29,3
17,2.23,38.7658333,-122.3911667,1.493,28,3
17,2.28,37.2783333,-121.624,2.113,28,3
10,2.29,37.2886667,-121.6645,5.783,28,3
10,2.23,37.139,-121.5635,2.267,28,3
8,2.2,37.2905,-121.6663333,5.443,28,3
7,2.19,37.2341667,-121.6238333,5.072,28,3
7,2.49,38.526,-122.591,3.399,28,3
0,2.25,37.2853333,-121.6558333,8.553,28,3
0,2.5,37.2631667,-121.6478333,3.973,28,3
23,2.98,37.1085,-121.5673333,2.507,27,3
18,2.16,38.8968333,-122.357,4.358,27,3
8,3.4,37.2726667,-121.6465,9.273,27,3
8,2.14,37.2998333,-121.6756667,5.133,27,3
6,2.05,37.117,-121.5245,5.967,27,3
5,3,37.1191667,-121.5238333,7.107,27,3
1,2.27,37.299,-121.6598333,7.503,27,3
23,2.55,37.1211667,-121.5241667,6.507,26,3
20,3.5,37.1238333,-121.5266667,7.207,26,3
19,2.53,37.259,-121.64,5.833,26,3
12,2.7,37.2366667,-121.6468333,6.405,26,3
11,3.04,38.8203333,-122.803,2.98,26,3
7,2.81,37.256,-121.639,4.553,26,3
7,2.19,37.2563333,-121.6385,5.363,26,3
5,2.06,36.8938333,-121.4785,8.488,26,3
4,2.05,37.1516667,-121.561,2.411,26,3
23,3,37.2566667,-121.6423333,3.763,25,3
22,2.72,37.276,-121.6551667,6.023,25,3
22,3.7,37.1431667,-121.5618333,2.657,25,3
21,2.43,37.2855,-121.6563333,8.623,25,3
20,2.2,37.2791667,-121.652,7.713,25,3
19,2.36,37.2175,-121.6105,4.012,25,3
18,2.08,37.2878333,-121.66,8.513,25,3
18,2.33,37.1431667,-121.5646667,2.727,25,3
18,2.09,37.273,-121.6518333,4.893,25,3
18,2.22,38.8841667,-122.3925,2.197,25,3
17,3.05,36.5615,-121.1516667,6.792,25,3
16,3,37.239,-121.6278333,4.142,25,3
16,3.6,37.1451667,-121.564,2.327,25,3
14,2.11,37.2723333,-121.6548333,3.823,25,3
13,2.37,37.253,-121.635,5.893,25,3
12,2.88,37.262,-121.646,4.943,25,3
11,2.18,37.9285,-121.9396667,0.361,25,3
6,2.37,37.3086667,-121.6841667,4.743,25,3
4,2.06,37.276,-121.6528333,5.533,25,3
21,2.77,37.2763333,-121.6495,8.063,24,3
20,3.1,37.2855,-121.6681667,3.173,24,3
20,2.6,37.2516667,-121.6366667,4.753,24,3
18,2.19,37.2993333,-121.6743333,5.373,24,3
17,2.04,37.2948333,-121.6768333,2.423,24,3
17,2.61,37.2181667,-121.6,8.582,24,3
16,2.24,37.2408333,-121.6298333,4.277,24,3
16,2.42,37.3423333,-121.7091667,6.553,24,3
16,2.18,37.3086667,-121.6823333,5.303,24,3
15,3.1,37.3145,-121.6858333,6.253,24,3
15,2.29,37.345,-121.7093333,6.723,24,3
14,2.04,37.2755,-121.6511667,7.283,24,3
14,2.68,37.2593333,-121.6415,5.063,24,3
14,3.14,37.2591667,-121.6445,3.853,24,3
14,2.59,38.7966667,-122.8188333,1.07,24,3
14,2.91,37.2606667,-121.6456667,4.113,24,3
14,3.5,37.2155,-121.5963333,9.311,24,3
14,2.75,37.2766667,-121.6556667,5.743,24,3
