Time,Mag,Lat,Long,Depth,Day,Month
19,2.3,36.5906667,-121.1891667,5.89,30,4
15,3,37.9756667,-122.0578333,15.63,30,4
2,2.12,36.4501667,-120.7511667,13.05,30,4
17,2.98,37.2893333,-121.6586667,4.71,28,4
18,2.74,37.856,-121.9791667,7.45,26,4
15,3.1,36.6603333,-121.2786667,2.32,26,4
19,2.42,38.7573333,-122.7401667,1.39,25,4
2,2.31,36.5635,-121.1538333,2.51,24,4
21,2,36.557,-121.1523333,4.66,23,4
21,2.43,36.5525,-121.1438333,6.41,23,4
19,2.11,36.7328333,-121.4191667,6.46,23,4
17,2.7,36.7341667,-121.4178333,6.43,23,4
7,2.26,36.5618333,-121.1548333,5.98,23,4
14,2.01,37.0326667,-121.4881667,5.86,22,4
6,2.2,38.6448333,-123.117,7.65,22,4
4,2.28,38.8308333,-122.7901667,2.06,22,4
6,2.11,38.5183333,-122.607,9.31,21,4
17,2.36,38.7825,-122.7345,1.65,19,4
11,2.3,36.8193333,-121.5448333,5.34,18,4
2,2.27,36.4263333,-121.8593333,3.75,18,4
4,2.28,37.128,-121.5283333,7.9,17,4
18,2.01,37.262,-121.641,5.09,16,4
15,2.22,37.8091667,-122.1936667,8.46,16,4
14,3.15,37.257,-121.6341667,5.28,16,4
13,2.07,38.7516667,-122.7011667,1.04,15,4
0,2.11,37.7865,-121.9595,17.79,15,4
19,3.45,37.8053333,-122.202,8.77,14,4
5,2,38.8136667,-122.784,1.42,14,4
11,2.12,38.819,-122.8103333,3.31,13,4
14,2.11,38.8426667,-122.8283333,2.33,12,4
6,2.06,38.8345,-122.7906667,1.66,12,4
0,2.16,36.9353333,-121.432,7.18,12,4
19,2.4,36.5383333,-121.1233333,3.81,11,4
18,2,36.4645,-121.0383333,6.04,11,4
14,2.58,36.9368333,-121.4306667,7.02,11,4
21,2.57,38.8045,-122.8053333,1.04,9,4
20,2.47,38.8078333,-122.8078333,3.61,9,4
20,2.18,38.7996667,-122.7355,1.11,9,4
20,2.36,38.8208333,-122.7918333,2.86,9,4
20,2.01,38.7995,-122.7841667,0.08,9,4
19,4.19,38.81,-122.7971667,1.89,9,4
18,2.13,36.6323333,-121.0236667,12.72,9,4
23,2.05,38.826,-122.8043333,2.94,8,4
0,2.01,38.0328333,-121.9196667,19.44,8,4
18,2.09,36.2871667,-121.7508333,10.82,7,4
17,2.02,37.7738333,-122.566,5.08,7,4
1,2.64,38.8348333,-122.7846667,1.62,7,4
19,2.78,38.807,-122.8243333,2.04,6,4
12,2.47,37.8266667,-121.9788333,7.42,6,4
0,2.11,38.8276667,-122.7896667,1.6,6,4
0,2.21,37.8625,-122.2446667,9.47,5,4
16,2.03,36.2925,-120.8473333,9.5,4,4
14,2.4,36.292,-121.599,11.83,4,4
4,2.26,36.4573333,-121.03,4.39,4,4
19,2.77,38.819,-122.82,2.55,1,4
3,2.57,37.8805,-121.9796667,5.69,1,4
15,2.31,36.9798333,-121.6991667,7.15,30,3
4,3.3,37.8736667,-121.988,6.05,30,3
20,2.01,36.9545,-120.2691667,5.66,29,3
15,2.92,37.8231667,-121.9821667,7.72,29,3
11,2.41,37.8301667,-121.9805,7.77,29,3
10,2.67,37.8313333,-121.9836667,6.18,29,3
10,2.08,37.8341667,-121.9801667,5.96,29,3
10,2.92,37.8308333,-121.9781667,9.21,29,3
18,2.26,37.2535,-121.6335,4.97,28,3
2,2.35,38.7901667,-122.7846667,2.96,28,3
17,2.09,37.8311667,-121.978,7.61,25,3
14,2.04,36.5683333,-121.1596667,3.73,25,3
6,2.3,37.8335,-122.0455,12.57,25,3
6,2.27,36.4686667,-121.0463333,5.83,25,3
1,2.19,36.3005,-120.8386667,9.51,25,3
15,2.45,38.8275,-122.8111667,1.87,24,3
15,2.68,36.9401667,-121.434,6.89,24,3
7,2.33,37.4396667,-121.2923333,0.01,24,3
23,2.07,38.8036667,-122.8208333,3.09,23,3
2,2.1,36.8721667,-121.6015,6.7,23,3
23,2.08,38.8106667,-122.7831667,2.25,22,3
21,2.1,37.0181667,-121.4833333,4.28,22,3
20,2.39,37.0186667,-121.484,4.13,22,3
20,2.26,37.4436667,-121.2916667,0.15,21,3
15,2.71,38.8295,-122.8075,1.96,21,3
11,2.25,38.82,-122.7636667,2.35,21,3
20,2.48,37.8305,-121.9815,7.01,20,3
20,2.91,37.8276667,-121.9806667,7.26,20,3
5,2.41,36.9371667,-121.432,7.14,20,3
9,3.82,37.4346667,-121.773,9.31,16,3
0,2.11,36.5691667,-121.1538333,2.68,15,3
19,2.04,36.5576667,-121.1313333,2.24,14,3
3,2.2,38.7595,-122.725,1.88,14,3
14,2.3,37.851,-122.607,4.27,13,3
1,2.14,38.7725,-122.7398333,0.74,12,3
23,2.44,38.792,-122.4451667,7.07,11,3
18,2.03,38.8031667,-122.8173333,2.44,11,3
18,2.24,38.8075,-122.8236667,1.91,10,3
1,2.39,36.386,-120.9583333,6.39,10,3
9,2.01,36.5716667,-120.5868333,6.46,9,3
20,3.3,36.5661667,-121.1536667,3.92,8,3
17,2.25,36.4828333,-121.0546667,7.36,8,3
3,2.15,38.377,-122.2116667,10.77,8,3
1,2.28,35.9613333,-121.5281667,2.32,8,3
0,2.35,38.826,-122.7795,1.34,7,3
0,3.49,38.8265,-122.7676667,0.76,7,3
12,2.02,38.8338333,-122.7368333,0.76,6,3
11,2.1,36.468,-121.0461667,5.24,6,3
8,2.13,36.584,-121.1816667,5.83,5,3
21,2.91,36.6478333,-121.2615,3.16,4,3
20,2.82,36.6508333,-121.2663333,3.38,4,3
10,2.11,37.763,-121.9371667,9.45,4,3
20,2.31,36.4141667,-120.9925,6.43,2,3
