Time,Mag,Lat,Long,Depth,Day,Month
11,2.14,38.8058333,-122.8176667,3.28,31,4
8,2.04,36.6763333,-121.3066667,5.29,31,4
2,2.07,36.5948333,-121.1988333,7.15,30,4
2,2.19,37.6761667,-122.508,12.4,30,4
1,2.03,38.8246667,-122.8016667,3.38,30,4
21,2.01,38.8236667,-122.81,2.46,28,4
5,2.97,36.668,-121.2916667,4.26,28,4
19,2.3,36.9108333,-121.0105,5.71,27,4
10,2.78,38.8456667,-122.7601667,1.3,26,4
15,2.11,37.7295,-121.9896667,6.72,25,4
12,2.29,38.8045,-122.7775,2.35,25,4
11,2.4,36.9653333,-121.609,3.8,25,4
2,2.15,38.3958333,-122.6506667,9.63,25,4
23,2.17,37.7271667,-121.9868333,7.18,24,4
23,2.03,37.729,-121.9911667,6.72,24,4
23,2.2,37.7273333,-121.9811667,3.18,24,4
12,2.05,38.7916667,-122.7791667,3.58,24,4
9,2.24,38.8015,-122.7886667,3.35,23,4
12,2.02,36.8311667,-121.5703333,5.2,21,4
18,2.06,38.8351667,-122.8065,2.14,19,4
19,2.04,36.5695,-121.1356667,10.48,18,4
1,2.01,38.7038333,-122.4121667,8.51,17,4
0,2.22,38.7071667,-122.4141667,8.15,17,4
23,2.24,38.7873333,-122.735,1.72,14,4
16,2.97,38.7718333,-122.7318333,2.62,14,4
9,2.05,38.8155,-122.8226667,2.01,13,4
16,2.11,38.8165,-122.8215,2.37,10,4
21,2.27,37.7826667,-122.6778333,5.96,8,4
19,2.01,38.833,-122.8146667,2.04,8,4
0,2.34,37.2965,-121.6685,4.6,8,4
14,2.53,38.8366667,-122.8025,2.42,6,4
13,2.21,36.6536667,-121.2793333,9.16,6,4
6,2.47,37.3536667,-121.7133333,6.56,6,4
6,2.23,38.8323333,-122.8181667,1.71,6,4
6,2,38.7985,-122.7988333,0.12,4,4
5,3.18,36.735,-120.9441667,7.28,4,4
22,2.13,36.6468333,-121.2578333,3.52,3,4
22,2.3,36.6471667,-121.2601667,4.22,3,4
23,2.11,38.8186667,-122.8215,2.27,2,4
18,2.1,38.8435,-122.8371667,2.24,2,4
15,2.09,36.7108333,-120.9281667,4.21,2,4
13,2.14,37.8246667,-122.0106667,7.28,2,4
1,2.18,36.4061667,-120.988,9.64,1,4
16,2.38,36.6241667,-121.228,5.33,30,3
16,2.09,36.2361667,-120.8061667,8.6,30,3
7,2.76,38.8113333,-122.7971667,3.67,30,3
2,2.05,36.8808333,-121.4028333,7.1,30,3
20,2.52,36.5873333,-121.189,4.67,29,3
7,2.69,38.8075,-122.7908333,3.21,29,3
2,2.11,38.409,-122.4336667,5.46,29,3
0,2.76,37.8456667,-122.235,5.53,28,3
7,2.04,38.817,-122.783,1.85,27,3
5,2.08,36.6271667,-121.2731667,7.67,27,3
4,2.55,37.8461667,-122.2365,5.69,26,3
21,3.1,38.7536667,-122.7,0.33,25,3
1,2.28,38.7893333,-122.7608333,2.72,25,3
22,2.55,37.2668333,-121.6381667,7.07,24,3
21,3.61,37.267,-121.6395,7.66,24,3
11,2.8,36.7716667,-121.4945,7.58,24,3
10,2.33,36.7705,-121.4913333,7.46,24,3
8,2.53,36.2805,-120.8643333,9.96,24,3
21,2.62,38.768,-122.724,1.5,23,3
16,2.19,36.4945,-120.6056667,9.3,23,3
17,2.81,38.7745,-122.707,2.57,22,3
1,2.36,38.7881667,-122.673,1.4,22,3
0,2.45,38.8118333,-122.8106667,0.69,22,3
0,2.13,38.8115,-122.8093333,0.73,22,3
20,2.97,36.8303333,-121.566,5.55,20,3
14,2.33,38.832,-122.807,2.29,20,3
19,2.17,36.5851667,-121.158,5.17,19,3
11,2.3,38.7683333,-122.723,0.97,19,3
11,3.98,38.757,-122.7228333,2.88,19,3
7,2.32,37.6608333,-122.519,8.22,19,3
2,2.04,38.8301667,-122.77,1.64,19,3
19,2.75,38.8276667,-122.8046667,1.72,18,3
9,2.24,36.9223333,-121.573,5.8,18,3
11,2.32,36.7735,-121.4866667,5.21,17,3
21,2.31,38.8296667,-122.8011667,1.88,16,3
17,2.01,38.9145,-122.254,12.06,16,3
2,2.74,38.7711667,-122.7203333,1.92,16,3
6,2.55,38.8298333,-122.8113333,1.93,15,3
1,2.2,37.5808333,-121.6765,3.54,15,3
21,2.04,38.8198333,-122.7928333,3.23,14,3
8,2.35,36.8631667,-121.5938333,6.36,14,3
5,2.09,36.8608333,-121.5921667,6.96,14,3
15,2.08,36.5958333,-121.1973333,7.01,13,3
7,2.41,38.8308333,-122.8661667,3.49,13,3
23,2.09,36.5725,-121.125,7.99,12,3
20,2.06,37.6263333,-122.5145,8.66,11,3
15,2.42,38.824,-122.8103333,1.73,11,3
15,2.63,38.8256667,-122.8135,1.96,11,3
14,2.02,37.4658333,-121.8175,6.79,11,3
2,2.26,37.5835,-121.676,3.8,11,3
0,2.02,38.8333333,-122.8065,2.48,11,3
7,3.26,38.5226667,-122.5848333,9.14,10,3
4,2.93,37.582,-121.6751667,3.95,10,3
13,2.25,38.8063333,-122.7961667,3.36,8,3
18,2.34,36.5513333,-121.1396667,7.04,7,3
13,3.31,36.7646667,-120.701,3.53,7,3
8,2.47,38.5233333,-122.583,9.21,7,3
6,2.41,37.9486667,-122.0665,11.01,7,3
5,2.85,38.7898333,-122.7986667,3.59,7,3
5,2.4,38.7905,-122.799,3.22,7,3
18,2.4,37.5771667,-121.5895,1.54,5,3
15,2.04,36.6045,-121.2031667,6.2,5,3
13,2.04,36.5611667,-121.15,6.13,5,3
11,2.11,36.6048333,-121.2081667,6.35,5,3
9,2.53,38.8053333,-122.7368333,2.07,5,3
4,2.12,36.7963333,-121.5186667,4.33,5,3
16,2.24,36.7985,-121.535,7.05,3,3
0,2.75,36.7968333,-121.527,6.67,3,3
2,2.38,36.619,-121.2231667,6.06,2,3
14,2.34,38.7953333,-122.738,1.63,1,3
9,2.09,37.6461667,-121.9121667,8.13,1,3
18,2.48,36.7925,-121.5258333,7.44,31,2
6,3.28,36.797,-121.5231667,6.7,31,2
17,2.27,36.941,-121.3275,6.37,30,2
10,3.13,38.8276667,-122.7781667,1.37,30,2
23,2.14,36.3738333,-120.9658333,10.54,29,2
22,2.6,37.367,-121.7513333,8,29,2
0,2.02,36.8328333,-120.9341667,1.44,29,2
2,2.05,38.7411667,-122.711,1.29,27,2
1,2.6,36.6195,-121.224,5.07,27,2
0,2.18,38.8348333,-122.7953333,2.23,26,2
16,2.81,36.8706667,-121.3035,7.25,24,2
16,3.22,37.0035,-121.4615,8.29,24,2
5,2.24,38.9791667,-122.1245,14.94,24,2
3,2.5,37.4228333,-121.6695,5.17,24,2
14,2.81,38.4261667,-122.2556667,10.51,23,2
13,2.23,38.7456667,-122.7106667,1.59,23,2
10,2.17,38.8236667,-122.7655,1.73,23,2
10,2.19,38.8236667,-122.7661667,2.12,23,2
8,2.26,38.8233333,-122.8468333,2.02,23,2
6,2.06,36.7428333,-120.7486667,1.98,23,2
6,2.7,36.7376667,-120.7475,4.25,23,2
15,2.72,38.7481667,-122.7083333,1.77,22,2
1,2.07,36.9993333,-121.4586667,7.59,22,2
0,2,36.5683333,-121.1583333,3.77,22,2
23,2.25,36.999,-121.4641667,8.13,21,2
13,2.48,37.2615,-121.636,6.09,21,2
9,2.01,37.0431667,-121.1326667,1.43,21,2
16,2.17,38.8255,-122.8035,2.84,18,2
12,2.46,36.6,-121.2016667,5.54,18,2
11,3.37,36.6045,-121.2086667,6.74,18,2
7,2.68,38.2141667,-122.3588333,8.66,18,2
0,2.21,36.5613333,-121.1456667,5.82,18,2
11,2.25,36.794,-121.5261667,7.05,17,2
0,2.42,36.5625,-121.148,5.88,15,2
0,2.65,36.5658333,-121.1495,5.44,15,2
4,2.12,36.9236667,-121.1065,3.84,13,2
19,2.37,36.5886667,-121.1876667,5.93,12,2
19,2.52,36.5898333,-121.1898333,5.43,12,2
21,2.06,38.818,-122.7606667,1.86,11,2
17,2.18,36.5668333,-121.1578333,2.93,11,2
14,2.12,36.4691667,-121.0476667,8.59,10,2
0,2.05,38.818,-122.8023333,3.41,10,2
23,2.78,36.7603333,-120.6995,4.18,9,2
0,2.06,36.7686667,-120.7011667,2.17,9,2
12,2.16,36.6183333,-121.2218333,4.51,8,2
4,2,36.8395,-121.36,7.5,7,2
17,2.25,38.8025,-122.78,2.17,5,2
17,2.69,38.805,-122.7785,0.96,5,2
7,3.09,38.4801667,-122.533,10.6,4,2
17,2.01,38.8323333,-122.8103333,2.15,3,2
20,2.07,37.5338333,-121.8271667,3.44,2,2
13,2,37.2995,-121.6701667,6.11,2,2
20,2.19,36.7028333,-121.3721667,1.64,1,2
19,2.1,36.6944,-121.3845,8.07,1,2
19,2.45,36.7158333,-121.3476667,3.98,1,2
18,2.2,36.5726667,-121.116,9.23,1,2
14,2.88,38.7581667,-122.729,1.24,1,2
14,2.47,38.7628333,-122.734,1.13,1,2
9,2.34,38.836,-122.7821667,2.07,1,2
1,2.34,36.7638333,-120.7051667,2.49,1,2
23,2.48,36.5886667,-121.0858333,7.72,28,1
23,2.43,36.768,-120.7145,1.36,28,1
22,2.09,36.7005,-121.3745,1.59,28,1
16,2.03,38.7813333,-122.748,0.03,28,1
8,2.37,36.9543333,-121.631,5.12,28,1
20,2.58,38.7873333,-122.7665,1.5,27,1
15,2.21,38.6356667,-122.7048333,6.46,26,1
3,2.52,36.4965,-121.076,4.83,26,1
11,2.28,38.8083333,-122.8198333,2.63,25,1
11,2.2,38.8128333,-122.8266667,1.83,25,1
11,3.81,38.8178333,-122.8206667,2.63,25,1
0,2.89,36.7086667,-121.3466667,3.64,25,1
16,2.2,36.5451667,-121.1366667,6.14,24,1
3,2.1,38.563,-122.3005,8.41,24,1
3,2,38.5613333,-122.2988333,7.08,24,1
2,2.3,37.1645,-121.5516667,4.57,24,1
14,2.1,36.4348333,-121.0083333,0.92,23,1
