Month,Day,Time,Mag,Lat,Long,Depth
4,30,11,2.17,38.8025,-122.7373333,1.934
4,30,10,2.4,36.8701667,-121.3135,5.201
4,30,6,2.17,36.5533333,-121.1313333,1.416
4,30,6,2.9,36.9508333,-121.6741667,6.485
4,30,4,2.35,36.8705,-121.3111667,5.331
4,29,17,2.17,36.3013333,-120.8763333,5.231
4,29,15,2.47,38.7961667,-122.7958333,0.721
4,29,10,2.38,36.6046667,-121.2068333,2.133
4,29,10,2.38,36.9605,-121.595,5.761
4,29,6,2.97,38.8063333,-122.775,1.673
4,29,5,2.1,36.9976667,-121.4628333,4.578
4,28,22,2.39,36.5528333,-121.1301667,1.766
4,27,14,2.03,37.8831667,-122.6386667,6.202
4,27,3,2.38,38.7676667,-122.7983333,3.801
4,26,14,2.41,36.5533333,-121.128,1.726
4,26,6,2.27,36.5533333,-121.129,1.586
4,26,3,2.23,38.686,-122.7581667,4.494
4,26,1,2.99,38.5451667,-121.008,31.354
4,24,10,3.75,36.5491667,-121.1296667,1.896
4,23,23,2.7,36.6511667,-121.2061667,6.602
4,23,22,2.68,38.802,-122.8043333,2.021
4,23,8,2.07,36.3696667,-120.9555,5.601
4,22,20,2.09,36.446,-121.5795,29.197
4,21,23,3.13,36.9585,-121.6816667,6.305
4,21,3,2.39,36.6801667,-121.3063333,4.378
4,20,15,2.65,36.6848333,-121.3125,4.275
4,20,14,3.3,36.6811667,-121.3076667,4.778
4,20,10,2.16,38.4746667,-122.2105,3.455
4,20,5,3.12,38.7396667,-122.7245,2.361
4,20,4,2.09,36.4605,-120.7785,12.794
4,19,22,2.51,38.7711667,-122.7425,1.121
4,18,21,2.29,38.3756667,-122.564,1.8
4,18,13,2.05,38.7903333,-122.752,0.231
4,18,13,3.07,38.791,-122.7495,0.751
4,16,16,2.07,38.846,-122.8201667,1.386
4,16,4,3.15,38.8246667,-122.803,3.89
4,15,7,2.15,38.8296667,-122.8025,1.39
4,14,15,2.07,38.8031667,-122.8113333,0.92
4,14,15,3.25,38.8093333,-122.8078333,1.74
4,14,14,3.53,38.8113333,-122.7991667,0.89
4,14,13,2,36.6968333,-121.339,8.715
4,13,23,3.21,36.964,-121.5943333,6.841
4,13,22,2.8,36.9733333,-121.6148333,6.248
4,13,22,2.52,36.9635,-121.6013333,6.098
4,13,22,2.33,36.973,-121.6096667,7.811
4,13,22,4.9,36.9668333,-121.5983333,6.791
4,12,14,2.01,37.4668333,-121.8266667,4.668
4,12,3,2.3,36.5818333,-121.0646667,4.632
4,10,17,2.55,36.4816667,-120.8646667,15.428
4,10,16,2.18,38.7696667,-122.7216667,1.411
4,9,22,2.11,38.7995,-122.7975,0.101
4,9,20,2.28,38.7996667,-122.8015,0.071
4,9,4,3.78,38.7978333,-122.7298333,2.674
4,8,7,3.6,38.2238333,-121.8375,17.43
4,7,17,2.08,38.7711667,-122.7478333,2.061
4,6,23,2,38.7985,-122.8043333,2.348
4,6,21,2.13,38.82,-122.8028333,3.11
4,6,17,2.14,36.7978333,-121.5153333,7.058
4,6,12,2.09,36.7966667,-121.517,6.608
4,6,11,2.73,38.8126667,-122.7963333,3.42
4,5,23,2.62,36.7983333,-121.5191667,7.152
4,4,22,3.17,36.9033333,-121.6295,5.955
4,3,16,2.13,37.8761667,-122.2453333,9.149
4,3,14,2.18,38.5508333,-122.6543333,2.907
4,3,2,2.12,38.8201667,-122.8088333,3.9
4,2,4,3.14,36.9615,-121.592,4.181
4,1,2,2.05,37.7065,-121.74,5.038
3,30,18,2.01,36.3066667,-120.8841667,4.872
3,30,13,2.42,38.9168333,-122.5105,3.663
3,30,5,2.11,36.9603333,-121.5925,4.091
3,30,5,2.49,38.9118333,-122.527,5.223
3,29,22,3.11,36.9605,-121.5906667,4.671
3,29,6,2.26,36.635,-121.245,4.5
3,28,15,2.5,38.8218333,-122.803,3.76
3,28,7,2.48,36.651,-121.2688333,4.55
3,27,12,2,38.6256667,-122.7065,5.985
