Month,Day,Time,Mag,Lat,Long,Depth
4,31,12,2.93,38.8093333,-122.8136667,0.57
4,31,12,2.99,38.8003333,-122.8116667,3.73
4,30,17,2.52,38.7638333,-122.7153333,1.47
4,29,15,2.07,36.5823333,-121.0833333,11.39
4,28,13,2.5,38.8138333,-122.8098333,1.36
4,27,17,3.02,36.2383333,-120.8108333,6.67
4,27,3,2.31,38.5243333,-122.301,6.7
4,26,11,2.07,38.8215,-122.8081667,3.31
4,25,23,2.3,38.8336667,-122.7931667,2.21
4,25,14,2.49,36.7308333,-121.409,6.3
4,24,3,2.18,37.0848333,-122.5276667,7.19
4,24,0,2.24,36.4151667,-120.9926667,10.35
4,23,21,2.11,38.817,-122.8051667,2.36
4,23,6,2.12,37.8231667,-122.2175,11.89
4,22,20,2.05,36.7291667,-121.3893333,2.65
4,22,7,2.34,37.373,-121.7371667,3.55
4,22,6,2.93,36.8296667,-121.5553333,3.45
4,21,22,2.29,38.8133333,-122.7963333,2.2
4,21,5,2.01,37.5028333,-121.623,7.1
4,20,16,2.28,36.5665,-121.1576667,2.98
4,18,21,2.31,36.7998333,-121.539,7.15
4,14,15,2,38.8268333,-122.8121667,2.22
4,14,7,2.03,37.4868333,-122.3223333,13.16
4,14,1,2.35,37.2533333,-121.6321667,5.26
4,9,8,2.33,38.7885,-122.7616667,1.65
4,9,7,2.09,38.7853333,-122.7613333,1.97
4,7,1,2.51,38.8321667,-122.8126667,2.51
4,6,23,2.17,36.943,-121.5551667,5.35
4,6,17,2.37,37.8668333,-121.7851667,14.36
4,6,5,2.1,38.8585,-121.9785,9.17
4,5,14,2.01,36.9503333,-121.6861667,11.97
4,4,8,2.12,38.3798333,-122.6341667,5.67
4,3,23,2.02,36.8546667,-121.5941667,6.98
4,3,18,2.6,37.503,-121.622,6.82
4,3,6,2.84,38.8235,-122.8013333,3.46
4,3,5,2.66,38.824,-122.8008333,3.31
4,2,14,2.45,37.412,-121.7626667,6.87
4,2,12,2.28,37.8586667,-121.7985,11.26
