Month,Day,Time,Mag,Lat,Long,Depth
4,30,20,2.4,36.2776667,-120.8085,5.716
4,30,15,2.35,37.5488333,-122.5073333,5.064
4,29,21,2.31,38.7741667,-122.7206667,1.156
4,28,15,2.7,37.5941667,-121.9726667,8.406
4,27,18,2.58,36.4646667,-120.8491667,16.238
4,27,16,2.21,37.5338333,-121.9128333,9.045
4,26,14,3.42,37.7703333,-122.5746667,8.622
4,26,13,2.06,38.808,-122.7695,0.687
4,26,3,3.81,37.3095,-121.6785,8.594
4,26,3,2.8,36.6211667,-121.2281667,5.61
4,25,20,2.32,38.8601667,-122.7718333,0.544
4,25,2,2.01,38.8203333,-122.7788333,1.083
4,25,0,2.64,38.4525,-122.7008333,3.705
4,25,0,2.01,38.4566667,-122.7041667,2.685
4,25,0,4.12,38.4581667,-122.699,4.625
4,24,9,2.62,38.8266667,-122.8035,3.56
4,24,1,2.04,36.7341667,-121.4038333,6.717
4,23,17,2.18,38.834,-122.8615,0.536
4,23,3,2.35,36.5546667,-121.0946667,8.624
4,22,16,2.4,36.5578333,-121.0995,9.426
4,22,16,3.72,36.5565,-121.1006667,9.876
4,22,9,2.51,36.5718333,-121.1641667,2.612
4,21,23,2.31,38.7916667,-122.7781667,0.807
4,21,20,2.42,36.6983333,-121.3335,4.989
4,21,16,2.17,38.5093333,-122.6093333,6.288
4,21,15,2.52,37.6093333,-122.479,8.775
4,21,6,3.36,38.7873333,-122.7213333,2.414
4,20,10,2.68,38.8096667,-122.7885,0.119
4,20,3,2.72,37.5468333,-122.506,5.054
4,19,22,2.04,37.3915,-121.2993333,9.802
4,19,21,2.06,38.7851667,-122.773,1.766
4,19,19,2.7,36.204,-121.4561667,16.303
4,19,17,2.56,36.9736667,-121.6096667,3.311
4,19,15,2.94,38.8056667,-122.8026667,2.322
4,19,3,2.37,36.6548333,-121.2801667,9.926
4,19,1,2.27,36.6376667,-121.2493333,6.11
4,18,13,2.02,38.8063333,-122.7878333,0.739
4,18,10,2.07,36.4655,-121.0443333,4.864
4,18,9,2.6,38.5068333,-123.282,7.295
