Time,Mag,Lat,Long,Depth
13,2.21,36.8183333,-121.5415,5.334
13,2.12,36.9898333,-121.4678333,5.411
12,3.08,36.816,-121.5423333,5.974
9,2.83,38.7891667,-122.778,2.327
18,2.27,36.575,-121.1693333,5.442
7,2.19,38.815,-122.8148333,1.515
21,2.23,38.8233333,-122.792,2.677
11,2.48,38.8165,-122.8051667,2.655
9,2.03,38.7935,-122.929,1.782
19,2.32,38.768,-122.7095,1.345
18,2.42,38.8278333,-122.793,1.437
18,2.29,36.8201667,-121.5426667,6.004
6,2.01,36.4363333,-121.0145,5.029
3,2.1,38.8178333,-122.7678333,0.137
14,2.26,37.3608333,-121.5923333,4.669
16,2.44,37.5248333,-121.8898333,7.64
22,2.06,38.7945,-122.7621667,0.565
9,2.5,36.992,-121.4716667,5.691
4,3.06,36.816,-121.5295,6.064
22,2.56,36.8153333,-121.5318333,5.764
17,2.11,36.892,-121.6056667,1.118
13,2.73,38.7893333,-122.7896667,1.311
2,2.35,36.574,-121.114,9.306
20,2.04,36.3913333,-120.8601667,5.179
19,2.35,37.7175,-121.8146667,16.821
14,2.58,36.605,-120.57,9.944
14,2.32,36.5965,-120.5711667,12.544
4,2.67,38.8153333,-122.8148333,1.551
21,2.12,36.8108333,-121.5331667,6.384
9,2.07,36.9423333,-121.5358333,5.178
23,2.42,38.8153333,-122.7968333,0.909
19,2.04,36.2605,-120.8423333,10.324
12,2.17,38.309,-120.9711667,0.244
20,2.06,36.8433333,-121.5735,5.954
18,2.7,36.843,-121.574,6.044
1,2.28,37.8566667,-122.0246667,5.515
19,2.14,36.8596667,-121.7848333,0.123
13,2.68,37.9105,-122.2881667,5.018
11,2.18,37.8538333,-122.0226667,3.765
11,2.14,37.853,-122.0208333,3.975
11,2.23,37.8551667,-122.0221667,3.875
14,2.07,38.7931667,-122.8025,3.405
14,2.58,38.7931667,-122.803,3.004
2,2.4,38.4485,-122.5255,8.547
0,2.69,38.821,-122.8248333,1.559
22,2.07,38.8166667,-122.7933333,0.98
17,2.14,36.5561667,-121.1491667,6.512
17,2.64,36.556,-121.149,6.552
19,2.7,36.8258333,-121.5515,4.484
1,2.85,36.4695,-121.0388333,2.244
14,2.27,36.3053333,-122.2203333,17.646
9,3.06,36.9643333,-121.5946667,6.741
8,2.11,38.5205,-122.294,4.922
21,2.39,38.3945,-122.656,9.524
10,2.19,36.7038333,-121.2911667,4.835
10,3.72,36.7028333,-121.2903333,5.365
9,2.07,36.7045,-121.2911667,5.135
8,2.31,36.7005,-121.2903333,5.645
8,3.36,36.6995,-121.2901667,5.875
6,2.15,37.7111667,-121.8255,16.382
1,2.71,38.5236667,-122.3056667,8.464
13,2.31,38.0685,-122.5966667,18.258
9,2.16,37.0151667,-121.1118333,1.845
5,2.14,38.8226667,-122.8246667,1.869
13,2.05,38.8386667,-122.8776667,3.432
0,2.4,38.7633333,-122.7313333,0.051
0,2.14,38.7638333,-122.7303333,0.411
21,2,36.5638333,-121.155,2.472
13,2.27,36.834,-121.4085,8.305
1,2.21,36.775,-121.4726667,4.128
1,2.91,36.7755,-121.4726667,4.208
21,2.02,38.812,-122.816,1.506
12,3.75,37.7281667,-121.817,18.701
6,2.17,38.8148333,-122.7976667,1.06
4,2.33,37.0791667,-122.3616667,5.406
21,2.15,37.717,-121.8231667,15.426
14,2.09,37.7228333,-121.8166667,15.516
13,2.01,37.7131667,-121.8268333,15.37
20,2.57,36.9645,-121.598,4.481
20,2.55,38.7771667,-122.7473333,1.653
6,2.18,38.7938333,-122.7638333,0.618
19,2.02,36.4056667,-120.9755,1.121
19,2.3,36.9701667,-121.608,4.261
12,2.41,37.7246667,-121.8166667,18.791
12,2.15,37.7188333,-121.8173333,17.287
12,2.53,37.7221667,-121.8186667,16.33
12,3.27,37.725,-121.8183333,18.171
6,2.04,38.8276667,-122.7961667,1.143
4,2.11,38.8086667,-122.8088333,2.812
23,2.17,37.866,-122.2416667,10.469
21,2.03,36.9641667,-121.6008333,3.523
11,2.1,38.7703333,-122.8718333,3.01
4,2.95,38.8111667,-122.8125,2.591
19,2.77,38.8026667,-122.8006667,1.851
19,2.32,38.8023333,-122.8011667,1.804
22,2.28,37.399,-121.7655,3.404
23,2.38,36.8503333,-121.5871667,8.234
10,2.59,38.8088333,-122.7993333,2.051
4,2.08,36.7088333,-121.3428333,3.159
16,2.22,38.7501667,-122.7085,1.328
16,2.35,38.0518333,-121.8546667,18.43
1,2.06,38.761,-122.732,0.584
17,2.47,38.772,-122.7325,0.518
11,2.16,38.7863333,-122.4496667,8.561
8,2.62,38.8165,-122.8196667,1
4,2.5,36.6401667,-120.5043333,11.429
1,2.55,38.7586667,-122.717,1.294
12,2.09,36.4198333,-121.8295,16.71
0,2.72,37.2905,-121.6715,4.448
7,2.19,37.674,-122.074,4.965
6,2.01,37.3013333,-122.2371667,2.797
11,2.27,38.7915,-122.773,2.773
8,2.01,37.3076667,-122.224,4.766
7,2.19,38.823,-122.7981667,2.866
3,2.58,38.8156667,-122.8033333,2.195
22,2.39,38.8195,-122.8018333,2.735
12,2.11,38.796,-122.7641667,0.453
22,2.24,38.8465,-122.3933333,4.806
9,2.07,36.8775,-121.6115,6.418
9,2.01,36.8805,-121.6131667,6.563
9,3.36,38.7965,-122.7613333,1.093
5,2.41,36.5783333,-121.1736667,5.142
5,2.06,36.5788333,-121.174,5.142
5,2.36,36.5783333,-121.1741667,5.442
4,2.04,38.8238333,-122.8261667,1.819
3,2.74,38.8218333,-122.8271667,2.219
3,2.22,36.5541667,-121.148,8.732
12,2.07,36.8526667,-121.4438333,11.575
10,2.4,36.961,-121.5795,5.271
6,2.07,36.6751667,-121.2978333,3.356
3,2.15,36.5445,-121.1333333,4.976
23,2.04,36.5903333,-120.6458333,10.377
11,2.09,38.288,-122.577,5.975
17,2.04,36.8855,-121.4155,7.343
15,2.08,38.1138333,-122.87,10.128
15,2.51,38.8121667,-122.7956667,2.95
12,2.79,38.7938333,-122.7791667,0.446
2,2.28,36.9651667,-121.5906667,6.641
16,2.14,37.7506667,-121.9626667,9.729
12,2.69,36.861,-121.5988333,7.246
19,2.02,38.8046667,-122.786,0.063
10,2.05,36.4783333,-121.0571667,6.884
5,2.54,38.7945,-122.7613333,0.565
1,2.73,38.8071667,-122.7955,2.712
1,2.25,38.8136667,-122.8066667,3.059
21,2.17,36.7146667,-121.3521667,2.879
15,2.27,38.8168333,-122.7931667,1.696
15,2.09,38.7988333,-122.8013333,1.854
3,2.37,36.5716667,-121.131,8.446
17,2.56,37.3583333,-121.7248333,5.558
8,2.03,38.4713333,-122.6725,8.139
5,2.41,38.82,-122.8015,2.176
11,2.17,38.3131667,-120.9741667,0.924
3,2.22,37.3851667,-121.7421667,5.803
1,2.78,38.7955,-122.7628333,0.793
1,2.34,38.7971667,-122.7643333,1.043
23,2.02,38.8281667,-122.7968333,0.946
5,2.69,38.8186667,-122.8238333,1.293
5,2.14,37.5266667,-121.8938333,7
0,2.12,38.787,-122.776,0.877
10,2.65,36.903,-121.7305,9.08
2,2.3,38.8006667,-122.8066667,3.074
2,2.49,37.2498333,-122.1048333,12.46
15,2.02,36.8656667,-121.596,5.405
11,2.54,36.8076667,-121.5195,3.877
11,2.26,38.7558333,-122.7151667,0.964
10,2.05,38.8141667,-122.8148333,1.011
12,2.28,36.9785,-121.6271667,4.461
23,2.61,36.5955,-121.1986667,6.667
15,2.19,36.6535,-121.2766667,3.424
3,2.03,38.7761667,-122.7548333,0.244
23,2.02,38.8113333,-122.807,3.018
18,2.39,36.8515,-121.3145,6.094
11,2.47,38.7618333,-122.7118333,0.174
11,2.09,37.7555,-121.9211667,8.872
8,2.19,37.7541667,-121.924,9.312
8,2.76,37.7538333,-121.928,10.122
7,2.14,37.7541667,-121.9226667,9.352
4,2,36.5585,-121.1335,8.136
23,2.45,36.8115,-121.5245,4.777
22,4.25,36.805,-121.5203333,4.652
16,2.09,38.8213333,-122.7955,2.696
14,2.28,36.6423333,-121.2553333,4.24
9,2.68,38.8296667,-122.7933333,1.173
8,2.07,38.8328333,-122.7763333,0.487
3,2.25,36.804,-121.5136667,4.101
2,2.54,36.8066667,-121.5163333,3.947
23,2.17,38.8275,-122.7971667,1.386
16,2.67,38.8128333,-122.8345,0.139
16,2.02,38.812,-122.8296667,0.719
14,2.09,38.7911667,-122.7371667,1.008
3,2.68,38.8155,-122.8003333,1.108
2,2.17,36.4438333,-121.01,1.989
13,2.29,36.8273333,-121.5553333,5.934
11,2.5,36.8878333,-121.6055,2.348
8,2.09,36.7208333,-121.3086667,4.282
0,2.56,36.534,-121.1158333,3.026
4,2.11,38.7796667,-122.7601667,0.188
13,2.31,38.8208333,-122.8175,1.606
7,2.29,37.801,-122.5921667,4.542
22,2.53,36.9435,-121.4251667,8.764
19,2.59,36.9716667,-121.6105,6.081
0,2.45,38.782,-122.7163333,1.323
12,2.45,37.8561667,-122.2368333,7.329
7,2.23,36.6451667,-121.2593333,4.12
7,2.26,36.6455,-121.2595,4.2
18,2.47,38.7793333,-122.7198333,1.312
10,2.15,38.793,-122.7635,0.649
8,2.05,38.8231667,-122.7936667,1.455
17,2.16,38.7955,-122.762,1.24
16,2.97,36.6166667,-121.221,4.493
16,2.6,38.8245,-122.7988333,2.462
6,2.01,38.8073333,-122.8125,2.645
21,2.16,38.0413333,-122.9675,13.445
16,2.2,36.6741667,-121.3023333,5.736
12,2.61,38.7896667,-122.769,3.489
7,2.71,36.651,-121.268,3.006
23,2.04,38.8156667,-122.7973333,1.101
22,2.27,37.1288333,-121.5271667,8.001
10,2.05,38.7696667,-122.7256667,0.632
4,2.32,38.7723333,-122.7423333,1.289
4,2,37.4653333,-121.7836667,6.288
21,2.17,37.859,-122.2383333,7.569
16,2.01,38.7938333,-122.7631667,0.6
10,2.15,38.8195,-122.8241667,1.138
4,2.25,38.7955,-122.762,0.68
20,2.3,36.6305,-121.1705,4.112
3,2.09,36.562,-120.7013333,10.52
19,2.68,37.771,-121.943,9.667
18,2.65,36.561,-120.7016667,11.106
12,2.21,36.0463333,-121.1651667,8.927
19,2.26,36.5175,-121.0991667,4.114
3,2.2,38.795,-122.7391667,0.706
19,2.44,38.8166667,-122.8011667,0.953
16,3.15,36.8293333,-121.5546667,5.014
19,2.12,38.787,-122.7715,0.43
2,2.05,38.795,-122.7693333,3.215
18,2.17,37.63,-121.69,6.552
15,2.53,37.6288333,-121.69,6.144
1,2.18,38.8203333,-122.8215,1.84
1,2.27,38.794,-122.7631667,0.648
22,2.48,38.7941667,-122.8061667,2.687
16,3.29,38.8151667,-122.7926667,2.814
12,4.58,38.8366667,-122.7671667,2.551
20,2.05,36.55,-120.7208333,7.814
7,3.15,38.8198333,-122.8433333,1.151
4,2.4,38.8218333,-122.7618333,1.491
12,3.03,38.3291667,-122.5766667,6.947
10,2.06,38.8001667,-122.7948333,0.954
9,2.34,38.7851667,-122.7701667,2.573
6,2.06,36.5468333,-121.101,8.696
20,2.01,36.5736667,-121.169,5.602
