Time,Mag,Lat,Long,Depth
21,2.28,38.768,-122.7336667,1.581
19,2.51,38.828,-122.8683333,1.423
5,2.48,36.5283333,-121.0878333,2.404
20,2.22,38.7985,-122.815,2.313
19,2.07,38.9108333,-122.6665,1.831
17,2.11,38.8335,-122.8013333,1.259
16,2.03,38.909,-122.6666667,3.051
18,3.04,38.4795,-122.712,5.848
20,2.57,36.6361667,-121.2486667,6.585
14,2.42,38.7933333,-122.8023333,3.028
21,2.3,38.8406667,-122.9611667,4.421
6,3.03,36.8103333,-121.5286667,5.638
6,2.92,36.8113333,-121.529,5.968
23,2.37,37.8071667,-122.0761667,12.194
22,3.22,37.811,-122.0805,13.204
14,2.39,38.8406667,-122.9618333,4.559
8,2,36.5633333,-121.1588333,6.012
19,2.86,37.8056667,-122.0846667,12.344
9,2.4,36.9745,-121.6138333,4.451
9,2.16,36.4786667,-121.0566667,7.234
0,2.44,38.8106667,-122.8293333,1.521
10,2.24,38.7536667,-122.7235,1.366
21,2.11,38.9248333,-122.639,2.547
16,2.73,36.4648333,-121.3698333,4.691
12,2.26,37.9328333,-122.301,8.738
6,2.32,38.834,-122.798,2.564
6,2.34,38.7961667,-122.7375,0.957
3,2.15,38.81,-122.8173333,2.327
16,2.31,37.5981667,-121.9955,6.218
10,2.51,38.7738333,-122.7506667,0.522
9,2.68,38.8283333,-122.7978333,0.914
21,2.74,36.5698333,-121.0711667,9.684
1,2.14,36.5453333,-121.1371667,8.582
15,2.18,38.8193333,-122.7888333,1.205
9,2.27,38.8225,-122.7966667,1.615
5,2.16,38.8625,-122.8008333,1.554
5,2.99,38.817,-122.8153333,2.763
5,2.03,38.8011667,-122.808,0.171
4,2.01,38.8155,-122.8108333,1.807
4,2.59,36.8121667,-121.5255,4.248
3,2.06,38.827,-122.7983333,0.794
3,2.03,38.7993333,-122.823,0.905
3,2.23,38.829,-122.8403333,1.221
3,4.15,38.8433333,-122.8536667,2.044
3,4.71,38.8171667,-122.8138333,3.618
2,2.39,36.814,-121.5281667,4.328
1,2.07,36.8153333,-121.5313333,4.048
1,3.18,36.8188333,-121.5395,4.938
23,2.11,38.8178333,-122.7841667,2.084
16,2.06,38.7985,-122.8123333,3.012
16,2.55,36.8178333,-121.535,4.414
1,2.28,38.8006667,-122.8043333,3.124
22,2,38.7966667,-122.7976667,1.154
18,2.05,38.8236667,-122.8305,1.611
10,2.24,38.8118333,-122.801,2.181
22,2.31,36.5245,-121.0938333,0.874
11,2.16,38.816,-122.8128333,3.015
9,2.17,38.7993333,-122.7986667,0.114
16,2.07,37.8628333,-121.9716667,12.045
15,2.23,38.8308333,-122.8013333,1.555
10,2.43,38.7968333,-122.7986667,0.633
19,2.43,37.2561667,-122.1225,6.922
17,2.01,36.4881667,-120.5386667,12.912
15,2.16,38.8195,-122.7948333,2.662
13,2.06,36.9841667,-120.7803333,7.624
10,2.59,38.8098333,-122.7988333,2.162
22,2.02,36.672,-121.2961667,5.742
9,2.5,36.613,-120.5451667,8.013
8,2.2,36.5775,-121.1696667,3.032
23,2.05,38.776,-122.7243333,0.862
6,2.04,38.7711667,-122.7161667,1.347
20,2.04,36.5573333,-121.1521667,6.732
9,2.41,36.5603333,-121.1541667,6.792
1,2.75,36.7458333,-121.436,6.348
