Time,Mag,Lat,Long,Depth
20,2.4,36.2776667,-120.8085,5.716
15,2.35,37.5488333,-122.5073333,5.064
21,2.31,38.7741667,-122.7206667,1.156
15,2.7,37.5941667,-121.9726667,8.406
18,2.58,36.4646667,-120.8491667,16.238
16,2.21,37.5338333,-121.9128333,9.045
14,3.42,37.7703333,-122.5746667,8.622
13,2.06,38.808,-122.7695,0.687
3,3.81,37.3095,-121.6785,8.594
3,2.8,36.6211667,-121.2281667,5.61
20,2.32,38.8601667,-122.7718333,0.544
2,2.01,38.8203333,-122.7788333,1.083
0,2.64,38.4525,-122.7008333,3.705
0,2.01,38.4566667,-122.7041667,2.685
0,4.12,38.4581667,-122.699,4.625
9,2.62,38.8266667,-122.8035,3.56
1,2.04,36.7341667,-121.4038333,6.717
17,2.18,38.834,-122.8615,0.536
3,2.35,36.5546667,-121.0946667,8.624
16,2.4,36.5578333,-121.0995,9.426
16,3.72,36.5565,-121.1006667,9.876
9,2.51,36.5718333,-121.1641667,2.612
23,2.31,38.7916667,-122.7781667,0.807
20,2.42,36.6983333,-121.3335,4.989
16,2.17,38.5093333,-122.6093333,6.288
15,2.52,37.6093333,-122.479,8.775
6,3.36,38.7873333,-122.7213333,2.414
10,2.68,38.8096667,-122.7885,0.119
3,2.72,37.5468333,-122.506,5.054
22,2.04,37.3915,-121.2993333,9.802
21,2.06,38.7851667,-122.773,1.766
19,2.7,36.204,-121.4561667,16.303
17,2.56,36.9736667,-121.6096667,3.311
15,2.94,38.8056667,-122.8026667,2.322
3,2.37,36.6548333,-121.2801667,9.926
1,2.27,36.6376667,-121.2493333,6.11
13,2.02,38.8063333,-122.7878333,0.739
10,2.07,36.4655,-121.0443333,4.864
9,2.6,38.5068333,-123.282,7.295
15,2.06,36.5885,-121.1066667,7.632
11,2.26,36.5531667,-121.057,8.574
21,2.06,36.6861667,-121.3128333,3.904
17,2.02,37.2861667,-121.662,6.328
11,2.23,38.775,-122.7448333,1.509
16,2.13,38.7761667,-122.752,0.367
14,2.16,38.3905,-122.2148333,7.257
12,2.3,36.6193333,-121.116,8.677
21,2.94,38.8326667,-122.7958333,0.956
19,2.27,36.4661667,-121.046,6.944
8,2.15,37.1263333,-121.4578333,12.321
0,3.03,38.858,-122.8001667,1.641
13,2.07,38.8146667,-122.7945,3.032
10,2.85,38.7601667,-122.7135,0.989
10,2.18,36.558,-121.1538333,6.562
9,2.11,36.5575,-121.1526667,6.742
19,2.87,36.5901667,-121.1908333,6.695
13,2,36.8953333,-121.6061667,1.408
12,2.27,36.677,-121.3003333,2.566
20,2.11,36.6625,-121.2898333,8.876
21,2.17,38.8208333,-122.8006667,2.341
14,2.86,36.344,-120.916,4.032
21,3.65,38.8038333,-122.7376667,1.452
5,2.14,36.2395,-120.8038333,9.091
14,2.13,38.7753333,-122.75,0.223
12,2.2,38.8356667,-122.8791667,2.169
23,2.5,38.9041667,-122.5896667,5.465
16,2.21,37.2528333,-121.6386667,5.558
0,2,38.8216667,-122.7983333,1.929
22,2.06,36.6373333,-121.226,8.02
11,2.04,38.824,-122.8018333,2.461
10,2.27,38.4196667,-122.2075,8.416
6,2.22,36.5795,-121.1746667,5.242
14,2.09,38.796,-122.806,3.047
10,2.79,36.859,-121.5931667,7.014
8,2.22,36.579,-121.1751667,5.122
7,2.56,36.58,-121.1751667,5.142
7,2,36.5803333,-121.176,5.152
16,3.08,38.8215,-122.7988333,2.679
22,2,38.8013333,-122.8026667,1.089
18,3.11,38.8283333,-122.7968333,0.329
17,3.3,38.7746667,-122.7213333,1.236
23,2.28,36.5636667,-120.703,11.27
8,2.84,36.5621667,-120.7253333,10.03
8,3.51,36.5621667,-120.7085,12.61
14,2.73,38.8225,-122.7678333,1.273
14,2.2,36.6045,-121.2153333,8.823
2,2.1,38.7841667,-122.7251667,1.711
5,2.2,36.9853333,-121.6445,5.186
3,2.16,37.3813333,-121.7383333,6.773
3,2.57,37.2543333,-121.6391667,5.778
16,2.28,38.7473333,-122.696,1.958
5,2.41,36.7123333,-121.3451667,1.369
20,2.13,38.7783333,-122.7165,1.981
20,2.09,37.9078333,-121.9748333,13.66
9,2.5,38.7995,-122.7718333,0.959
18,3.16,38.8178333,-122.7781667,0.461
18,2.68,38.8173333,-122.8016667,1.791
3,2.79,38.7928333,-122.7661667,0.471
3,2.38,36.4785,-121.0555,7.274
8,2.07,36.4745,-121.0426667,2.024
18,2.13,36.6411667,-121.2333333,7.38
17,3.12,36.6438333,-121.2348333,7.78
15,2.29,36.5913333,-121.1983333,7.43
4,2.07,36.657,-121.277,2.716
16,2.22,36.587,-121.1875,6.38
4,2.45,38.825,-122.8073333,1.331
8,2.41,38.7891667,-122.7733333,0.481
4,2.12,38.8061667,-122.473,8.653
23,2.2,36.8521667,-122.407,2.076
20,2.45,36.825,-122.4305,4.156
16,2.47,36.8561667,-122.4256667,6.996
7,2.03,36.9743333,-121.6218333,4.671
3,2.86,36.9753333,-121.6253333,4.991
2,2.16,38.8176667,-122.7996667,1.201
1,2.74,38.7586667,-122.7146667,1.661
9,2.68,38.8148333,-122.8081667,3.891
2,2.49,38.776,-122.7466667,0.155
23,2.48,36.5016667,-120.99,5.585
8,2.42,37.3023333,-122.0791667,5.776
12,2.09,37.8656667,-122.2381667,9.099
22,2.03,36.5875,-120.7115,11.157
16,2.05,37.5908333,-121.6955,5.207
16,2.17,36.9258333,-121.4928333,3.12
7,2.03,37.4161667,-121.7656667,7.048
6,3.3,37.4145,-121.764,7.937
10,2.13,36.3721667,-121.0111667,0.211
8,2.91,36.786,-121.3916667,3.366
18,2.26,37.2911667,-121.6685,3.248
17,2.21,37.4655,-121.4441667,4.715
15,2.26,37.7838333,-121.9526667,8.556
16,2.13,36.6791667,-121.3026667,3.746
11,2.15,38.8326667,-122.8685,1.559
6,2.17,38.787,-122.7565,1.031
22,2.6,38.7991667,-122.8155,3.148
8,2.08,37.7845,-121.9535,8.846
23,2.19,37.7853333,-121.9531667,8.466
23,2.25,37.7845,-121.9543333,7.736
21,2.07,37.7855,-121.9518333,8.488
15,2.04,38.7723333,-122.715,1.811
11,2.12,37.98,-122.0645,15.646
7,2.67,38.7686667,-122.7411667,2.121
15,2,36.6165,-121.0706667,8.937
16,2.27,37.3313333,-121.6998333,6.692
12,2.46,36.4965,-121.0723333,2.974
10,2.2,38.3281667,-122.5761667,7.537
23,2.23,37.8655,-122.2421667,11.249
17,3.31,38.785,-122.7716667,2.111
15,2.45,37.9026667,-122.213,8.336
13,2.64,37.3936667,-121.7833333,0.596
8,2.1,36.5683333,-121.106,9.636
7,2.11,38.776,-122.7168333,1.821
21,2.44,36.5438333,-121.0953333,1.344
4,2.57,38.8201667,-122.7676667,1.371
2,2.47,38.8681667,-122.791,2.481
16,2.94,37.3933333,-121.7826667,2.107
15,2.48,38.836,-122.857,0.459
17,2.06,38.8213333,-122.8056667,3.451
16,2.11,36.5693333,-121.1058333,9.706
7,2.27,36.5685,-121.1051667,9.696
8,2.03,38.8045,-122.7991667,1.051
13,2.7,36.8513333,-121.583,6.234
23,2.3,38.753,-122.7321667,1.831
19,2.15,38.7616667,-122.7151667,1.391
10,3.54,38.793,-122.7363333,1.301
19,2.13,36.447,-121.8475,4.786
11,2.55,38.85,-122.785,1.511
10,2.15,38.8186667,-122.7948333,0.431
10,2,38.8193333,-122.7815,1.561
10,2.54,38.8205,-122.7795,1.911
1,2.2,37.753,-121.9385,8.922
13,2.17,37.353,-121.718,7.061
3,3.03,36.7831667,-121.5255,11.292
23,2.18,36.4048333,-121.8941667,11.366
5,2.83,38.82,-122.8016667,2.971
0,2.01,38.8371667,-122.8816667,2.679
14,2.24,38.7925,-122.4656667,8.373
6,2.04,38.8296667,-122.4563333,7.803
6,2.16,38.8518333,-122.8005,0.071
3,2.48,36.7996667,-121.5126667,5.428
17,2.38,36.4898333,-121.0631667,2.024
15,2.01,38.8056667,-122.7825,0.921
6,2.01,38.7405,-122.735,2.771
5,3.06,36.6098333,-120.7453333,5.577
10,2.05,36.9836667,-121.6298333,3.931
22,2.64,38.8311667,-122.827,0.609
22,2.03,38.8311667,-122.8293333,0.059
10,2.06,38.8026667,-122.7446667,0.411
7,2.44,38.8098333,-122.7541667,0.081
5,2.29,36.6171667,-121.2236667,4.933
17,2.37,38.818,-122.7776667,1.431
0,2.8,36.873,-121.6031667,6
19,2.28,36.6738333,-121.296,3.576
10,2.08,36.9718333,-121.6086667,3.491
19,2.52,37.756,-121.9528333,9.922
10,2.03,38.7901667,-122.7566667,1.531
2,2.31,38.7721667,-122.7168333,1.781
8,2.28,38.8035,-122.8043333,1.571
8,2.67,36.545,-121.1358333,8.486
6,2.21,36.4661667,-121.045,6.964
2,2.3,38.7511667,-122.7075,1.828
23,2.48,36.5945,-121.2025,8.385
19,2.55,38.7716667,-122.7268333,0.501
10,2.07,38.7786667,-122.719,1.751
3,2.38,36.6176667,-121.2251667,5.193
19,2.48,36.9633333,-121.5881667,6.591
14,2.3,36.9631667,-121.5888333,6.301
14,2.32,36.4741667,-120.7015,4.946
1,2.03,36.9028333,-121.4853333,5.474
21,2.12,38.8291667,-122.8056667,1.341
17,2,36.2495,-120.821,7.477
6,2.23,38.9105,-122.5798333,7.013
14,3.02,38.825,-122.7958333,0.651
20,2.89,37.6135,-122.4745,8.198
5,2.34,38.7933333,-122.7236667,1.541
21,2.19,38.7548333,-122.7246667,0.991
19,2.37,37.1311667,-122.3255,11.3
14,2.1,38.7863333,-122.7753333,0.861
7,2.06,36.8006667,-121.5141667,5.618
19,2.52,38.7466667,-122.7105,1.978
17,2.53,37.4791667,-121.5558333,5.215
2,2.16,38.8076667,-122.7753333,0.191
5,2.09,36.8786667,-121.873,7.321
13,2.05,38.8045,-122.771,1.771
10,2.42,36.5941667,-121.195,6.105
10,3.31,36.5928333,-121.1931667,6.185
0,2.06,36.9685,-121.6075,3.181
16,2.22,38.4923333,-122.6253333,1.478
16,2.03,36.9686667,-121.6073333,3.641
13,3.08,36.9731667,-121.612,3.291
13,2.98,36.9725,-121.612,3.741
13,2.22,36.975,-121.6091667,3.101
