Time,Mag,Lat,Long,Depth
3,2.14,38.807,-122.7425,0.993
8,2.35,38.8381653,-122.8271637,1.899
23,2.72,36.9955,-121.4576667,9.578
14,2.74,36.8155,-121.405,12.113
3,2.09,38.7960014,-122.814003,3.053
11,2.43,37.7988333,-121.9676667,18.43
11,2.4,37.8001671,-121.9603348,19.001
3,2.24,38.8074989,-122.8154984,0.82
17,2.74,38.7893333,-122.762001,1.307
11,2.28,38.7463341,-122.6831665,0.044
3,2.62,36.7645,-121.5008333,9.86
12,2.09,38.6531677,-122.7493362,22.719
11,2.16,38.7833328,-122.7460022,0.455
5,2.33,38.562,-122.3275,7.96
21,2.04,38.810833,-122.7416687,1.414
10,2.02,38.6055,-122.6145,10.261
23,2.06,38.8089981,-122.8246689,1.59
23,2,38.8093333,-122.8256667,1.47
23,2,36.3835,-120.9643333,5.591
21,2.41,38.8251667,-122.807,2.774
9,2.02,38.8081665,-122.7955017,2.472
5,2.1,38.3605,-122.1808333,9.383
15,2.11,36.3035,-120.814,9.083
17,2,36.5548333,-121.0875,9.407
17,2.37,38.8076667,-122.79,0.776
7,2.21,36.555,-121.0865,9.187
0,2.02,38.7573333,-122.7226667,1.244
7,2.41,38.8301667,-122.8046667,1.557
18,2.22,37.6035,-122.453,7.094
23,2.95,38.8191667,-122.8038333,3.189
4,2.3,37.6031667,-122.4551667,9.671
16,2.21,37.6053333,-122.4625,8.014
5,2,38.8366667,-122.7611667,0.168
4,2.28,37.5643333,-122.4255,9.3
3,2.01,37.3723333,-121.732,6.64
22,3.5,37.3735,-121.7235,8.19
12,2.52,38.3558333,-122.1796667,9.588
19,2.41,36.637,-121.2516667,6.134
19,2.23,36.6366667,-121.2526667,6.114
16,2.11,38.8213333,-122.8093333,2.674
18,2.04,38.8078333,-122.809,1.713
8,2.61,38.8395,-122.8301667,2.214
4,2.27,36.9426667,-121.541,5.638
2,2.15,36.7845,-121.5143333,7.831
21,2.16,35.8941667,-121.819,11.552
20,2.31,38.6636667,-122.8848333,5.995
6,2.02,38.8338333,-122.7598333,0.268
23,2.4,38.823,-122.8035,2.329
3,2.02,36.3018333,-120.8745,6.327
12,2.17,36.9658333,-121.455,5.433
9,2.06,38.8081667,-122.7936667,1.078
9,2,38.8071667,-122.7935,0.936
8,2,36.2493333,-120.8138333,7.421
4,2.58,36.9593333,-121.447,6.474
22,2.16,36.963,-121.452,5.594
1,2.84,36.9648333,-121.4538333,6.454
11,2.22,38.7526667,-122.7115,1.262
0,2.3,36.5511667,-121.1415,2.584
22,2.98,36.9655,-121.4531667,6.254
14,2.37,36.4965,-121.0753333,4.435
2,2.32,38.812,-122.8155,3.37
20,2.58,36.7678333,-121.4808333,5.916
14,2.37,36.294,-121.3658333,16.233
15,2.72,36.703,-121.3393333,4.329
13,2.22,38.8351667,-122.8001667,1.173
13,2.72,38.8315,-122.7986667,1.043
