Time,Mag,Lat,Long,Depth
7,2.36,36.6593333,-121.2725,3.301
10,2.21,36.5903333,-121.199,7.502
22,3.64,36.639,-121.2596667,9.472
21,2.65,36.5693333,-121.0735,8.931
17,2.2,37.5808333,-121.8193333,10.596
18,2.06,36.6695,-121.2805,3.814
11,3.8,38.5413333,-122.7498333,7.065
11,2.76,36.6681667,-121.2835,3.077
8,2.43,36.5488333,-120.7835,3.133
15,2.41,36.5331667,-121.1158333,2.326
9,2.32,38.7968333,-122.8085,3.977
2,2.01,37.3708333,-121.7463333,0.353
20,2,36.9118333,-121.4776667,3.718
23,2.02,36.6701667,-121.2811667,3.821
17,2.23,36.6645,-121.2785,3.771
4,2.28,36.6628333,-121.2815,3.481
15,3.07,36.6636667,-121.2796667,3.226
14,3.5,36.6653333,-121.2763333,3.356
13,2.43,38.8086667,-122.7941667,1.513
13,2.16,38.2441667,-122.1845,5.747
10,2.12,36.7781667,-121.3788333,8.992
23,2.75,38.8033333,-122.8041667,0.152
22,2.02,36.9101667,-121.4715,4.058
22,2.07,37.374,-121.7518333,0.093
11,2.32,36.8561667,-121.3238333,9.978
10,2.3,36.4275,-120.9871667,0.881
18,2.1,37.3718333,-121.754,0.497
12,2.93,37.3686667,-121.7558333,0.076
5,2.34,37.3675,-121.7466667,0.638
5,3.7,37.3746667,-121.7535,0.656
5,2.02,37.3721667,-121.7533333,0.073
1,2.78,38.7428333,-122.4043333,5.979
11,2.4,36.4281667,-120.9893333,0.679
15,2.06,36.4371667,-120.996,0.679
9,2.39,37.374,-121.7481667,2.528
23,3.4,37.367,-121.7533333,0.708
7,2.22,37.776,-122.2791667,7.884
5,2.65,36.9335,-121.0128333,4.409
4,2.64,38.8186667,-122.8013333,3.542
1,2.23,36.6365,-121.2553333,9.929
18,2.86,37.2355,-121.628,4.142
18,2.63,36.7283333,-121.1911667,10.406
3,2.48,38.807,-122.767,0.853
5,2.26,36.3838333,-120.9676667,6.661
14,2.24,38.798,-122.8096667,3.927
15,2.33,38.8811667,-121.9538333,16.747
4,2.31,37.8818333,-121.9505,11.556
22,2.07,38.0921667,-121.8716667,14.16
7,2.86,36.0193333,-121.5791667,16.697
5,2,36.5595,-121.1553333,6.382
10,2.06,36.5903333,-121.198,7.755
17,2.68,36.5988333,-121.2046667,6.221
6,2.29,36.805,-121.528,7.351
19,2.39,37.9933333,-122.0478333,16.497
5,2.65,38.8036667,-122.764,1.321
7,3.1,36.7693333,-121.4805,8.089
6,2.49,38.8016667,-122.8116667,4.077
5,2.17,36.6153333,-121.2206667,4.663
18,2.31,36.8373333,-121.3018333,3.906
22,2.03,37.2868333,-121.6665,2.893
9,2.55,38.814,-122.8083333,3.287
8,2.24,36.9255,-121.4641667,6.36
