Time,Mag,Lat,Long,Depth
16,2,36.584,-120.9233333,8.357
15,2.06,36.8071667,-121.5301667,6.87
7,2.36,38.8038333,-122.8056667,0.241
2,2.92,38.7795,-122.7243333,1.404
15,2.23,36.8041667,-121.5255,6.88
12,2.11,38.8035,-122.8005,1.031
7,2.27,38.8256667,-122.8001667,3.34
6,2.01,36.799,-121.521,6.87
5,2.61,36.8005,-121.5213333,7.06
5,2.96,36.8033333,-121.5241667,7.05
21,2.91,36.8071667,-121.5303333,6.94
1,2.39,37.0961667,-121.3921667,22.986
21,2.35,36.8091667,-121.533,6.95
19,2.28,36.806,-121.536,8.48
14,2,36.805,-121.528,6.69
13,4.3,36.8111667,-121.5411667,7.85
10,2.23,36.71,-121.014,0.087
9,3.07,38.8253333,-122.8031667,2.99
1,2.08,37.8608333,-121.827,14.347
18,3.16,38.8136667,-122.8131667,2.9
5,2.54,37.037,-121.8558333,12.547
2,2.05,38.7535,-122.7065,1.468
12,2.11,36.8923333,-121.607,2.121
19,2.24,38.7896667,-122.8043333,3.578
8,2.04,38.8245,-122.804,3.2
23,2.35,38.8131667,-122.812,3.91
20,2.51,38.8058333,-122.8156667,2.47
15,2.46,37.1266667,-120.6338333,1.555
12,2.07,38.7931667,-122.7803333,1.471
4,2.49,38.803,-122.8075,2.02
3,2.01,38.8141667,-122.8125,2.99
17,2.44,38.8358333,-123.0115,5.33
15,2.65,36.6905,-121.0236667,15.012
21,2.85,38.8026667,-122.8041667,2.841
7,2.46,38.8223333,-122.794,3.49
6,2.2,37.6628333,-121.72,4.671
9,2.39,38.8176667,-122.8066667,3.77
1,2.04,38.8113333,-122.8041667,2.5
6,2.43,38.7678333,-122.7403333,0.921
16,2.03,38.8043333,-122.8043333,1.99
16,2.41,38.7998333,-122.815,3.428
5,2.38,38.7981667,-122.8125,3.528
21,2.5,37.7555,-122.5655,7.273
12,2.83,38.7973333,-122.7708333,0.143
8,2.22,36.4658333,-121.0431667,6.834
3,2.33,36.8226667,-121.5498333,6.86
16,2.64,38.7855,-122.7695,1.181
15,2.38,36.9385,-121.474,20.421
12,2.58,38.8133333,-122.8083333,3.73
14,2.69,36.6315,-121.8213333,3.378
3,2.02,38.7826667,-122.7565,0.681
3,2.08,37.2681667,-121.6553333,2.047
2,2.09,38.7965,-122.7331667,1.488
23,2.51,37.0258333,-121.4685,6.683
14,2.11,38.7853333,-122.7711667,1.728
18,2.41,37.384,-121.7413333,5.942
15,2.32,38.7948333,-122.7228333,4.918
6,2.01,36.4828333,-120.89,9.538
5,2.06,36.8116667,-121.5343333,6.75
22,2.72,38.7921667,-122.778,3.738
5,2.21,38.8356667,-122.8825,2.032
5,2.3,36.9591667,-121.5811667,4.341
4,2.55,38.8178333,-122.803,2.218
17,2.04,36.869,-121.5983333,5.872
18,3.16,38.7928333,-122.7766667,0.928
11,2.06,37.5671667,-121.7666667,5.652
1,2.29,36.618,-121.2223333,4.623
20,2.32,38.8025,-122.8048333,0.468
6,2.1,38.797,-122.7838333,3.668
23,2.09,38.7956667,-122.737,0.838
11,2.07,38.7875,-122.7738333,1.808
7,2.28,37.829,-121.9365,9.9
7,2.26,38.799,-122.8068333,1.698
18,2.41,38.7866667,-122.7761667,1.778
4,2.38,36.3305,-120.887,9.352
5,2.03,36.6125,-121.216,4.414
18,2.45,38.8148333,-122.8106667,3.359
16,2.2,38.8038333,-122.8021667,2.068
13,2.15,36.2835,-121.5415,4.354
2,2.25,36.4963333,-121.0721667,2.954
3,2.11,38.8123333,-122.8038333,2.458
15,2.03,36.5585,-121.0895,9.704
11,2.19,36.7888333,-121.4148333,9.595
10,2.01,38.8176667,-122.8075,3.598
1,2.11,36.7903333,-121.4268333,8.765
1,2.16,38.8273333,-122.8356667,0.779
1,2.91,38.8086667,-122.8128333,1.058
23,2.07,38.8191667,-122.8023333,3.098
23,2.49,38.8205,-122.8023333,3.368
17,2.1,38.0648333,-121.8528333,16.541
22,3.12,38.7815,-122.7618333,2.528
9,2.06,36.444,-121.0045,1.313
0,2.24,38.4676667,-122.1936667,2.854
23,2.4,37.2523333,-121.638,4.742
5,2.48,38.8038333,-122.807,2.218
9,2.17,36.653,-121.2683333,2.889
7,2.36,38.8043333,-122.8051667,2.488
4,2.8,36.7486667,-121.4476667,7.369
4,2.01,36.7498333,-121.4491667,7.469
1,2,38.5828333,-122.2496667,7.406
15,2.14,37.617,-121.7905,1.809
3,2.86,38.775,-122.7461667,2.848
1,2.03,38.8216667,-122.8326667,0.916
0,2.19,38.8233333,-122.8313333,0.909
21,2.38,36.906,-121.7361667,9.885
20,2.05,38.8258333,-122.798,2.998
15,2.07,38.7965,-122.782,3.988
15,2.37,38.7931667,-122.7815,3.708
11,2.52,38.792,-122.7751667,2.758
10,2.9,36.6921667,-121.3216667,3.795
10,2.04,38.3633333,-122.591,3.37
8,2.24,38.7998333,-122.7303333,2.338
0,2.15,38.8156667,-122.8121667,2.559
23,3.12,38.8198333,-122.8068333,4.409
22,2.35,37.0968333,-121.4026667,9.021
18,3.09,38.7911667,-122.7738333,1.768
15,2.16,36.3026667,-120.8785,5.302
3,2.17,36.337,-120.9178333,7.932
10,2.38,38.8063333,-122.81,3.878
10,2.01,38.8051667,-122.811,3.718
13,2.08,38.3921667,-122.1866667,4.332
2,2,38.819,-122.8026667,3.608
22,2.14,38.8341667,-122.822,0.738
9,2.36,38.7843333,-122.7565,0.588
3,2.28,38.6713333,-122.3795,7.399
15,2.95,38.8516667,-122.8423333,0.566
7,2.44,38.8005,-122.7816667,4.008
22,2,36.983,-121.6361667,4.549
6,2.04,36.937,-121.679,11.186
4,2,36.0698333,-121.5225,13.968
13,2.18,36.8538333,-121.52,7.844
10,2.4,36.8381667,-121.4293333,7.285
10,2.18,36.6083333,-121.1276667,7.332
0,2.17,37.3798333,-122.2703333,9.492
0,2.21,38.8358333,-122.8795,3.115
8,2.02,36.9166667,-122.1936667,6.892
1,2.24,37.3781667,-122.2678333,9.92
20,2.02,37.3,-121.674,5.601
5,2.11,38.8358333,-122.8821667,1.215
5,2.24,38.8365,-122.8818333,1.235
17,3.41,38.8215,-122.8043333,4.038
4,2.57,36.9726667,-121.6101667,5.869
9,2.4,37.5376667,-121.9125,9.368
22,2.4,36.828,-121.549,4.591
9,2.22,36.7538333,-121.4425,5.715
5,2.73,37.379,-122.2635,9.36
2,2.92,37.3781667,-122.2653333,9.11
1,2.79,36.9,-121.4801667,5.934
14,2.58,38.8068333,-122.7543333,0.508
12,2.05,36.6106667,-121.1278333,7.732
11,2.63,37.7498333,-122.116,10.719
8,2.38,37.7463333,-122.1163333,10.829
6,3.07,38.8075,-122.8043333,2.728
5,3.24,37.7538333,-122.1146667,11.409
0,2.61,37.5385,-121.9111667,9.558
6,2.45,36.7088333,-121.169,7.795
12,2.21,38.8213333,-122.8081667,3.088
11,3.04,36.6901667,-121.3176667,3.715
11,2.03,36.6898333,-121.3181667,3.565
7,2.04,36.9488333,-120.9711667,0.852
2,2.38,38.784,-122.7568333,0.478
21,2.84,38.8065,-122.7946667,3.858
13,2.48,36.6591667,-121.2763333,4.557
13,2.56,36.9468333,-122.184,8.764
9,2.39,38.7713333,-122.7325,1.301
23,2.68,36.5648333,-121.154,2.364
5,2.71,37.8306667,-121.7676667,18.348
0,2.2,38.0875,-122.4285,8.71
17,2.01,36.6581667,-121.2763333,4.649
13,3.09,38.8251667,-122.7958333,0
12,2.23,37.3786667,-122.2636667,9.4
8,2.35,37.3798333,-122.2663333,9.512
8,2.57,37.3801667,-122.2656667,9.632
8,2.47,38.8008333,-122.8071667,0.268
21,2.07,38.8186667,-122.8023333,2.453
22,2.29,38.7998333,-122.8131667,3.261
15,2.16,38.8441667,-122.7711667,1.494
12,2.33,38.6833333,-123.1608333,4.403
7,2.25,38.8255,-122.7971667,2.833
4,3.22,36.9386667,-121.6841667,11.756
3,3.05,36.9391667,-121.6835,11.706
0,2.26,38.8403333,-122.7703333,0.943
0,2.36,38.8375,-122.7733333,0.693
22,2.54,36.8463333,-121.5688333,4.921
22,2.61,36.8436667,-121.5723333,5.591
9,2.02,38.7928333,-122.757,1.711
19,2.38,38.8116667,-122.8043333,1.51
11,2.91,38.793,-122.7786667,1.021
5,2.34,38.7745,-122.7478333,0.641
18,2,36.8161667,-121.5358333,6.25
15,2.35,36.4651667,-121.0458333,6.754
13,2.03,36.7141667,-121.0166667,6.902
10,2.37,38.7545,-122.731,1.531
16,2.36,36.7145,-121.0126667,5.742
13,3.21,36.7166667,-121.0106667,5.232
10,2.08,36.6051667,-121.9491667,13.429
23,2.38,36.3841667,-120.9646667,6.371
14,2.19,36.5546667,-121.151,6.374
2,2,36.4436667,-121.0041667,7.859
21,3.19,38.7853333,-122.7706667,1.541
21,2.11,38.7891667,-122.7856667,3.261
17,2.58,38.8085,-122.8126667,0.31
16,2.61,38.7688333,-122.7301667,2.661
5,2.15,36.7563333,-121.2606667,9.466
9,2.78,36.9393333,-121.6831667,11.466
9,2.05,36.941,-121.6821667,11.256
17,2.23,36.9708333,-120.2733333,8.465
12,2.1,36.8663333,-121.473,6.144
18,2.03,37.0946667,-121.3948333,11.038
8,2.16,36.225,-121.8543333,18.939
5,2.06,38.8091667,-122.8006667,1.12
14,2.44,38.8081667,-122.8123333,1.21
15,2.74,37.1456667,-120.5941667,4.418
10,2,38.822,-122.8051667,3.343
13,2.01,36.893,-121.6083333,1.745
21,3.04,38.8486667,-122.7923333,1.628
16,2.63,38.7736667,-122.7426667,2.061
20,2.1,38.7611667,-122.7211667,1.361
16,2.2,38.7713333,-122.4535,6.353
20,2.58,38.8,-122.8126667,3.201
10,2.56,37.9655,-122.0403333,10.858
0,2.02,36.6648333,-121.2805,3.947
22,2.37,38.774,-122.7521667,0.251
21,2.08,38.7595,-122.692,1.028
13,2.56,37.1195,-121.4128333,25.236
12,2.49,36.5865,-121.182,3.576
18,2.06,36.6461667,-121.2535,3.44
9,2.68,38.7806667,-122.7233333,1.684
15,2.2,37.0893333,-121.3963333,3.991
18,2.93,38.8375,-122.8816667,1.885
18,3.15,38.7831667,-122.781,2.201
5,2.25,38.7893333,-122.7575,1.471
3,3.39,38.808,-122.7686667,2.313
22,2.09,38.8078333,-122.8015,3.051
20,2.12,36.5496667,-121.1426667,5.726
13,3.26,38.7998333,-122.7688333,1.483
12,2.2,37.1278333,-121.3996667,17.866
10,2.43,36.8008333,-121.136,4.658
9,2.4,36.5506667,-121.1426667,6.346
14,2.7,37.0886667,-121.3966667,5.78
20,2.07,38.775,-122.7475,2.151
13,2.22,38.84,-122.8045,1.24
19,2.12,38.8125,-122.8,2.863
1,2.12,38.5275,-122.3008333,3.706
22,2.22,38.799,-122.8005,1.661
21,2.01,36.9935,-120.2916667,5.523
9,3.22,38.7983333,-122.7315,2.644
0,2.53,36.6445,-121.2601667,5.4
0,2.06,36.9963333,-120.2383333,11.906
22,2.46,36.6443333,-121.2596667,5.11
8,2.11,37.0376667,-121.4856667,8.12
0,2.64,37.0346667,-121.486,8.498
22,3.02,37.0365,-121.488,8.66
18,2.21,38.8246667,-123.043,14.137
7,2.05,38.7805,-122.7506667,4.051
17,2.5,38.8078333,-122.8135,0.753
5,2.03,36.4393333,-120.998,2.039
1,2.41,38.8085,-122.8145,3.55
19,2.41,37.7551667,-122.1423333,4.061
18,2.17,38.8175,-122.846,1.289
8,2.55,38.1033333,-122.0985,5.726
10,2.25,36.8503333,-121.3141667,5.664
18,2.11,38.7903333,-122.7783333,1.281
15,2.02,38.8345,-122.8823333,2.395
11,2.16,38.7995,-122.7345,1.974
6,3.14,38.7968333,-122.7973333,0.741
5,2.24,38.7975,-122.8053333,2.388
21,2.07,36.9206667,-121.4558333,8.933
16,2.67,36.8798333,-121.6085,5.016
16,2.03,38.8163333,-122.7891667,0.29
5,2.12,38.8405,-122.8133333,0.38
2,2.58,37.8115,-122.1923333,4.313
17,2.17,37.0946667,-121.395,6.463
12,2.07,37.0696667,-121.4038333,6.426
10,2.77,38.7963333,-122.7328333,1.744
22,2.18,36.838,-121.4105,8.105
17,2.02,36.7486667,-121.4363333,6.129
13,2.71,37.013,-121.4253333,13.073
13,2.41,37.0958333,-121.3958333,24.075
13,2.22,36.7221667,-121.3636667,2.859
11,2.29,38.7991667,-122.7318333,2.051
1,2.18,37.2635,-121.6478333,3.237
9,2.3,38.8158333,-122.8038333,2.82
3,2.12,37.3558333,-121.7173333,7.588
13,2.4,36.9085,-121.655,10.861
9,2.18,38.7921667,-122.7438333,1.504
21,2.05,37.3451667,-121.7086667,7.358
21,2.04,37.3448333,-121.7091667,7.428
21,2.56,37.3428333,-121.7073333,7.478
20,2.01,38.7845,-122.774,0.811
9,2.28,37.201,-121.5968333,5.653
12,2.9,38.8246667,-122.8068333,0.99
13,2.06,38.798,-122.7385,1.614
21,2.03,38.7986667,-122.7325,2.084
21,2.27,37.0926667,-121.3925,14.762
8,2.14,38.7755,-122.7471667,2.051
18,2.61,38.553,-122.2883333,3.276
16,2.15,36.6225,-121.2325,5.43
14,2.92,37.6068333,-121.2041667,25.56
23,2.19,38.81,-122.7733333,1.613
8,2.52,38.809,-122.7976667,1.16
23,2.58,36.6085,-120.9038333,5.211
13,2.14,36.6385,-121.2388333,7.76
6,2.15,36.044,-121.1666667,13.93
19,3.08,36.2503333,-120.8151667,5.876
9,2.01,37.1815,-120.9196667,1.854
4,2.34,38.8345,-122.7791667,0.261
10,2.52,36.8013333,-121.5245,7.43
8,2.03,36.5743333,-121.0386667,6.882
3,3.19,36.8016667,-121.526,7.19
0,2.05,38.7853333,-122.7746667,1.461
13,2.19,38.761,-122.715,0.761
13,2.74,38.7603333,-122.7146667,1.471
9,2.02,38.7916667,-122.744,0.814
4,2.06,36.4576667,-121.023,1.736
15,2.09,38.7746667,-122.7475,2.521
2,2.33,36.4423333,-121.0223333,4.901
12,2.3,38.5241667,-122.3156667,3.346
12,2,38.8013333,-122.7971667,3.451
10,2.06,38.8015,-122.7993333,0.811
8,2.25,37.884,-121.7993333,8.927
14,2.13,38.3066667,-121.851,20.449
10,2.48,36.7036667,-121.0161667,0.527
6,2.23,38.7795,-122.7483333,3.921
2,2.44,36.8433333,-121.5695,5.501
1,2.51,37.7401667,-122.1261667,7.573
5,2.35,36.844,-121.5696667,5.181
17,2.2,37.931,-122.0323333,9.522
11,2.12,37.2676667,-121.654,2.622
4,2.85,36.8086667,-121.5331667,7.09
21,2.77,36.7911667,-121.5301667,10.369
17,2.36,36.8093333,-121.5328333,7.18
8,2.01,36.3828333,-120.9658333,5.841
14,2.36,38.7005,-122.5256667,6.853
12,2.19,36.6976667,-121.0196667,0.567
4,2.08,36.977,-121.4608333,5.608
20,2.15,38.7696667,-122.729,1.207
13,2.84,36.933,-122.1971667,9.327
11,3.14,38.7946667,-122.7395,1.484
5,2.45,38.8268333,-122.7905,0.59
14,2.2,38.7758333,-122.7465,1.633
0,2.79,38.7803333,-122.7648333,0.921
4,2.17,36.8376667,-121.2995,5.734
4,3.12,36.839,-121.2995,6.654
8,2.23,37.2188333,-121.6996667,5.115
7,2.27,38.8021667,-122.7563333,1.161
7,3.03,38.8061667,-122.7716667,0.583
7,2.9,38.79,-122.77,1.6
9,2.74,37.9718333,-122.0235,14.072
12,2.17,38.8341667,-122.7993333,0.32
21,2.37,37.2756667,-121.9588333,7.235
18,2.17,36.7433333,-121.4176667,7.299
23,2.34,36.785,-121.5118333,8.79
10,2.01,38.8096667,-122.8158333,2.93
23,2.53,36.8125,-121.5295,5.46
22,2.18,38.8036667,-122.803,3.861
10,2.37,36.415,-120.9928333,6.031
2,2.55,36.9801667,-121.631,5.576
22,2.47,37.8758333,-122.2426667,9.309
16,2,37.5206667,-122.0381667,14.413
4,2.49,36.4136667,-120.9921667,6.351
10,2.48,36.5606667,-121.1048333,7.506
8,2.09,36.6185,-121.2235,4.393
6,2.39,36.6198333,-121.2251667,4.773
0,2.69,36.9308333,-122.1853333,6.952
16,3.17,36.5758333,-121.137,10.376
13,2.1,36.8918333,-121.606,1.715
12,2.51,38.7511667,-122.7256667,3.662
19,2.44,36.643,-121.0963333,10.481
0,2.64,36.965,-121.5985,6.391
0,2.44,38.7691667,-122.7298333,1.901
0,2.07,36.9228333,-122.1995,7.122
19,2.67,37.3828333,-121.7401667,6.168
15,2.73,36.7628333,-121.4651667,6.735
9,2.18,36.4693333,-121.0453333,5.084
19,2.25,36.7545,-121.446,6.009
2,2.97,38.4925,-122.7226667,5.786
11,2.46,36.5156667,-121.0978333,5.054
1,2.19,36.7786667,-121.5001667,8.66
0,2.82,36.7793333,-121.5053333,9.19
23,2.69,36.4776667,-121.0488333,4.044
15,2.34,36.8895,-121.6058333,1.795
22,2.15,36.8548333,-121.5863333,6.651
12,2.66,37.9446667,-122.3055,7.212
21,2.19,36.9883333,-121.6378333,2.589
18,3.01,38.5258333,-122.3036667,8.186
17,2.23,37.4773333,-121.8308333,7.22
10,2.24,36.8321667,-121.494,3.921
2,2.09,38.8203333,-122.8105,2.79
20,2.38,38.8251667,-122.7965,3.153
5,2.23,37.8783333,-122.2441667,9.769
4,2.64,37.1296667,-121.5296667,7.208
21,2.5,38.7586667,-122.6995,2.148
19,2.27,37.1715,-122.0213333,12.818
23,2.5,38.8196667,-122.7845,0.093
13,2.27,36.8906667,-121.6093333,1.055
6,2.36,36.4981667,-121.0723333,3.342
17,2.09,38.7661667,-122.7411667,1.711
16,2.05,37.8653333,-122.2385,10.649
10,2.25,36.6378333,-121.0951667,9.447
6,2.75,36.6431667,-121.092,11.768
6,2.39,36.646,-121.09,11.948
15,2.04,37.3753333,-121.7315,7.838
11,2.31,38.7571667,-122.7096667,1.551
8,2.08,36.9383333,-120.6903333,4.761
5,2.11,36.496,-121.0756667,5.044
23,2.15,36.765,-121.406,9.619
17,2.66,36.7563333,-121.4028333,8.849
16,2.05,36.7626667,-121.4066667,9.009
7,2.52,36.9861667,-121.4676667,5.548
23,3.8,36.959,-121.5753333,6.421
13,2.03,38.7741667,-122.7533333,0.171
13,2.71,37.3535,-121.7171667,7.188
4,2.17,37.1995,-121.6535,3.089
4,2.9,37.195,-121.6526667,5.636
6,2.5,38.8145,-122.8111667,2.66
0,2.59,38.739,-122.7208333,2.118
20,2.13,38.8021667,-122.7526667,0.133
1,2.01,36.5293333,-121.1111667,2.344
20,2.05,38.8021667,-122.81,0.878
19,2.13,38.4166667,-122.6241667,5.265
13,2.22,36.4476667,-121.008,0.639
12,2.49,38.7908333,-122.756,1.731
9,2.2,38.757,-122.7353333,10.651
7,2.24,36.8688333,-121.5333333,8.034
16,2.26,36.861,-121.5253333,6.284
11,2.19,38.8141667,-122.812,2.32
10,2.17,36.862,-121.5315,6.014
8,2.35,37.1,-121.3941667,19.886
4,2.53,36.5366667,-121.1195,2.756
2,2.38,37.2528333,-121.6381667,5.697
22,2.08,36.4783333,-121.0568333,6.874
10,2.38,36.6055,-121.1533333,6.667
16,2.55,36.4778333,-121.0558333,7.404
13,2.15,38.841,-122.8203333,2.336
10,2.36,36.784,-121.4861667,4.168
10,2.78,36.7818333,-121.4841667,4.238
2,2.02,38.8303333,-122.8686667,1.816
2,2.81,38.8316667,-122.8715,1.732
12,2.34,37.909,-121.995,10.711
5,2.36,38.8413333,-122.7848333,0.768
5,3.43,38.8223333,-122.7933333,3.78
7,2.09,38.6476667,-122.366,6.049
17,2.21,38.5825,-122.6998333,2.95
6,2.15,36.5523333,-121.1431667,2.012
22,2,38.7536667,-122.7058333,1.038
8,2.46,38.8153333,-122.7906667,0.39
19,2.18,36.8415,-121.5651667,4.881
8,2.64,38.7951667,-122.752,0.083
21,2.09,38.3858333,-122.4676667,1.188
4,2.08,38.7741667,-122.7471667,2.051
4,2.26,38.7748333,-122.746,2.151
1,2.52,38.8161667,-122.7961667,3.34
19,2.11,38.7678333,-122.7328333,1.671
21,2.32,38.8083333,-122.816,3.45
14,2.13,36.7845,-121.5081667,8.158
4,2.34,36.6063333,-121.0563333,8.671
21,2.12,38.7888333,-122.7583333,1.171
16,2.08,38.7733333,-122.7491667,1.531
9,2.03,37.9895,-122.0453333,14.607
9,2.11,36.8355,-121.2978333,6.334
9,2.5,36.8373333,-121.2981667,6.854
20,2,36.6013333,-121.2021667,2.433
