Time,Mag,Lat,Long,Depth
15,2.31,36.6001667,-121.1998333,2.381
13,2.56,38.8163333,-122.8191667,0.749
19,2.32,38.0225,-121.8865,15.291
8,2.35,37.1586667,-121.5436667,8.037
5,2.07,36.5986667,-121.2015,5.901
21,2.52,38.8201667,-122.8268333,0.802
20,2.29,38.6626667,-122.3461667,8.695
1,3.3,36.5861667,-121.1803333,3.22
13,2,37.3406667,-122.2275,1.13
3,3.13,36.8118333,-121.5426667,7.367
15,2.27,38.7936667,-122.7943333,0.041
11,2.52,38.7935,-122.7956667,0.281
12,2.55,38.7811667,-122.7235,1.854
6,2.16,36.547,-121.1365,2.046
23,2.11,36.6743333,-121.2968333,3.928
8,3.5,36.7038333,-121.3316667,3.069
1,2.04,38.806,-122.7828333,3.453
15,2.54,38.8145,-122.8138333,2.33
14,2.17,36.6698333,-120.8618333,4.685
11,2.11,36.5971667,-121.2001667,5.771
9,2.47,36.6,-121.2011667,5.561
1,2.06,37.6393333,-121.6873333,5.902
17,3.1,36.9351667,-121.6845,12.394
3,2.14,37.2945,-121.6753333,3.373
21,2.71,37.2293333,-121.6161667,6.482
11,3,37.3936667,-122.1706667,4.817
6,2.6,38.7985,-122.8008333,0.501
19,2.06,38.2601667,-120.7268333,0.319
18,2.22,36.562,-121.1523333,8.482
14,2.79,38.8235,-122.8015,3.18
7,3,37.1298333,-121.5271667,8.337
3,2.75,38.8103333,-122.7806667,1.693
3,2.69,37.9713333,-122.337,7.189
2,2.18,37.3805,-121.7353333,7.967
7,2.15,36.5658333,-121.1563333,3.022
5,2.01,38.7985,-122.801,1.021
17,2.24,37.7258333,-121.6891667,6.28
2,2.27,38.7971667,-122.769,2.453
11,2.09,37.9356667,-122.2893333,8.307
18,2.78,36.2506667,-120.814,5.856
14,2.09,36.5673333,-121.1575,3.422
6,2.06,36.6625,-121.2835,4.918
0,2.13,37.9733333,-122.335,4.839
10,2.18,38.7981667,-122.7706667,2.643
22,2.5,37.2608333,-121.6443333,5.373
13,2.09,36.5513333,-121.142,1.996
6,2.55,36.5951667,-121.1986667,6.241
19,2,38.7963333,-122.8168333,1.908
23,2.18,36.5478333,-121.1391667,6.206
16,3.1,37.2568333,-121.6435,4.663
13,2,36.4976667,-121.0751667,4.164
18,2.51,38.825,-122.7768333,0.561
4,2.18,38.7238333,-122.398,8.026
23,2.92,38.792,-122.7785,2.281
19,2.02,37.8321667,-122.0511667,11.986
9,3.3,38.7818333,-122.7723333,1.031
14,2.18,38.8861667,-122.8213333,1.898
10,2.41,36.6013333,-121.2035,5.201
9,2.2,38.4586667,-121.8831667,1.832
4,2.7,36.5986667,-121.2021667,5.201
4,2.65,36.5993333,-121.2045,4.521
4,2.57,36.5995,-121.2018333,6.131
1,2.49,38.8011667,-122.8003333,0.761
23,2.07,38.8011667,-122.8023333,1.301
20,2.17,38.801,-122.8066667,0.678
1,2.05,38.8175,-122.7811667,1.621
23,3.3,36.5756667,-121.1736667,8.07
22,3.1,37.4313333,-121.7765,8.067
23,3.5,37.7925,-121.7341667,15.873
16,2.62,37.9551667,-122.3,3.03
