Time,Mag,Lat,Long,Depth
19,2.5,38.8296667,-122.8233333,0.501
19,3.16,38.8331667,-122.817,1.26
14,2.2,38.887,-123.0058333,4.376
2,2.23,36.7773333,-121.4953333,7.84
1,2.41,36.7765,-121.494,7.82
6,2.03,36.4886667,-121.064,1.604
5,2.22,38.785,-122.7583333,1.131
9,2.63,38.8326667,-122.816,0.16
14,2.07,38.8606667,-122.574,17.351
19,2.17,38.8066667,-122.774,1.453
3,2.08,38.8038333,-122.774,1.593
3,3.59,38.802,-122.7748333,1.393
14,2.29,38.8066667,-122.8035,0.73
14,2.01,38.7873333,-122.7583333,0.981
13,2.02,37.9243333,-121.9393333,2.941
21,2.52,38.8231667,-122.8168333,1.16
21,2.67,38.8175,-122.8178333,0.87
14,2.36,38.829,-122.8005,0.66
22,2.03,38.8013333,-122.8071667,0.431
11,2.04,36.6745,-121.2971667,3.672
2,2.25,38.7858333,-122.7833333,3.521
18,2.36,36.9395,-121.4328333,4.941
18,2.13,36.9406667,-121.4336667,5.051
17,2.18,36.9405,-121.433,5.551
17,3.13,36.9415,-121.4338333,6.051
16,3.22,36.9388333,-121.4326667,6.871
15,2.17,37.8718333,-122.2408333,10.145
7,2.56,38.7816667,-122.7235,2.014
3,2.58,38.8018333,-122.802,1.581
8,2.03,36.8256667,-121.5505,5.466
4,2.1,37.356,-121.7203333,6.748
4,2.04,38.7946667,-122.7431667,0.804
10,2.35,36.565,-121.161,6.022
23,2.18,38.8196667,-122.7896667,0.52
23,2.02,38.819,-122.7905,0.6
20,2.69,37.2546667,-121.6395,5.516
9,2.54,36.8186667,-121.5405,5.55
3,2.27,36.8488333,-121.5741667,4.706
0,2.2,36.6175,-121.2243333,4.913
20,3.53,36.8475,-121.5696667,4.806
20,2.83,36.847,-121.5713333,5.426
8,2.69,37.8625,-122.2318333,9.485
0,2.23,37.9595,-121.7291667,6.062
13,2.08,37.5121667,-121.8716667,8.768
6,3.1,37.9445,-121.992,12.591
7,2.32,37.4903333,-121.8388333,8.038
21,2.34,38.8308333,-122.8283333,0.69
3,2.12,36.7351667,-121.4071667,6.709
20,2.92,38.7936667,-122.777,1.411
20,3.21,36.568,-121.1586667,2.871
5,2.22,37.574,-121.831,10.288
5,3.41,38.7551667,-122.7191667,2.041
13,3.4,38.814,-122.8085,4.2
12,2.38,37.9716667,-122.342,6.24
23,3.05,36.4773333,-121.0093333,1.047
12,2.28,37.5246667,-121.4541667,2.02
2,2.68,38.3873333,-122.6501667,9.185
2,2.37,38.8156667,-122.7773333,0.504
2,2.05,38.8175,-122.7715,0.194
23,2.07,38.816,-122.8055,3.044
23,2.07,38.8148333,-122.8043333,3.174
23,2.38,38.817,-122.8085,3.844
23,2.6,37.8673333,-122.2361667,10.085
11,2.01,38.7936667,-122.795,1.484
23,2.14,36.8498333,-121.5736667,5.926
21,2.69,38.8213333,-122.8378333,1.874
20,2.02,38.8213333,-122.8211667,0.454
20,3.26,38.824,-122.8296667,2.864
8,2.31,36.6425,-121.2556667,4.11
0,2.4,38.7978333,-122.7678333,0.304
5,2.42,37.0641667,-121.911,15.434
5,2.15,37.0653333,-121.914,15.674
1,2.04,38.7993333,-122.7998333,1.262
11,2.52,36.8773333,-121.3356667,4.914
1,2.04,36.2676667,-121.8001667,15.059
22,2.1,38.8145,-122.8101667,3.389
10,2.05,38.7951667,-122.7821667,3.684
9,2.09,38.8083333,-122.8116667,4.152
20,2.4,38.2968333,-122.1915,9.066
18,2.34,36.3855,-120.9661667,6.4
15,2.1,38.8108333,-122.8041667,1.124
6,2.46,36.8346667,-121.5571667,6.426
