Time,Mag,Lat,Long,Depth
21,2.03,38.7793333,-122.7665,0.701
20,2.19,36.6415,-121.2011667,4.821
20,2.32,38.7846667,-122.7558333,1.016
6,2.41,36.3823333,-120.9631667,6.571
3,2.18,38.8006667,-122.8093333,2.29
23,3,37.2578333,-121.6406667,6.173
7,2.36,37.2953333,-121.6768333,2.233
2,2.02,38.8136667,-122.8333333,1.9
0,2.67,38.8198333,-122.792,2.84
21,2.83,36.8526667,-121.4921667,7.958
20,2.65,37.2848333,-121.6635,5.403
17,2.19,36.4765,-121.044,2.324
15,2.32,38.4075,-122.4948333,0.324
19,2.36,36.5671667,-121.0326667,7.462
16,2.64,37.057,-121.494,3.84
16,2.04,38.8141667,-122.7996667,1.859
10,2.45,37.1628333,-121.5836667,4.451
2,2.01,38.8071667,-122.808,0.079
22,2.41,38.8003333,-122.8136667,3.829
4,2.51,38.833,-122.7946667,0.842
9,2.52,38.3665,-122.5745,9.368
21,2.41,36.777,-121.4951667,8.129
21,4.06,38.8883333,-122.9473333,12.52
12,2.09,37.2688333,-121.6806667,6.797
8,2,37.037,-121.8078333,10.495
3,2.33,37.3228333,-121.6915,7.513
21,2.11,37.2526667,-121.6393333,4.263
18,2.17,37.2623333,-121.6471667,3.223
7,2.45,38.8178333,-122.8128333,2.45
6,2.75,36.5438333,-121.136,7.956
20,2.08,37.2905,-121.6671667,5.683
20,3.3,37.2886667,-121.667,5.843
22,2.39,36.5033333,-121.0683333,1.874
23,2.25,38.8258333,-122.814,0.43
23,2.45,38.8226667,-122.8008333,2.78
22,2.08,38.807,-122.8103333,0.13
12,2,38.801,-122.4566667,2.175
5,3.17,38.8161667,-122.8168333,0.449
0,2.12,38.9273333,-122.7763333,3.784
5,2.49,38.938,-122.7076667,0.089
22,2.66,37.2758333,-121.6551667,5.353
20,2.13,38.9283333,-122.7031667,2.511
20,2.81,38.9278333,-122.7035,2.031
20,2.82,38.9268333,-122.7,1.981
19,2.03,38.9328333,-122.7028333,1.611
18,2.08,38.937,-122.7138333,0.499
18,2.52,38.9338333,-122.7035,1.571
18,2.2,38.9318333,-122.7015,1.991
17,3.5,38.9326667,-122.7011667,2.381
17,2.82,38.9333333,-122.7028333,1.721
16,2.4,38.856,-122.9803333,17.82
16,3.15,38.8226667,-122.7993333,2.85
7,2.14,36.4083333,-120.9886667,5.173
10,2.74,38.8065,-122.8103333,1.76
0,2.44,37.161,-121.5531667,4.931
23,2.03,38.9345,-122.6983333,2.083
0,2.12,37.2891667,-121.6691667,3.133
9,2.14,38.785,-122.7578333,0.636
1,2.54,38.9318333,-122.709,0.659
23,2.27,38.8108333,-122.8148333,0.44
11,2.43,38.7898333,-122.774,1.586
3,2.34,36.4771667,-121.0565,6.814
20,2.22,36.4085,-120.9893333,5.401
16,2,38.9936667,-122.6083333,0.886
16,2.22,38.9935,-122.5988333,0.596
13,2.28,38.804,-122.7716667,1.236
19,3.08,38.8871667,-122.8068333,7.62
19,2.67,38.8185,-122.8153333,0.08
12,2.41,38.8211667,-122.8113333,3.33
5,3.5,36.4048333,-121.865,8.359
5,2.13,38.819,-122.8003333,2.96
14,2.17,37.2828333,-121.6541667,7.753
14,2.33,37.2818333,-121.6568333,9.973
7,2.08,38.7945,-122.8036667,3.81
4,3,37.3348333,-121.7026667,7.543
13,2.03,38.8385,-123.004,2.883
9,2.24,38.8215,-122.7916667,0.05
20,2.55,38.7946667,-122.7458333,1.408
3,2,38.7991667,-122.8143333,3.24
