MAG0,DATETIME,LAT,LON,DEPTH
0.1,2023/07/20 21:59:40,33.633N,116.684W,16.11
0.9,2023/07/20 21:52:55,33.459N,117.039W,9.21
0.5,2023/07/20 20:50:52,38.824N,122.763W,2.32
0.8,2023/07/20 20:29:18,38.811N,122.829W,0.37
1.6,2023/07/20 20:19:52,38.824N,122.763W,2.16
0.4,2023/07/20 20:07:45,38.830N,122.814W,2.32
0.8,2023/07/20 19:56:19,38.824N,122.809W,2.86
1.1,2023/07/20 19:32:00,37.529N,118.877W,3.18
1.1,2023/07/20 18:17:29,34.843N,118.982W,14.36
0.9,2023/07/20 18:10:25,37.609N,122.457W,7.16
0.3,2023/07/20 17:27:54,38.831N,122.850W,1.58
1.8,2023/07/20 17:21:39,38.823N,122.799W,3.45
1.3,2023/07/20 17:15:17,36.137N,118.012W,1.27
1.3,2023/07/20 16:27:18,37.429N,115.559W,2.7
0.5,2023/07/20 16:26:30,38.785N,122.771W,4.08
0.8,2023/07/20 16:20:40,33.826N,116.992W,12.25
1.1,2023/07/20 16:09:41,38.846N,122.816W,1.7
0.3,2023/07/20 16:00:32,38.832N,122.815W,1.62
1.0,2023/07/20 15:53:43,38.788N,122.767W,2.11
0.2,2023/07/20 14:53:04,38.836N,122.808W,2.04
0.7,2023/07/20 14:24:13,33.468N,116.555W,10.94
1.2,2023/07/20 14:00:25,32.779N,116.890W,-0.34
1.2,2023/07/20 13:44:10,36.762N,116.260W,8.8
0.4,2023/07/20 12:39:30,37.513N,118.868W,3.18
1.3,2023/07/20 12:27:37,33.285N,116.203W,10.13
0.9,2023/07/20 12:22:20,38.843N,122.825W,1.71
0.8,2023/07/20 12:05:23,33.483N,116.437W,13.81
0.7,2023/07/20 11:23:56,33.468N,116.495W,14.36
0.3,2023/07/20 10:01:34,38.834N,122.815W,1.29
2.1,2023/07/20 09:01:17,33.706N,116.761W,15.96
1.2,2023/07/20 08:57:08,37.462N,118.731W,4.22
1.8,2023/07/20 08:39:15,38.749N,122.425W,6.15
0.7,2023/07/20 08:33:14,35.764N,117.598W,10.9
0.6,2023/07/20 08:01:17,37.445N,118.748W,3.26
1.4,2023/07/20 07:59:15,34.812N,118.895W,12.99
0.4,2023/07/20 07:49:32,38.831N,122.808W,1.62
0.8,2023/07/20 07:34:35,33.717N,116.814W,17.48
0.8,2023/07/20 06:38:10,38.816N,122.818W,2.31
1.6,2023/07/20 06:35:42,36.113N,115.427W,6.8
1.1,2023/07/20 06:29:29,39.002N,123.082W,5.85
0.6,2023/07/20 06:04:21,37.601N,118.940W,0.61
0.6,2023/07/20 06:02:10,33.451N,116.399W,12.59
1.1,2023/07/20 05:42:45,38.819N,122.822W,2.35
1.3,2023/07/20 05:40:33,35.702N,121.050W,9.24
1.6,2023/07/20 05:37:21,38.818N,122.821W,2.4
1.4,2023/07/20 05:36:18,36.090N,117.900W,5
0.7,2023/07/20 05:29:10,38.835N,122.806W,1.8
0.5,2023/07/20 05:17:01,33.442N,116.591W,12.66
0.2,2023/07/20 05:16:04,38.761N,122.713W,1.87
1.2,2023/07/20 05:00:14,36.772N,121.322W,6.18
0.2,2023/07/20 04:41:05,38.809N,122.812W,3.57
0.8,2023/07/20 03:45:48,38.810N,122.820W,0.28
0.7,2023/07/20 03:45:04,38.833N,122.814W,1.58
-0.2,2023/07/20 03:44:04,38.816N,122.817W,2.34
0.4,2023/07/20 03:37:09,33.354N,116.709W,15.09
0.5,2023/07/20 03:33:24,33.584N,116.749W,12.09
0.8,2023/07/20 03:21:17,38.839N,122.810W,2.01
0.7,2023/07/20 03:08:59,38.840N,122.824W,1.88
1.1,2023/07/20 02:54:49,38.840N,122.823W,2.22
0.0,2023/07/20 02:36:50,37.637N,119.041W,0.86
-0.1,2023/07/20 02:34:04,37.634N,119.052W,-2.39
1.4,2023/07/20 02:33:42,33.488N,116.769W,8.43
0.5,2023/07/20 02:24:55,33.457N,116.578W,9.71
0.8,2023/07/20 01:55:24,38.825N,122.796W,2.8
1.2,2023/07/20 01:39:11,38.801N,122.818W,2.95
1.3,2023/07/20 01:16:46,38.782N,122.746W,0.34
0.9,2023/07/20 01:16:17,38.783N,122.736W,-0.91
1.2,2023/07/20 01:07:37,33.031N,115.591W,7.42
1.7,2023/07/20 00:57:41,33.934N,116.025W,4.85
0.0,2023/07/20 00:54:46,33.592N,116.754W,2.97
0.8,2023/07/20 00:16:33,37.636N,119.055W,-0.81
0.8,2023/07/20 00:00:37,33.492N,116.440W,14.29
0.3,2023/07/19 23:54:37,33.613N,116.693W,11.87
0.5,2023/07/19 23:39:55,38.776N,122.758W,1.39
0.4,2023/07/19 23:32:43,33.486N,116.513W,4.38
0.8,2023/07/19 23:06:58,33.720N,116.817W,16.04
0.6,2023/07/19 23:03:44,36.627N,116.362W,4.2
0.7,2023/07/19 22:56:13,38.838N,122.783W,1.37
1.0,2023/07/19 22:50:51,37.371N,121.733W,4.87
0.4,2023/07/19 22:49:38,38.836N,122.837W,1.73
1.0,2023/07/19 22:42:50,38.837N,122.836W,1.56
0.9,2023/07/19 22:03:52,38.837N,122.835W,1.75
1.5,2023/07/19 21:59:17,38.836N,122.835W,2.02
1.8,2023/07/19 21:53:51,33.694N,116.712W,17.56
0.6,2023/07/19 21:05:19,38.836N,122.807W,1.72
0.4,2023/07/19 20:52:27,38.836N,122.808W,1.77
1.3,2023/07/19 20:46:36,35.633N,117.459W,7.69
0.7,2023/07/19 20:23:34,37.472N,118.835W,4.5
0.2,2023/07/19 20:20:14,38.835N,122.799W,2.34
0.3,2023/07/19 20:18:42,38.832N,122.795W,5.28
0.7,2023/07/19 19:32:51,38.823N,122.852W,2.59
-0.1,2023/07/19 19:22:45,38.771N,122.716W,1.97
0.5,2023/07/19 18:59:53,33.583N,116.748W,12.58
1.1,2023/07/19 18:55:30,38.816N,122.821W,2.87
2.0,2023/07/19 18:55:18,38.813N,122.822W,2.9
0.9,2023/07/19 18:36:03,38.800N,122.804W,2.73
2.5,2023/07/19 17:31:45,31.533N,115.676W,7.34
1.6,2023/07/19 17:29:33,35.680N,121.127W,6.47
0.9,2023/07/19 17:24:51,37.570N,118.845W,-0.61
0.5,2023/07/19 17:19:12,38.815N,122.820W,3.29
0.8,2023/07/19 17:04:37,38.811N,122.738W,2.15
1.1,2023/07/19 16:54:28,33.709N,116.769W,14.85
1.9,2023/07/19 16:49:06,35.790N,121.385W,5.39
1.0,2023/07/19 16:39:53,38.821N,122.809W,2.95
1.7,2023/07/19 16:34:10,35.617N,117.445W,6.73
1.8,2023/07/19 16:27:49,34.014N,116.756W,11.74
0.8,2023/07/19 16:05:27,38.782N,122.754W,1.38
0.5,2023/07/19 16:04:08,38.798N,122.755W,3.77
0.2,2023/07/19 15:55:48,37.589N,118.828W,0.46
1.5,2023/07/19 15:44:49,38.544N,119.512W,8.1
1.8,2023/07/19 15:43:35,34.084N,118.185W,9.91
0.9,2023/07/19 15:16:18,38.812N,122.739W,2.55
1.7,2023/07/19 15:10:29,34.039N,117.576W,9.49
1.1,2023/07/19 14:58:13,38.836N,122.809W,2.32
1.0,2023/07/19 14:51:57,38.843N,122.827W,1.58
0.7,2023/07/19 14:50:47,33.685N,116.709W,16.14
2.4,2023/07/19 14:26:40,33.678N,116.718W,16.46
0.9,2023/07/19 14:26:25,38.832N,122.800W,1.62
0.4,2023/07/19 14:21:39,38.807N,122.802W,2.91
0.4,2023/07/19 14:14:20,36.697N,121.338W,6.67
0.5,2023/07/19 14:11:01,35.604N,117.440W,10
1.1,2023/07/19 14:02:15,35.618N,117.455W,6.6
0.5,2023/07/19 13:48:34,35.602N,117.429W,10.25
0.8,2023/07/19 13:12:21,36.023N,117.898W,5.38
1.1,2023/07/19 12:44:05,38.789N,122.767W,1.81
0.9,2023/07/19 12:30:23,32.652N,116.955W,-0.44
0.7,2023/07/19 12:28:12,35.771N,117.594W,7.36
2.3,2023/07/19 12:24:29,37.782N,116.160W,3.1
0.7,2023/07/19 12:21:42,35.633N,117.453W,8.4
0.9,2023/07/19 12:14:16,33.495N,116.484W,14.33
0.6,2023/07/19 12:13:45,33.490N,116.488W,14.51
0.7,2023/07/19 12:13:40,33.490N,116.485W,14.34
0.3,2023/07/19 12:05:19,38.800N,122.754W,3.99
1.0,2023/07/19 12:02:23,35.773N,117.594W,6.54
0.8,2023/07/19 11:59:07,35.136N,118.154W,12.67
1.2,2023/07/19 11:54:51,35.965N,117.650W,0.38
1.1,2023/07/19 11:52:32,35.131N,118.153W,12.98
1.1,2023/07/19 11:51:28,35.134N,118.157W,12.24
1.1,2023/07/19 11:39:47,35.053N,118.349W,-1.11
0.6,2023/07/19 11:34:13,33.881N,117.807W,3.19
0.7,2023/07/19 11:10:51,38.792N,122.804W,3.49
0.4,2023/07/19 11:09:14,33.651N,116.762W,17.11
1.1,2023/07/19 11:07:59,36.093N,117.893W,4.56
1.2,2023/07/19 11:02:13,36.077N,117.713W,1.96
0.9,2023/07/19 10:59:54,33.413N,116.818W,13.66
0.8,2023/07/19 10:59:23,33.411N,116.822W,13.64
0.7,2023/07/19 10:58:26,33.417N,116.813W,15.05
0.7,2023/07/19 10:52:59,35.775N,117.589W,6.7
0.7,2023/07/19 10:42:02,33.906N,116.885W,11.1
1.0,2023/07/19 10:22:04,35.873N,117.713W,10.11
1.7,2023/07/19 10:19:05,35.406N,117.802W,10.29
-0.2,2023/07/19 10:06:56,33.253N,116.307W,6.11
1.0,2023/07/19 09:58:16,34.637N,117.305W,-1.01
0.9,2023/07/19 08:58:10,38.779N,122.758W,1.11
2.2,2023/07/19 08:56:35,36.077N,117.714W,1.11
1.0,2023/07/19 08:48:13,38.814N,122.774W,0.02
0.8,2023/07/19 08:47:23,33.982N,116.831W,20.5
0.7,2023/07/19 08:24:46,38.843N,122.878W,2.39
0.9,2023/07/19 08:13:57,38.911N,122.911W,3.58
0.8,2023/07/19 08:08:04,33.244N,116.324W,8.05
1.2,2023/07/19 08:07:19,38.844N,122.876W,2.28
1.1,2023/07/19 07:44:33,38.782N,122.763W,0.84
0.7,2023/07/19 07:25:40,33.478N,116.887W,12.07
1.1,2023/07/19 07:15:32,36.923N,121.420W,8.82
1.0,2023/07/19 06:55:54,36.635N,115.677W,7.9
1.8,2023/07/19 06:44:46,35.030N,116.962W,2.14
1.5,2023/07/19 06:41:52,38.789N,122.773W,4.04
0.5,2023/07/19 06:29:26,38.791N,122.723W,1.89
0.5,2023/07/19 06:20:55,38.837N,122.804W,2.01
0.8,2023/07/19 06:15:28,38.824N,122.811W,1.7
0.9,2023/07/19 06:13:13,34.683N,119.016W,1.89
1.3,2023/07/19 06:01:33,33.778N,116.900W,13.07
0.5,2023/07/19 05:40:14,37.605N,118.830W,7.33
3.3,2023/07/19 05:19:13,39.532N,116.625W,0.3
3.4,2023/07/19 04:57:48,39.539N,116.579W,3.2
2.2,2023/07/19 04:32:59,38.529N,118.151W,7.1
2.8,2023/07/19 04:31:00,38.538N,118.159W,8.3
0.9,2023/07/19 04:23:10,38.814N,122.827W,2.47
0.7,2023/07/19 03:58:46,38.838N,122.783W,1.95
1.1,2023/07/19 03:57:52,34.026N,116.437W,8.65
0.8,2023/07/19 02:14:32,38.831N,122.818W,1.65
1.2,2023/07/19 02:14:19,38.832N,122.818W,1.7
1.1,2023/07/19 02:13:36,38.831N,122.818W,1.66
0.8,2023/07/19 02:02:29,38.826N,122.824W,3.13
1.4,2023/07/19 01:27:57,38.541N,118.160W,5.3
1.1,2023/07/19 01:14:39,38.819N,122.802W,1.55
1.1,2023/07/19 01:04:39,33.908N,116.887W,12.28
0.9,2023/07/19 00:52:54,38.806N,122.816W,2.75
0.4,2023/07/19 00:49:17,38.814N,122.826W,2.73
4.5,2023/07/19 00:34:23,39.511N,116.536W,3.7
2.2,2023/07/19 00:03:11,36.562N,121.084W,10.66
1.9,2023/07/18 23:58:59,36.194N,120.765W,7.81
0.4,2023/07/18 23:34:54,38.833N,122.814W,1.78
0.5,2023/07/18 23:03:14,38.786N,122.778W,1.59
1.2,2023/07/18 23:00:51,38.470N,119.496W,10.1
0.8,2023/07/18 22:58:19,33.492N,116.421W,8.21
1.8,2023/07/18 22:52:32,34.048N,117.525W,7.51
1.3,2023/07/18 22:40:52,38.815N,122.818W,2.26
0.9,2023/07/18 22:06:03,33.941N,117.837W,7.98
0.8,2023/07/18 21:49:40,38.798N,122.756W,3.42
2.8,2023/07/18 21:41:00,33.972N,118.209W,14.94
2.7,2023/07/18 21:37:48,33.971N,118.205W,15.07
1.6,2023/07/18 21:37:36,36.640N,121.096W,10.83
0.7,2023/07/18 21:20:57,33.505N,116.443W,8.97
1.7,2023/07/18 21:20:14,38.127N,118.019W,9.2
1.4,2023/07/18 21:08:36,38.159N,117.861W,7.7
0.6,2023/07/18 20:26:32,37.436N,121.522W,8.19
1.9,2023/07/18 19:42:35,38.172N,116.736W,0.1
1.8,2023/07/18 19:21:17,40.185N,119.894W,13.0
0.9,2023/07/18 18:57:25,33.532N,116.682W,9.57
0.7,2023/07/18 18:48:46,33.659N,116.730W,14.41
1.1,2023/07/18 18:48:24,38.807N,122.813W,3.16
1.6,2023/07/18 17:10:32,38.688N,119.541W,6.5
1.9,2023/07/18 16:43:32,40.608N,124.070W,16.37
1.1,2023/07/18 16:29:33,38.816N,122.797W,2.78
2.1,2023/07/18 16:23:45,38.544N,118.161W,8.9
1.0,2023/07/18 16:20:09,33.413N,116.358W,8.33
