MAG0,DATETIME,LAT,LON,DEPTH
1.2,2023/07/24 09:40:36,38.801N,122.768W,1.58
1.3,2023/07/24 09:21:57,35.763N,117.556W,11.41
0.9,2023/07/24 08:34:34,34.010N,117.209W,14.79
1.2,2023/07/24 07:55:03,33.936N,116.026W,5.51
0.9,2023/07/24 07:38:59,38.811N,122.814W,3.65
2.2,2023/07/24 07:14:27,38.118N,118.024W,6.8
0.4,2023/07/24 06:20:54,38.831N,122.805W,2.37
0.9,2023/07/24 06:16:43,32.624N,116.195W,8.81
0.5,2023/07/24 06:14:39,33.816N,116.992W,12.68
0.5,2023/07/24 06:01:27,33.674N,116.716W,14.84
1.9,2023/07/24 05:56:17,37.500N,121.814W,5.49
-0.1,2023/07/24 05:31:26,37.636N,119.065W,0.69
1.0,2023/07/24 05:27:18,36.194N,120.302W,9.61
0.5,2023/07/24 05:25:44,38.832N,122.815W,1.24
0.6,2023/07/24 05:20:14,37.560N,118.837W,3.87
1.6,2023/07/24 05:16:58,40.489N,124.205W,22.18
1.1,2023/07/24 05:05:17,33.037N,116.362W,5.44
1.1,2023/07/24 05:01:24,38.834N,122.955W,4.62
0.5,2023/07/24 04:52:05,33.708N,116.732W,18.79
0.3,2023/07/24 04:50:55,33.938N,116.542W,10.02
0.5,2023/07/24 04:02:24,32.938N,116.267W,8.04
2.9,2023/07/24 03:47:11,40.483N,124.210W,22.04
-0.2,2023/07/24 03:34:23,37.583N,118.841W,-0.59
0.9,2023/07/24 03:26:50,40.180N,119.795W,4.8
0.4,2023/07/24 03:09:36,37.678N,118.890W,2.79
0.8,2023/07/24 03:07:59,34.108N,117.931W,11.68
1.8,2023/07/24 02:59:03,36.389N,120.281W,7.61
0.3,2023/07/24 02:50:37,37.537N,118.831W,0.78
2.5,2023/07/24 02:41:49,31.534N,115.679W,6.04
0.2,2023/07/24 02:26:24,33.716N,116.838W,15.49
2.1,2023/07/24 01:57:15,32.401N,115.221W,12.3
0.3,2023/07/24 01:54:56,33.483N,116.888W,11.79
0.9,2023/07/24 01:48:42,37.346N,121.703W,8.35
0.8,2023/07/24 01:35:35,39.933N,119.139W,16.1
1.0,2023/07/24 01:27:15,34.005N,116.915W,11.31
1.1,2023/07/24 01:02:32,35.268N,120.619W,10.23
0.9,2023/07/24 00:45:56,35.990N,117.441W,-1.3
3.0,2023/07/24 00:31:02,32.320N,115.315W,11.29
0.7,2023/07/24 00:28:25,38.840N,122.816W,4.17
0.4,2023/07/24 00:19:44,38.817N,122.797W,2.49
0.9,2023/07/24 00:14:01,34.137N,116.819W,4.76
0.8,2023/07/24 00:10:57,37.478N,115.401W,0.9
1.8,2023/07/23 23:50:02,33.870N,118.257W,13.53
2.2,2023/07/23 23:29:40,40.226N,121.177W,3.7
0.3,2023/07/23 23:12:46,33.664N,116.773W,14.78
1.3,2023/07/23 22:58:07,38.817N,122.796W,2.4
0.4,2023/07/23 22:55:01,33.771N,116.121W,9.31
0.8,2023/07/23 22:47:42,33.203N,116.384W,12.17
1.1,2023/07/23 22:34:44,34.101N,116.638W,4.23
0.7,2023/07/23 22:09:35,34.209N,116.840W,7.98
1.5,2023/07/23 21:42:30,37.346N,121.704W,8.43
1.4,2023/07/23 21:38:29,37.347N,121.704W,8.44
2.6,2023/07/23 21:35:00,37.347N,121.708W,7.43
0.9,2023/07/23 21:24:37,37.347N,121.707W,8.16
0.6,2023/07/23 21:23:38,33.460N,116.579W,8.68
1.5,2023/07/23 21:18:10,36.410N,120.278W,5.75
1.7,2023/07/23 21:10:32,36.402N,120.276W,6.42
-0.5,2023/07/23 21:08:58,36.726N,115.959W,1.2
1.6,2023/07/23 21:07:17,33.855N,116.748W,9.08
0.9,2023/07/23 20:50:53,37.347N,121.707W,8.21
0.7,2023/07/23 20:43:07,36.194N,120.293W,9.95
3.0,2023/07/23 20:34:43,37.352N,121.710W,8.39
2.2,2023/07/23 20:18:46,37.350N,121.710W,8.11
2.2,2023/07/23 20:15:50,36.195N,120.314W,10.93
1.9,2023/07/23 20:15:16,36.199N,120.329W,10.61
1.1,2023/07/23 19:51:00,36.196N,120.341W,10.32
2.3,2023/07/23 19:47:29,36.196N,120.323W,10.3
0.3,2023/07/23 19:43:31,38.829N,122.826W,1.8
0.3,2023/07/23 18:26:48,38.827N,122.806W,2.58
0.7,2023/07/23 17:57:48,33.169N,116.107W,10.26
0.4,2023/07/23 17:53:05,33.642N,116.689W,16.29
0.9,2023/07/23 17:44:09,38.847N,122.815W,1.47
2.2,2023/07/23 17:29:51,35.651N,116.868W,0.08
0.2,2023/07/23 17:26:56,37.569N,118.893W,-0.67
1.4,2023/07/23 17:02:22,33.236N,116.659W,11.72
0.9,2023/07/23 16:54:42,37.503N,118.847W,4.97
0.8,2023/07/23 16:20:40,34.139N,116.817W,5.42
1.1,2023/07/23 16:15:07,38.788N,122.729W,1.17
1.0,2023/07/23 15:48:39,38.846N,122.816W,0.73
0.7,2023/07/23 15:27:37,38.847N,122.817W,1.75
1.1,2023/07/23 15:27:01,38.846N,122.817W,1.96
1.0,2023/07/23 15:25:35,32.922N,116.257W,10.52
0.2,2023/07/23 15:16:09,38.842N,122.813W,0.85
0.5,2023/07/23 15:13:21,38.844N,122.817W,2.2
1.0,2023/07/23 15:10:54,38.848N,122.814W,1.28
1.3,2023/07/23 15:10:42,38.847N,122.816W,1.73
2.6,2023/07/23 15:10:41,38.155N,117.916W,11.0
0.9,2023/07/23 15:10:27,38.848N,122.816W,1.31
2.3,2023/07/23 15:10:04,38.843N,122.817W,1.59
2.8,2023/07/23 15:09:48,38.846N,122.811W,1.47
0.6,2023/07/23 13:33:34,38.840N,122.877W,2.17
1.3,2023/07/23 12:46:27,32.582N,115.655W,9.98
2.1,2023/07/23 12:32:10,40.227N,121.169W,3.97
0.4,2023/07/23 12:10:05,33.722N,116.833W,14.39
2.8,2023/07/23 11:51:04,31.258N,116.817W,9.56
1.6,2023/07/23 10:46:34,34.502N,118.696W,15.8
1.2,2023/07/23 10:19:59,34.102N,116.640W,5.11
0.9,2023/07/23 10:09:46,38.793N,122.746W,1.06
1.0,2023/07/23 09:48:04,35.909N,117.752W,7.91
0.5,2023/07/23 09:43:18,33.924N,116.360W,6.68
1.1,2023/07/23 09:05:15,37.471N,115.341W,3.5
0.6,2023/07/23 08:56:52,37.549N,119.005W,4.06
0.9,2023/07/23 08:18:45,37.279N,121.649W,6.53
0.6,2023/07/23 07:46:01,37.545N,119.008W,3.84
1.1,2023/07/23 07:38:34,40.071N,119.694W,15.9
1.5,2023/07/23 07:17:26,34.322N,116.456W,8.48
1.0,2023/07/23 07:05:57,35.502N,118.400W,8.04
0.5,2023/07/23 06:49:01,37.567N,118.860W,-1.13
0.9,2023/07/23 06:36:02,34.076N,117.284W,12.9
0.5,2023/07/23 06:28:13,32.953N,116.307W,11.34
1.0,2023/07/23 05:32:32,35.067N,118.336W,1.91
0.1,2023/07/23 05:30:15,39.343N,119.480W,10.3
0.7,2023/07/23 05:26:29,38.824N,122.793W,2.9
0.3,2023/07/23 04:54:56,38.843N,122.827W,2.68
0.7,2023/07/23 04:48:01,33.298N,116.886W,6.76
1.1,2023/07/23 04:31:13,33.440N,116.642W,4.57
1.8,2023/07/23 03:22:20,38.799N,122.458W,10.25
1.1,2023/07/23 02:57:53,38.794N,122.758W,1.81
0.5,2023/07/23 01:43:20,39.154N,119.629W,3.5
1.6,2023/07/23 01:26:12,36.575N,121.129W,10.7
1.3,2023/07/23 01:20:31,38.824N,122.799W,2.69
0.7,2023/07/23 01:15:50,34.032N,116.787W,13.63
0.8,2023/07/23 01:02:45,35.749N,117.587W,12.13
1.4,2023/07/23 00:57:56,38.837N,122.808W,2.17
2.0,2023/07/23 00:56:46,38.540N,118.161W,10.2
1.7,2023/07/23 00:28:51,34.096N,117.038W,2.72
1.4,2023/07/23 00:03:15,38.818N,122.821W,2.19
1.7,2023/07/22 23:58:05,36.064N,120.635W,0.53
0.7,2023/07/22 23:57:53,34.151N,116.450W,7.31
1.0,2023/07/22 23:55:28,38.818N,122.821W,2.06
1.6,2023/07/22 23:52:41,35.266N,118.578W,7.99
0.8,2023/07/22 23:37:35,35.502N,118.396W,5.53
0.7,2023/07/22 23:37:06,38.778N,122.766W,1.05
0.8,2023/07/22 23:06:11,34.083N,117.293W,13.46
0.6,2023/07/22 22:52:21,40.077N,119.695W,16.5
0.2,2023/07/22 22:43:39,33.263N,116.425W,4.3
0.9,2023/07/22 21:45:42,38.780N,122.765W,1.51
0.2,2023/07/22 21:29:17,33.439N,116.558W,9.42
0.7,2023/07/22 21:26:00,33.699N,116.800W,15.94
0.6,2023/07/22 21:17:34,33.040N,116.357W,7.86
2.0,2023/07/22 21:08:17,37.594N,121.332W,5.64
1.0,2023/07/22 20:57:49,36.059N,120.635W,0.08
0.7,2023/07/22 20:34:49,33.458N,116.458W,13.58
1.2,2023/07/22 20:25:29,38.816N,122.818W,2.53
1.3,2023/07/22 20:17:49,36.547N,121.127W,8.35
1.8,2023/07/22 20:15:14,36.542N,121.132W,6.94
0.6,2023/07/22 20:11:39,39.476N,120.290W,15.0
1.0,2023/07/22 19:54:53,34.316N,116.445W,8.7
1.1,2023/07/22 19:46:31,33.327N,115.702W,3.82
1.1,2023/07/22 19:46:21,33.361N,115.680W,13.25
1.0,2023/07/22 19:46:09,33.324N,115.691W,5.41
1.2,2023/07/22 19:16:09,38.806N,122.796W,3.43
0.9,2023/07/22 19:04:32,33.680N,116.712W,17.1
0.7,2023/07/22 18:52:41,33.453N,116.461W,13.78
2.2,2023/07/22 18:46:43,37.390N,117.084W,0.0
1.6,2023/07/22 18:35:30,34.317N,116.445W,8.15
0.5,2023/07/22 18:09:30,39.626N,119.819W,12.0
0.7,2023/07/22 17:47:45,33.378N,116.867W,6.36
1.0,2023/07/22 17:43:08,34.599N,119.276W,1.15
0.3,2023/07/22 17:42:15,33.671N,116.784W,11.37
1.2,2023/07/22 17:30:41,35.514N,118.546W,4.63
1.5,2023/07/22 17:25:15,33.866N,116.823W,14.98
1.8,2023/07/22 16:43:27,40.301N,124.363W,8.11
0.7,2023/07/22 16:35:58,38.836N,122.800W,1.77
-0.3,2023/07/22 15:54:35,36.693N,116.306W,5.6
1.4,2023/07/22 15:54:13,33.224N,116.088W,7.57
0.7,2023/07/22 15:37:28,38.832N,122.820W,2.61
2.4,2023/07/22 14:22:53,32.150N,115.858W,0.87
0.5,2023/07/22 13:40:25,37.532N,118.822W,-0.45
0.7,2023/07/22 13:34:46,38.836N,122.821W,4.52
1.9,2023/07/22 13:06:59,36.579N,121.242W,3.41
1.6,2023/07/22 12:54:11,36.775N,121.321W,6.19
0.8,2023/07/22 12:19:47,38.800N,122.748W,0.72
1.8,2023/07/22 12:05:25,36.776N,121.326W,5.79
1.0,2023/07/22 12:00:43,38.840N,122.877W,1.9
2.4,2023/07/22 11:46:13,36.488N,121.062W,3.23
0.7,2023/07/22 11:45:47,37.075N,116.480W,7.4
0.9,2023/07/22 11:37:28,37.283N,121.653W,8.16
0.6,2023/07/22 11:12:41,32.986N,116.317W,9.43
0.1,2023/07/22 11:09:21,38.778N,122.761W,1.1
1.1,2023/07/22 10:48:23,38.795N,122.766W,2.36
2.5,2023/07/22 10:43:54,36.777N,121.327W,7.73
2.0,2023/07/22 10:30:43,37.404N,114.334W,5.6
0.3,2023/07/22 10:29:48,39.622N,119.967W,8.2
1.0,2023/07/22 10:28:52,39.167N,119.615W,5.5
0.6,2023/07/22 10:21:01,39.170N,119.617W,4.6
2.1,2023/07/22 10:10:59,39.165N,119.608W,4.7
1.3,2023/07/22 09:37:05,39.167N,119.609W,4.6
1.3,2023/07/22 09:10:06,39.169N,119.609W,4.6
1.0,2023/07/22 08:58:14,33.310N,116.257W,0.76
2.2,2023/07/22 08:47:08,37.710N,122.119W,4.99
0.5,2023/07/22 08:11:13,38.822N,122.790W,3.21
1.5,2023/07/22 08:02:01,34.054N,118.311W,7.31
0.6,2023/07/22 07:59:11,40.079N,119.681W,16.2
0.7,2023/07/22 07:34:03,39.167N,119.608W,5.4
0.5,2023/07/22 07:26:58,39.166N,119.610W,3.8
0.7,2023/07/22 07:26:49,33.350N,116.333W,12.82
2.2,2023/07/22 07:19:01,37.783N,122.179W,6.33
0.8,2023/07/22 07:07:42,33.766N,116.025W,9
1.2,2023/07/22 07:05:47,39.169N,119.623W,3.3
0.6,2023/07/22 07:03:12,41.970N,120.157W,0.0
1.2,2023/07/22 06:44:03,39.351N,119.990W,7.0
0.8,2023/07/22 06:40:18,39.166N,119.606W,5.5
0.8,2023/07/22 06:39:48,39.170N,119.606W,4.8
1.1,2023/07/22 06:30:21,39.169N,118.094W,6.5
0.8,2023/07/22 06:18:55,39.169N,119.609W,3.3
0.5,2023/07/22 06:16:26,33.149N,116.667W,15.38
1.4,2023/07/22 06:12:52,38.451N,119.403W,4.9
2.0,2023/07/22 06:04:37,39.168N,119.607W,5.2
0.7,2023/07/22 05:52:57,33.539N,116.444W,6.33
0.7,2023/07/22 05:41:52,33.894N,116.924W,11.36
1.1,2023/07/22 05:33:20,33.300N,116.255W,2.55
0.9,2023/07/22 05:18:16,38.847N,122.817W,1.46
0.3,2023/07/22 05:16:26,38.849N,122.817W,1.39
0.8,2023/07/22 05:13:06,38.450N,119.380W,4.5
2.3,2023/07/22 05:08:51,35.810N,117.630W,6.37
2.5,2023/07/22 04:57:41,40.587N,119.352W,0.0
1.9,2023/07/22 04:55:47,36.441N,121.008W,0.53
0.4,2023/07/22 04:45:11,33.044N,116.483W,11.6
-0.4,2023/07/22 04:17:56,36.729N,116.295W,8.5
1.1,2023/07/22 04:09:13,38.792N,122.760W,2.39
1.4,2023/07/22 03:24:17,38.794N,122.759W,1.61
0.9,2023/07/22 03:08:18,38.448N,119.380W,5.1
1.0,2023/07/22 03:02:37,37.447N,115.586W,16.4
0.6,2023/07/22 02:54:14,33.482N,116.535W,13.46
1.0,2023/07/22 02:45:59,38.447N,119.404W,6.4
1.1,2023/07/22 02:17:10,38.443N,119.379W,5.9
0.7,2023/07/22 02:12:27,37.579N,118.792W,0.85
0.5,2023/07/22 02:07:57,33.267N,116.419W,3.82
0.4,2023/07/22 02:07:30,38.788N,122.744W,1.74
0.8,2023/07/22 02:03:26,33.267N,116.427W,4.07
0.3,2023/07/22 01:57:55,33.479N,116.891W,10.79
0.7,2023/07/22 01:55:25,39.610N,119.976W,6.0
0.8,2023/07/22 01:52:27,37.533N,118.794W,5.05
1.6,2023/07/22 01:43:55,39.521N,116.612W,0.0
0.8,2023/07/22 01:27:35,39.470N,120.286W,13.7
1.2,2023/07/22 01:10:49,36.961N,121.594W,8.21
1.2,2023/07/22 01:10:44,36.551N,121.124W,2.27
1.4,2023/07/22 00:40:19,33.298N,116.255W,3.93
0.5,2023/07/22 00:35:28,37.721N,118.781W,6.18
2.5,2023/07/22 00:28:28,37.531N,118.796W,5.36
0.4,2023/07/22 00:26:14,33.476N,116.502W,12.84
0.8,2023/07/22 00:22:43,33.474N,116.502W,12.84
0.5,2023/07/22 00:22:17,33.471N,116.500W,12.74
0.6,2023/07/22 00:04:32,33.476N,116.501W,12.93
0.7,2023/07/21 23:56:19,39.347N,119.982W,7.0
0.9,2023/07/21 23:56:06,39.352N,119.984W,7.9
0.3,2023/07/21 23:51:13,39.171N,119.594W,4.3
1.5,2023/07/21 23:40:05,38.101N,118.088W,3.0
0.6,2023/07/21 23:13:18,32.992N,116.303W,7.83
0.5,2023/07/21 22:13:39,38.832N,122.812W,2.14
0.7,2023/07/21 22:06:33,38.839N,122.879W,2.03
1.7,2023/07/21 22:03:26,36.006N,117.987W,2.6
0.6,2023/07/21 21:57:20,35.906N,117.726W,2.51
1.8,2023/07/21 21:42:21,38.799N,122.754W,1.72
0.8,2023/07/21 21:39:43,37.818N,119.007W,4.3
1.1,2023/07/21 21:34:04,33.710N,116.820W,16.47
0.3,2023/07/21 21:15:44,38.769N,122.731W,1.84
1.1,2023/07/21 20:38:39,38.160N,117.900W,6.0
0.4,2023/07/21 20:27:26,38.827N,122.802W,1.98
1.1,2023/07/21 20:00:26,40.584N,120.510W,8.3
1.5,2023/07/21 19:52:28,38.834N,122.788W,1.94
